NATURAL GRAPHITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: October 1, 2019
Year	Production	Shipments	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	3050	NA	14600	NA	17700	95	1900	81600
1901	2530	NA	14600	NA	17100	62	1200	77100
1902	6090	NA	18500	NA	24600	63	1200	81600
1903	17100	NA	16300	NA	33400	74	1300	77100
1904	17900	NA	12900	NA	30800	70	1300	77100
1905	22700	NA	15800	NA	38500	62	1100	90700
1906	18000	NA	23100	NA	41100	67	1200	104000
1907	26600	NA	20800	NA	47400	85	1500	109000
1908	2350	NA	10400	NA	12700	73	1300	95300
1909	7480	NA	19300	NA	26800	96	1700	95300
1910	3810	NA	22900	NA	26700	82	1400	95300
1911	3280	3280	18800	NA	22100	80	1400	109000
1912	3480	3480	23300	2110	24600	74	1200	118000
1913	4330	4330	26200	2440	28100	80.5	1320	136000
1914	3930	3930	19900	1780	22100	70.1	1140	104000
1915	W	4280	20900	480	24700	107	1720	113000
1916	W	7340	38900	724	45600	187	2790	172000
1917	W	12300	38600	2330	48600	232	2950	209000
1918	W	11800	17700	865	28600	175	1890	181000
1919	W	6730	24200	571	30300	123	1160	122000
1920	W	8630	19100	551	27200	89.4	728	118000
1921	W	2210	7420	836	8800	60.9	555	90700
1922	W	2840	11300	516	13600	41.8	406	104000
1923	W	5480	17600	824	22300	34.8	333	95300
1924	W	4510	14900	927	18400	26.9	256	95300
1925	W	4230	16100	857	19500	51.3	477	122000
1926	W	4960	14700	367	19300	62.8	579	136000
1927	W	4720	15800	1650	18900	45.7	429	154000
1928	W	5090	15900	2000	19000	50.3	479	150000
1929	W	5860	21800	1460	26200	48.9	465	150000
1930	W	NA	15200	1410	13800	41.2	402	118000
1931	W	NA	7670	1080	6590	34.7	371	77100
1932	W	NA	5770	717	5050	26.1	312	72600
1933	W	NA	6660	829	5830	31.7	399	86200
1934	W	NA	12300	1130	11200	39.8	485	109000
1935	W	NA	14900	1340	13600	35.3	419	145000
1936	W	NA	20400	740	19700	27.7	326	150000
1937	W	NA	26100	1370	24700	28.8	327	159000
1938	W	NA	15000	892	14100	24.9	288	177000
1939	W	NA	19500	885	18700	21.8	256	222000
1940	W	NA	28200	1480	26700	31.6	368	254000
1941	2490	NA	37300	1560	38300	54.2	600	231000
1942	6460	NA	39700	3720	42400	63	630	272000
1943	9020	NA	27000	2730	33200	35.6	335	277000
1944	4910	NA	23600	2020	26500	53.8	498	263000
1945	4430	NA	32800	1190	36000	43.3	393	136000
1946	5060	NA	30100	2100	33000	44.2	369	95300
1947	3980	NA	39600	1400	42200	38.2	279	122000
1948	9030	NA	47400	950	55400	43.2	293	163000
1949	5540	NA	28800	1230	33100	43.8	299	168000
1950	4630	NA	39400	1270	42800	52.7	357	159000
1951	6470	NA	49300	1360	54500	61	383	195000
1952	5090	NA	38500	1620	42000	74.3	456	177000
1953	5700	NA	46300	1380	50600	60.7	370	168000
1954	W	NA	36900	726	36100	61.9	375	168000
1955	W	NA	44100	1270	42800	54.2	330	272000
1956	W	NA	43400	998	42400	59.8	359	263000
1957	W	NA	37600	1180	36500	56	324	372000
1958	W	NA	24600	1090	23500	49	276	318000
1959	W	NA	33600	1270	32300	45.5	254	372000
1960	W	NA	43600	1720	41900	40.2	221	435000
1961	W	NA	26900	1450	25400	49.6	270	413000
1962	W	NA	31600	1090	30500	56.4	304	535000
1963	W	NA	47000	816	46200	42.5	226	679000
1964	W	NA	42800	1810	41000	45.4	239	620000
1965	W	NA	52700	2900	49800	45.3	234	607000
1966	W	NA	51300	2900	48400	49.6	249	484000
1967	W	NA	51100	3240	47900	45.9	224	358000
1968	W	NA	61500	3780	57700	40.5	190	437000
1969	W	NA	53000	9310	52600	45.6	202.9	376000
1970	W	NA	60200	5250	45400	50.3	211.2	393000
1971	W	NA	52100	5200	54400	52.3	210.7	394000
1972	W	NA	57800	6610	63500	60.8	236.8	361000
1973	W	NA	69900	7220	62600	59.2	217.1	395000
1974	W	NA	73500	11100	62600	73.4	242.7	497000
1975	W	NA	58300	9600	50000	92.8	281.1	451000
1976	W	NA	70500	11100	60700	91.3	261.4	449000
1977	W	NA	76500	12500	66900	100.6	270.6	493000
1978	W	NA	87700	8710	82000	128.9	322.2	534000
1979	W	NA	75100	7820	70400	168.7	379	626000
1980	NA	NA	52300	8060	47600	294.4	582.6	597000
1981	NA	NA	59600	10300	49300	320.5	574.6	589000
1982	W	NA	48200	9380	38800	325.1	549.1	562000
1983	W	NA	39500	8560	31000	301.5	493.4	604000
1984	W	NA	52800	6440	46400	275.9	433.1	625000
1985	NA	NA	47800	7580	40300	338.3	512.8	584000
1986	NA	NA	38800	7030	31800	406	603.6	625000
1987	NA	NA	43300	11700	31600	407.4	584.4	643000
1988	W	NA	53900	11100	42800	431.4	594.5	575000
1989	W	NA	62300	11500	50900	540.9	711.3	1010000
1990	NA	NA	50200	11500	38700	701.2	874.7	946000
1991	NA	NA	33500	19400	14200	647.8	775.2	771000
1992	NA	NA	49700	20200	29500	513.1	596.1	670000
1993	NA	NA	52200	17400	34800	572.8	646.4	648000
1994	NA	NA	53100	20300	32900	506.6	557.1	517000
1995	NA	NA	60700	37300	23500	495.9	530.4	584000
1996	NA	NA	53400	26000	27400	535.6	556.6	555000
1997	NA	NA	58100	39700	18400	557.7	566.4	685000
1998	NA	NA	61600	28000	33600	565	564.9	651000
1999	NA	NA	55800	29400	26400	624	608.5	692000
2000	NA	NA	60800	21800	39000	535	506	846000
2001	NA	NA	52100	23900	28200	447	411.6	816000
2002	NA	NA	45100	21600	23600	495	448	932000
2003	NA	NA	52300	22200	30000	467	413	999000
2004	NA	NA	63700	46100	17600	469	405	1010000
2005	NA	NA	64500	22100	42400	537	448	1030000
2006	NA	NA	52600	22200	30400	553	447	1020000
2007	NA	NA	58600	15700	42900	636	500	1120000
2008	NA	NA	58300	7950	50300	826	625.331213567	1050000
2009	NA	NA	33100	11400	21700	897	681.507369701	746000
2010	NA	NA	65400	5600	59800	797.043627136	595.754223352	1040000
2011	NA	NA	71800	8750	63000	1130	820.289855072	1190000
2012	NA	NA	56700	7980	48700	1210	859	1210000
2013	NA	NA	61300	10000	51300	1150	805	699000
2014	NA	NA	69600	12200	57400	1040	716	905000
2015	NA	NA	46700	11600	35100	1250	860	946000
2016	NA	NA	38900	14300	24700	1220	829	864000
2017	NA	NA	51900	13900	38000	1130	751	897000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by J.L. Sznopek and D.W. Olson.
Data are calculated, estimated, or reported.  See notes for more information.
