GYPSUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	539000	213000	NA	753000	4	78.5	NA
1901	575000	239000	NA	814000	3.2	62.5	NA
1902	741000	310000	NA	1050000	3.4	64.1	NA
1903	945000	270000	NA	1220000	4.7	85.5	NA
1904	854000	299000	NA	1150000	3.9	71.1	NA
1905	946000	362000	NA	1310000	4	72.4	NA
1906	1400000	396000	NA	1790000	3.7	67.1	NA
1907	1590000	412000	NA	2000000	3.9	68.3	NA
1908	1560000	272000	NA	1830000	3.3	59.9	NA
1909	2040000	318000	NA	2360000	3.5	63.7	NA
1910	2160000	377000	NA	2540000	3.6	63.3	NA
1911	2110000	354000	NA	2460000	3.6	63.3	NA
1912	2270000	374000	NA	2640000	3.3	55.8	NA
1913	2360000	406000	NA	2760000	3.34	55	NA
1914	2250000	335000	NA	2580000	3.62	59.1	NA
1915	2220000	306000	NA	2530000	3.48	56.1	NA
1916	2500000	231000	NA	2730000	3.73	55.8	NA
1917	2450000	218000	NA	2660000	5.32	67.8	NA
1918	1870000	46000	NA	1910000	7.03	75.9	NA
1919	2200000	156000	NA	2350000	7.24	68.2	NA
1920	2840000	256000	NA	3090000	7.46	60.8	NA
1921	2620000	242000	NA	2860000	7.68	70	NA
1922	3430000	371000	6960	3790000	7.91	76.7	NA
1923	4310000	407000	8000	4710000	8.15	77.7	NA
1924	4570000	471000	9640	5040000	8.39	80	9700000
1925	5150000	576000	15200	5710000	8.64	80.5	10700000
1926	5110000	748000	17800	5840000	8.9	82	11300000
1927	4850000	752000	16700	5590000	9.17	85.9	11200000
1928	4700000	933000	2150	5630000	9.45	90.1	11800000
1929	4550000	940000	3840	5490000	9.73	92.8	12500000
1930	3150000	819000	3270	3960000	10	97.6	11900000
1931	2320000	648000	4080	2970000	10.3	110	9400000
1932	1280000	339000	3250	1620000	10.6	126	7800000
1933	1210000	326000	3420	1530000	11	138	7400000
1934	1390000	328000	2350	1720000	11.3	137	7900000
1935	1730000	408000	4110	2130000	11.6	138	8300000
1936	2460000	614000	NA	3070000	12	141	9400000
1937	2770000	814000	4330	3580000	12.3	139	7790000
1938	2440000	716000	2580	3150000	12.7	147	6030000
1939	2930000	1190000	9380	4100000	13.1	154	8030000
1940	3360000	1270000	4730	4630000	13.5	157	7940000
1941	4340000	1220000	14100	5550000	13.9	154	8960000
1942	4260000	358000	540	4620000	14	140	9350000
1943	3520000	210000	4810	3720000	14.2	134	8480000
1944	3410000	311000	789	3720000	14.3	132	8400000
1945	3460000	462000	968	3920000	12.6	114	9800000
1946	5110000	1320000	3690	6430000	12.7	106	14400000
1947	5630000	1960000	8820	7580000	12.7	92.8	16500000
1948	6580000	2590000	1270	9170000	12.7	85.9	21200000
1949	5990000	2350000	15900	8330000	12.8	87.7	19000000
1950	7430000	2920000	21500	10300000	12.8	86.5	22600000
1951	7860000	3120000	22700	11000000	12.9	80.9	18400000
1952	7630000	2800000	18000	10500000	12.9	79.3	24100000
1953	7520000	2890000	21500	10200000	12.9	78.8	25400000
1954	8160000	3060000	20000	11300000	13	78.8	28000000
