HAFNIUM STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) hafnium content unless otherwise noted]							
Last modification: April 1, 2014							
Year	Production	Imports	Stocks	Government shipments	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1959	15.4	NA	NA	NA	15	88200	493000
1960	31.8	NA	NA	NA	32	88200	485000
1961	NA	NA	NA	NA	35	88200	482000
1962	NA	NA	NA	NA	38	88200	477000
1963	NA	0.0594	NA	NA	41	165000	878000
1964	29	0.00318	3.6	15	44.00318	165000	868000
1965	14.5	0.151	0.9	3	20.351	165000	855000
1966	14.5	NA	0.9	0	14.5	165000	829000
1967	12.7	0.0236	0	1	14.6236	165000	805000
1968	22.7	0.0767	4.5	1	19.2767	160000	751000
1969	25.4	0.203	4.5	0	25.4	165000	732700
1970	31.8	0.12	10	0	26.3	165000	693300
1971	29	0.0771	9.1	0	29.9	165000	664000
1972	36.3	0.128	13.6	0	31.8	165000	643500
1973	37.2	1.1	19.1	0	29	165000	605700
1974	38.1	3.37	28.1	0	27.2	165000	545500
1975	33.6	0.0336	34.5	NA	27.2	165000	499800
1976	27.2	1.48	36.3	NA	25.4	165000	472600
1977	31.8	1.51	36.3	NA	27.2	165000	443800
1978	36.3	0	36.3	NA	36.3	182000	455000
1979	40.8	0.0526	36.3	NA	40.8	182000	408600
1980	45.4	0.279	36.3	NA	40.8	182000	360000
1981	45.4	2.41	36.3	NA	40.8	215000	385500
1982	49.9	0	33.6	NA	40.8	215000	363200
1983	49.9	0.217	33.6	NA	45.4	215000	351900
1984	45.4	0.907	27.2	NA	45.4	231000	362400
1985	45.4	0.907	27.2	NA	45.4	231000	349900
1986	45.4	0	22.7	NA	45.4	231000	343500
1987	45.4	1	27	NA	42	187000	268300
1988	NA	4	27	NA	47	231000	318300
1989	NA	4	27	NA	48	231000	303700
1990	NA	9	NA	NA	49	187000	233200
1991	NA	3	NA	NA	50	187000	223800
1992	NA	2	NA	NA	51	187000	217300
1993	NA	3	NA	NA	52	187000	210900
1994	NA	5	NA	NA	53	187000	205700
1995	NA	5	NA	NA	54	187000	200000
1996	NA	8	NA	NA	55	187000	194300
1997	NA	7	NA	NA	57	187000	189900
1998	NA	11	NA	NA	58	187000	187000
1999	NA	9.36	NA	NA	59	187000	183000
2000	NA	11.1	NA	NA	60	187000	177000
2001	NA	5.09	35	NA	61	138000	127000
2002	NA	4.87	NA	NA	62	199000	180000
2003	NA	4.67	NA	NA	62	226000	200000
2004	NA	4.02	NA	NA	NA	223000	252000
2005	NA	3.95	NA	NA	NA	235000	196000
2006	NA	3.62	NA	NA	NA	194000	157000
2007	NA	3.81	NA	NA	NA	246000	193000
2008	NA	11.9	NA	NA	NA	225000	170000
2009	NA	4.93	NA	NA	NA	472000	359000
2010	NA	7.62	NA	NA	NA	453000	339000
2011	NA	10.3	NA	NA	NA	544000	394000
2012	NA	23.7	NA	NA	NA	503000	357000
NA Not available. 							
1Compiled by C.A. DiFrancesco, J.B. Hedrick, J. Gambogi, P.J. Loferski and G.M. Bedinger							
Data are calculated, estimated, or reported.  See notes for more information.							
