INDIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) indium content unless otherwise noted]
Last modification: October 30, 2018
Year	 Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1936	NA	NA	NA	NA	0.04	965000	11300000	NA
1937	NA	NA	NA	NA	0.07	965000	10900000	NA
1938	NA	NA	NA	NA	0.11	965000	11200000	NA
1939	NA	NA	NA	NA	0.15	965000	11300000	NA
1940	NA	NA	NA	NA	0.18	739000	8600000	NA
1941	0.218	NA	NA	NA	0.22	402000	4460000	NA
1942	0.653	NA	NA	NA	0.65	723000	7230000	NA
1943	1.85	NA	NA	NA	1.9	402000	3790000	NA
1944	2.56	NA	NA	NA	2.6	281000	2600000	NA
1945	1.79	0.041	NA	NA	1.831	157000	1430000	NA
1946	0.301	0.155	NA	NA	0.456	72300	603000	NA
1947	0.433	0.271	NA	NA	0.704	72300	528000	NA
1948	0.38	0.451	NA	NA	0.831	72300	489000	NA
1949	1.7	0.645	NA	NA	2.345	72300	495000	NA
1950	3.91	NA	NA	NA	3.9	72300	489000	NA
1951	4.76	NA	NA	NA	4.8	72300	452000	NA
1952	NA	NA	NA	NA	4.4	72300	444000	NA
1953	NA	NA	NA	NA	4	72300	441000	NA
1954	NA	NA	NA	NA	3.5	72300	438000	NA
1955	NA	NA	NA	NA	3.1	72300	441000	NA
1956	2.72	NA	NA	NA	2.7	72300	433000	NA
1957	NA	NA	NA	NA	3	72300	420000	NA
1958	NA	NA	NA	NA	3.3	72300	408000	NA
1959	NA	NA	NA	NA	3.5	72300	404000	NA
1960	NA	NA	NA	NA	3.8	72300	397000	NA
1961	NA	NA	NA	NA	4.1	72300	395000	NA
1962	NA	NA	NA	NA	4.4	72300	391000	NA
1963	NA	NA	NA	NA	4.7	72300	385000	NA
1964	NA	NA	NA	NA	4.9	77200	406000	NA
1965	NA	NA	NA	NA	5.2	88400	458000	NA
1966	5.51	NA	NA	NA	5.5	88400	444000	NA
1967	1.9	9.02	NA	NA	11	88400	431000	NA
1968	2.66	8.74	NA	NA	11	80400	377000	NA
1969	1.96	8.8	NA	NA	11	80400	357000	NA
1970	NA	12.5	NA	NA	13	80400	338000	NA
1971	NA	12.1	NA	NA	12	80400	324000	NA
1972	NA	19.5	NA	NA	20	80400	314000	68.4
1973	NA	25.2	NA	NA	25	56900	209000	54.1
1974	NA	15.3	NA	NA	15	142000	469000	56
1975	NA	3.54	NA	NA	3.5	182000	551000	46.7
1976	NA	9.02	NA	NA	9	258000	739000	46.5
1977	NA	9.05	NA	NA	9.1	314000	845000	40.4
1978	NA	6.41	NA	NA	6.4	275000	688000	44.5
1979	NA	9.14	NA	NA	22	433000	972000	46.7
1980	NA	9.3	NA	NA	19	547000	1080000	49.8
1981	NA	14.3	NA	NA	16	242000	434000	43.5
1982	NA	21.3	NA	NA	16	134000	226000	49.8
1983	NA	33.4	NA	NA	16	103000	169000	23.3
1984	NA	31.8	NA	NA	19	96500	151000	29.5
1985	NA	30.5	NA	NA	19	84600	128000	29.5
1986	NA	43	NA	NA	22	83900	125000	41.1
1987	NA	47.3	NA	NA	25	235000	337000	53.5
1988	NA	38.1	NA	NA	28	319000	440000	106
1989	NA	26.8	NA	NA	28	275000	362000	115
1990	NA	30.2	NA	NA	30	230000	287000	118
1991	NA	36.3	NA	NA	30	218000	261000	140
1992	NA	54.4	NA	NA	30	225000	261000	140
1993	NA	73.4	NA	0.8	35	207000	234000	140
1994	0	70.2	NA	1.6	40	143000	157000	145
1995	0	85.2	NA	1.6	43	388000	415000	239
1996	0	33.2	NA	1.6	45	381000	396000	200
1997	0	85.5	NA	0.44	50	319000	324000	230
1998	0	75	NA	0.44	50	306000	306000	230
1999	0	77.4	NA	0	52	303000	296000	215
2000	0	69.4	NA	0	55	188000	178000	335
2001	0	79	NA	0	69	120000	110000	408
2002	0	112	NA	0	102	97000	87900	406
2003	0	123	NA	NA	90	170000	151000	381
2004	0	143	NA	NA	100	643000	555000	392
2005	0	142	NA	NA	115	946000	790000	607
2006	0	100	NA	NA	124	815000	659000	638
2007	0	147	NA	NA	131	637000	501000	631
2008	0	144	NA	NA	135	519000	393000	678
2009	0	105	NA	NA	128	382000	290000	670
2010	0	117	NA	NA	123	552000	413000	664
2011	0	146	NA	NA	132	685000	496000	720
2012	0	109	NA	NA	124	540000	383000	784
2013	0	97	NA	NA	115	570000	399000	831
2014	0	123	NA	NA	118	705000	485000	881
2015	0	140	NA	NA	123	520000	358000	731
2016	0	160	NA	NA	126	345000	234000	682
2017	0	127	NA	NA	129	363000	241000	714
NA Not available.
1Compiled by C.A. DiFrancesco, M.W. George, J.F. Carlin, Jr, A.C. Tolcin, and C.S. Anderson.
Data are calculated, estimated, or reported.  See notes for more information.
