IODINE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 21, 2020
Year	Production	Government shipments	Imports	Exports	Apparent consumption	Unit value     ($/t)	Unit value (98$/t)	World production
1928	W	NA	327	NA	327	7430	70800	NA
1929	W	NA	284	NA	284	7907	75400	NA
1930	W	NA	224	NA	224	8030	78400	NA
1931	W	NA	126	NA	126	7895	84700	NA
1932	78.9	NA	287	NA	365	7768	92400	NA
1933	182	NA	640	NA	822	4586	57500	NA
1934	129	NA	672	NA	801	3178	38700	NA
1935	111	NA	170	NA	282	2468	29400	NA
1936	106	NA	269	NA	375	2078	24400	NA
1937	136	NA	892	NA	1028	2000	22600	NA
1938	W	NA	259	NA	259	1794	20700	NA
1939	W	NA	90.7	NA	91	1855	21700	NA
1940	W	NA	564	NA	564	2297	26700	NA
1941	W	NA	458	NA	458	2448	27100	NA
1942	W	NA	431	NA	431	2437	24400	NA
1943	W	NA	1250	NA	1245	2443	23000	NA
1944	W	NA	546	NA	546	2419	22400	NA
1945	W	NA	100	NA	100	2320	21000	NA
1946	W	NA	402	NA	402	2427	20300	NA
1947	W	NA	1020	162	863	2689	19700	NA
1948	W	NA	269	123	450	3158	21400	NA
1949	W	NA	222	122	497	3239	22200	NA
1950	W	NA	329	207	631	3211	21700	NA
1951	W	NA	386	145	562	3416	21400	NA
1952	W	NA	359	54.8	533	3799	23400	NA
1953	W	NA	435	125	531	3696	22600	NA
1954	W	NA	429	153	611	2410	14600	NA
1955	W	NA	559	111	624	2707	16500	NA
1956	W	NA	773	229	579	2819	16900	NA
1957	W	NA	1220	106	756	2274	13200	NA
1958	W	NA	708	90.3	542	1877	10600	NA
1959	W	NA	665	79.4	755	1629	9120	NA
1960	W	NA	859	114	882	1659	9130	3030
1961	W	NA	1370	79.8	1178	2084	11400	3360
1962	W	NA	1370	80.7	1133	2070	11200	3410
1963	W	NA	1510	63.9	1222	1955	10400	3580
1964	W	NA	1180	66.7	1419	2015	10600	4190
1965	W	NA	1290	NA	1590	1917	9920	4480
1966	W	NA	3240	NA	1707	1834	9230	5560
1967	W	NA	1570	NA	1621	2025	9880	5250
1968	W	NA	2670	NA	2019	2096	9820	5290
1969	318	NA	2590	68	2840	2223	9874	7070
1970	318	NA	2740	117	2941	2540	10670	8260
1971	318	NA	3300	171	3447	3480	14010	9360
1972	318	NA	2820	181	2957	3620	14120	9740
1973	272	NA	2790	67.6	2994.4	3790	13910	10900
1974	272	NA	3620	293	3599	4100	13560	10400
1975	272	NA	2410	46.3	2812	4870	14750	10800
1976	272	NA	2940	45.3	3266	4700	13460	11000
1977	1130	NA	3150	45.4	3901	4390	11810	10300
1978	1130	NA	3100	45.4	3674	4720	11800	10400
1979	1130	NA	2810	22.7	3674	6570	14750	11100
1980	1130	NA	2830	NA	3946	13800	27300	11600
1981	1130	37	2770	NA	3992	13120	23530	12000
1982	1270	445	2170	NA	3130	12920	21820	12300
1983	1230	50	2900	NA	3692	12060	19740	12500
1984	W	109	2330	NA	2507	10580	16600	12400
1985	W	NA	2470	NA	2346	11860	17970	12800
1986	W	86	2620	NA	2332	12520	18620	13000
1987	W	190	3200	NA	3200	15260	21900	12700
1988	1020	610	3300	NA	4315	17460	24060	14900
1989	1510	200	3330	NA	4834	17670	23230	16300
1990	1970	252	3170	2100	3040	15190	18940	16000
1991	2000	36	3560	1320	4330	10160	12160	17300
1992	2000	115	3750	1810	3930	9030	10490	16500
1993	1940	0	3620	1220	4330	7900	8911	16100
1994	1630	218	4360	1200	4780	7560	8315	14300
1995	1220	133	3950	1220	3540	9880	10570	13400
1996	1270	NA	4860	2410	3700	12900	13400	14100
1997	1320	204	6380	2760	5140	14660	14890	15700
1998	1490	291	5960	2720	4950	16450	16450	18600
1999	1620	221	5430	1110	5990	16150	15800	18400
2000	1470	949	4790	1010	5420	14600	13800	19500
2001	1290	85	5020	1460	4730	13900	12800	20700
2002	1420	25	6190	1580	6520	12700	11500	21000
2003	1090	361	5750	1230	5240	11800	10500	24600
2004	1130	245	5700	1060	5560	13400	11400	24800
2005	1570	444	6250	2430	5600	16800	14000	26500
2006	W	467	5640	1580	W	19300	15600	26700
2007	W	93	6060	1060	W	21000	16500	26300
2008	W	0	6300	950	W	21500	16300	26000
2009	W	0	5190	1160	W	25600	19500	26500
2010	W	0	5710	1080	W	24700	18500	26000
2011	W	0	6620	902	W	38400	27800	26200
2012	W	0	5960	1040	W	42300	30000	27800
2013	W	0	5960	1130	W	42800	29900	30800
2014	W	0	5360	1240	W	37000	25500	29600
2015	W	0	5630	1210	W	27700	19100	32600
2016	W	0	4320	1050	W	22700	15400	29200
2017	W	0	4170	1230	W	19600	13000	27600
2018	W	0	4930	1190	W	22500	14600	27600
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly, P.A. Lyday, R.L. Virta, D.E. Polyak, M.A. Angulo, and E.K. Schnebele.
Data are calculated, estimated, or reported.  See notes for more information.
