LEAD STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) lead content unless otherwise noted]
Last modification: December 20, 2018
Year	Primary production	Secondary production	Imports	Exports	Government shipments	Stocks	Apparent consumption 	Unit value ($/t)	Unit value (98$/t)	World production
1900	343000	NA	410	90000	NA	63800	253000	100	2000	749000
1901	341000	NA	490	91000	NA	54700	260000	97	1900	NA
1902	342000	NA	1400	74000	NA	63800	260000	90	1700	NA
1903	343000	NA	1600	87000	NA	32200	289000	93	1700	NA
1904	367000	NA	630	77000	NA	9700	313000	95	1700	NA
1905	366000	NA	890	55000	NA	10400	311000	99	1800	NA
1906	378000	NA	11000	300	NA	11700	387000	126	2300	1040000
1907	410000	23400	8400	59000	NA	4200	390000	119	2100	993000
1908	422000	16800	2500	90000	NA	16800	339000	93	1700	1280000
1909	426000	37300	3200	90000	NA	15800	378000	95	1700	1060000
1910	449000	50200	32000	78000	NA	32600	436000	97	1700	1100000
1911	465000	49200	2400	120000	NA	4070	425000	97	1700	1110000
1912	457000	61000	250	74000	NA	9520	439000	99	1700	1160000
1913	455000	66100	38	50000	NA	4820	476000	97	1600	1150000
1914	524000	55400	150	81000	NA	6960	496000	86	1400	NA
1915	544000	71600	410	120000	NA	11000	492000	104	1680	NA
1916	517000	87400	5100	110000	NA	11200	499000	152	2270	NA
1917	597000	84800	5300	90000	NA	2440	606000	190	2420	NA
1918	611000	88100	4800	95000	NA	428	611000	157	1700	NA
1919	452000	111000	4600	58000	NA	212	510000	128	1210	764000
1920	506000	113000	32000	24000	NA	1200	626000	181	1470	804000
1921	412000	94100	28000	33000	NA	315	502000	104	945	783000
1922	501000	145000	3200	36000	NA	NA	613000	126	1220	972000
1923	581000	176000	19000	52000	NA	2370	724000	163	1550	1080000
1924	657000	186000	74000	75000	NA	4580	840000	183	1740	1220000
1925	711000	206000	9500	95000	NA	7410	829000	201	1880	1410000
1926	744000	252000	74000	65000	NA	9720	1000000	186	1710	NA
1927	736000	250000	0	110000	NA	8590	877000	150	1400	1540000
1928	735000	280000	0	110000	NA	9720	904000	139	1320	1680000
1929	724000	282000	0	67000	NA	NA	939000	151	1440	1610000
1930	603000	232000	0	44000	NA	144000	791000	122	1200	1520000
1931	419000	213000	9	20000	NA	198000	558000	94	1010	1260000
1932	278000	180000	40	21000	NA	239000	396000	70	833	1050000
1933	263000	204000	99	21000	NA	268000	417000	85	1070	1040000
1934	295000	189000	257	5400	NA	285000	462000	85	1030	1200000
1935	308000	245000	1200	6300	NA	285000	547000	90	1070	1380000
1936	371000	239000	2350	18000	NA	223000	654000	104	1220	1470000
1937	447000	250000	4450	18000	NA	189000	713000	132	1490	NA
1938	367000	204000	2940	42000	NA	190000	528000	104	1200	1700000
1939	457000	191000	6480	68000	NA	200000	577000	111	1300	1740000
1940	508000	206000	137000	68000	NA	222000	764000	114	1330	NA
1941	551000	345000	249000	13000	NA	182000	1170000	128	1420	NA
1942	558000	280000	332000	8800	NA	178000	1170000	143	1430	NA
1943	481000	282000	222000	22000	67600	234000	973000	143	1350	NA
1944	470000	296000	202000	14000	75700	201000	1076000	143	1320	NA
1945	450000	281000	206000	2000	19700	245000	915000	143	1300	1250000
1946	350000	313000	105000	640	21100	212000	816000	179	1490	1030000
1947	474000	403000	145000	1400	36700	199000	1090000	323	2360	1310000
1948	455000	393000	224000	370	-4530	241000	1050000	398	2690	1380000
1949	515000	330000	250000	880	NA	271000	1070000	339	2320	1370000
1950	510000	388000	401000	2500	NA	252000	1330000	293	1980	1640000
1951	434000	401000	162000	1200	NA	206000	1050000	386	2410	1600000
1952	478000	374000	463000	1600	NA	247000	1290000	363	2230	1810000
1953	477000	389000	349000	730	NA	NA	1460000	297	1810	1870000
1954	493000	386000	251000	540	NA	237000	901000	310	1880	2000000
1955	490000	408000	240000	370	NA	NA	1390000	334	2040	2010000
1956	504000	404000	238000	4200	96400	201000	1060000	353	2110	2400000
1957	502000	392000	294000	4500	141000	248000	1280000	323	1880	2380000
1958	441000	311000	334000	2800	-37800	324000	975000	267	1510	2350000
1959	321000	356000	239000	3600	-40800	270000	937000	269	1500	2320000
1960	210000	370000	187000	5400	NA	315000	720000	263	1450	2390000
1961	430000	354000	233000	11000	NA	328000	1000000	240	1310	2390000
1962	366000	357000	233000	6400	NA	263000	1030000	212	1150	2510000
1963	366000	424000	206000	3600	4000	218000	1040000	246	1310	2560000
1964	408000	426000	189000	21000	36000	179000	997000	300	1580	2530000
1965	385000	450000	202000	11000	49000	176000	1000000	353	1830	2700000
1966	410000	440000	259000	5400	58000	187000	1100000	333	1670	2850000
1967	386000	433000	330000	5900	25000	196000	1130000	309	1510	2870000
1968	487000	428000	307000	8200	26000	186000	1200000	291	1370	3010000
1969	594000	468000	253000	6400	20000	NA	1320000	329	1460	3240000
1970	626000	459000	222000	11000	11000	296000	1360000	346	1450	3390000
1971	604000	444000	177000	21000	9000	NA	1210000	306	1230	3490000
1972	617000	452000	220000	40000	41000	240000	1260000	331	1290	3450000
1973	624000	489000	170000	110000	191000	194000	1420000	359	1320	3490000
1974	620000	545000	107000	56000	241000	174000	1430000	496	1640	3490000
1975	579000	597000	90000	19000	6000	189000	1040000	474	1440	3440000
1976	596000	659000	129000	5000	NA	150000	1280000	509	1460	3690000
1977	552000	637000	230000	9000	NA	127000	1180000	677	1820	3410000
1978	568000	650000	230000	8000	NA	134000	1220000	743	1860	3460000
1979	578000	673000	190000	11000	NA	191000	1130000	1160	2600	3510000
1980	548000	581000	85000	164000	NA	172000	906000	937	1850	3520000
1981	498000	578000	100000	23300	NA	195000	977000	805	1440	3350000
1982	512000	521000	95000	55600	NA	171000	1110000	562	949	3450000
1983	515000	452000	180000	24400	NA	159000	1140000	478	782	3350000
1984	396000	586000	162000	16600	NA	142000	1140000	564	885	3200000
1985	487000	570000	134000	27300	NA	178000	1130000	421	638	3390000
1986	366000	575000	140000	12600	NA	104000	1150000	485	721	3240000
1987	374000	658000	190000	10000	NA	110000	1200000	791	1140	3430000
1988	392000	691000	150000	14000	NA	105000	1230000	818	1130	3420000
1989	396000	842000	120000	34000	NA	98000	1330000	869	1140	3400000
1990	404000	874000	90900	64000	NA	112000	1300000	1010	1260	3370000
1991	346000	830000	117000	102000	NA	80800	1230000	739	884	3260000
1992	305000	861000	191000	70000	NA	103000	1270000	774	899	3200000
1993	335000	843000	196000	58500	19000	94800	1340000	699	788	2900000
1994	351000	858000	231000	53500	67100	76700	1490000	820	902	2800000
1995	374000	963000	264000	57000	34000	93800	1570000	933	998	2710000
1996	326000	1030000	268000	61000	39000	79900	1630000	1080	1120	2920000
1997	343000	1040000	265000	53000	26000	101000	1610000	1030	1050	3100000
1998	337000	1060000	310000	40000	50000	89000	1690000	999	999	3060000
1999	350000	1060000	323000	37000	61000	91000	1760000	963	942	3080000
2000	341000	1080000	365000	48600	32000	125000	1740000	961	910	3200000
2001	290000	1090000	284000	38100	41000	100000	1690000	962	886	3120000
