LIME STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) gross weight unless otherwise noted]							
Last modification: April 1, 2014							
Year	Primary production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1904	2500000	20000	13000	2500000	4.05	74	NA
1905	2700000	18000	20000	2700000	4.17	76	NA
1906	2900000	19000	23000	2900000	4.3	78	NA
1907	2800000	14000	16000	2800000	4.51	80	NA
1908	2500000	5000	NA	2500000	4.42	80	NA
1909	3200000	8000	NA	3200000	4.38	80	NA
1910	3200000	6000	17000	3200000	4.43	78	NA
1911	3100000	5000	22000	3100000	4.45	78	NA
1912	3200000	4000	27000	3300000	4.36	74	NA
1913	3300000	4000	27000	3200000	4.54	74.6	NA
1914	3100000	3000	22000	3000000	4.33	70.2	NA
1915	3300000	2000	15000	3300000	4.39	70.4	NA
1916	3700000	7000	22000	3700000	5.01	74.8	NA
1917	3400000	7000	17000	3400000	6.93	88.2	NA
1918	2900000	6000	7000	2900000	9.22	99.8	NA
1919	3000000	8000	6000	3000000	9.75	92	NA
1920	3200000	21000	5000	3300000	11.6	94.2	NA
1921	2300000	10000	5000	2300000	10.8	98.5	NA
1922	3300000	13000	8000	3300000	10.1	97.8	NA
1923	3700000	23000	11000	3700000	10.8	103	NA
1924	3700000	19000	14000	3700000	10.7	102	NA
1925	4200000	14000	13000	4200000	10.3	94.9	NA
1926	4100000	17000	12000	4100000	10	92.2	NA
1927	4000000	18000	14000	4000000	9.65	90.2	NA
1928	4000000	17000	16000	4000000	9.01	85.8	NA
1929	3900000	20000	16000	3900000	8.64	82.3	NA
1930	3100000	22000	11000	3100000	8.33	81.7	NA
1931	2500000	13000	11000	2500000	7.6	81.4	NA
1932	1800000	8000	3000	1800000	6.92	82.6	NA
1933	2100000	10000	3000	2000000	6.92	87.1	NA
1934	2200000	6000	3000	2200000	7.89	96.1	NA
1935	2700000	11000	4000	2700000	8.03	95.3	NA
1936	3400000	13000	4000	3400000	7.92	93.2	NA
1937	3700000	16000	10000	3700000	8.04	91.3	NA
1938	3000000	9000	12000	3000000	7.95	92	NA
1939	3900000	7000	19000	3800000	7.79	91.4	NA
1940	4400000	8000	29000	4400000	7.66	89.1	NA
1941	5500000	11000	39000	5500000	7.79	86.2	NA
1942	5500000	8000	33000	5500000	8.01	80.2	NA
1943	5900000	14000	21000	5900000	8.2	77.3	NA
1944	5900000	16000	21000	5900000	8.29	76.8	NA
1945	5400000	19000	22000	5400000	8.55	77.7	NA
1946	5400000	23000	30000	5400000	9.39	78.2	NA
1947	6200000	25000	46000	6100000	10.4	75.8	NA
1948	6600000	32000	57000	6600000	11.4	77.1	NA
1949	5700000	31000	54000	5700000	12.1	82.8	NA
1950	6800000	31000	46000	6800000	12.3	82.9	NA
1951	7500000	31000	57000	7500000	12.9	81.4	NA
1952	7300000	22000	72000	7300000	13	79.8	NA
1953	8800000	34000	73000	8700000	12.8	77.9	NA
1954	7800000	33000	66000	7800000	13	78.8	NA
1955	9500000	36000	74000	9400000	13.4	81.5	NA
1956	9600000	38000	75000	9400000	14.1	84.7	NA
1957	9300000	45000	59000	9200000	14.5	83.9	NA
1958	8400000	24000	42000	8100000	14.5	81.9	NA
1959	11300000	32000	55000	11200000	14.5	80.8	NA
1960	11700000	29000	55000	11700000	14.7	80.9	NA
1961	12000000	34000	27000	11700000	14.8	80.2	NA
1962	12500000	71000	18000	12500000	15	80.5	NA
1963	13200000	92000	15000	13200000	15.1	80.5	68000000
1964	14600000	91000	18000	13600000	15.3	80.5	82000000
1965	15200000	250000	36000	15400000	15.3	78.8	75000000
1966	16400000	178000	54000	16500000	14.6	73.5	78000000
1967	16300000	112000	47000	16400000	14.8	72.1	82000000
1968	16900000	96000	63000	16900000	14.8	69.3	85000000
1969	18300000	177000	46000	18500000	15.4	68.3	90000000
1970	17900000	183000	49000	18000000	16.3	68.4	97000000
1971	17800000	220000	60000	17900000	17.5	70.5	100000000
1972	18400000	225000	34000	18600000	18.6	72.3	102000000
1973	19200000	303000	34000	19400000	19.2	70.4	107000000
1974	19600000	377000	29000	19900000	24.3	80.2	110000000
1975	17400000	234000	49000	17500000	30.3	91.7	105000000
1976	18400000	331000	51000	18600000	33.3	95.3	108000000
1977	18100000	384000	30000	18400000	36.9	99.3	117000000
1978	18500000	553000	41000	19000000	40.5	101	120000000
1979	19000000	581000	41000	19500000	45.5	102	118000000
1980	17200000	435000	38000	17600000	49	97	120000000
1981	17100000	457000	25000	17500000	51.8	92.9	117000000
1982	12800000	316000	21000	13100000	54.5	92.1	109000000
1983	13500000	257000	25000	13700000	56.3	92.2	110000000
1984	14400000	224000	25000	14600000	56.4	88.5	117000000
1985	14200000	176000	17000	14400000	57	86.4	123000000
1986	13100000	182000	15000	13300000	57.9	86.1	124000000
1987	14300000	161000	12000	14400000	55.2	79.2	127000000
1988	15500000	191000	14000	15600000	53	73.1	134000000
1989	15600000	198000	29000	15700000	54.9	72.2	139000000
1990	15800000	157000	40000	15700000	57.1	71.2	136000000
1991	15700000	158000	47000	15800000	57	68.2	133000000
1992	16200000	193000	59000	16300000	58.8	68.3	133000000
1993	17100000	201000	69000	17200000	57.4	64.8	123000000
1994	17400000	204000	74000	17500000	58.6	64.5	118000000
1995	18500000	289000	72000	18700000	59.5	63.6	120000000
1996	19200000	262000	50000	19400000	61.5	63.9	121000000
1997	19700000	270000	80000	19900000	61	62	118000000
1998	20100000	231000	56000	20300000	60.3	60.3	117000000
1999	19700000	140000	59000	19700000	60.4	59.1	116000000
2000	19500000	113000	73000	19600000	60.6	57.4	121000000
2001	18900000	115000	96000	18900000	61.3	56.4	121000000
2002	17900000	157000	106000	17900000	62.6	56.7	221000000
2003	19200000	202000	98000	19300000	64.8	57.4	236000000
2004	20000000	232000	100000	20100000	68.9	59.4	251000000
2005	20000000	310000	133000	20200000	75	62.6	270000000
2006	21000000	298000	116000	21200000	81.2	65.7	285000000
2007	20200000	375000	144000	20400000	87	68.4	302000000
2008	19900000	307000	174000	20000000	92.4	70	306000000
2009	15800000	422000	108000	16100000	105	79.8	295000000
2010	18300000	445000	215000	18500000	107	80	313000000
2011	19100000	512000	231000	19400000	112	80.8	328000000
2012	18800000	468000	212000	19100000	118	84.1	348000000
NA Not available. 							
1Compiled by T.G. Goonan and M.M. Miller.							
Data are calculated, estimated, or reported.  See notes for more information.							
