MANGANESE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) manganese content unless otherwise noted]
Last modification:  January 19, 2017
Year	 Production	Imports	Exports	Stocks                       	Reported consumption Mn ore	Reported consumption Mn alloys	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	28000	174000	9070	NA	NA	NA	202000	23.1670733831	450	592000
1901	28000	76200	9070	NA	NA	NA	104000	26.194407887	510	429000
1902	19000	139000	9070	NA	NA	NA	158000	26.4482084862	500	441000
1903	19000	154000	9070	NA	NA	NA	173000	43.4391321982	790	411000
1904	18000	81600	9070	NA	NA	NA	99800	24.0076134129	430	416000
1905	29000	149000	9070	NA	NA	NA	178000	28.4603057249	520	481000
1906	30000	179000	9070	NA	NA	NA	209000	48.2082634168	870	868000
1907	42000	193000	9070	NA	NA	NA	235000	46.3784100001	810	1080000
1908	35000	158000	9070	NA	NA	NA	193000	26.5705149719	480	641000
1909	42000	133000	9070	NA	NA	NA	175000	28.5192849745	520	811000
1910	42000	214000	7260	NA	NA	NA	256000	30.0550725677	530	888000
1911	32000	193000	7260	NA	NA	NA	225000	29.3766433022	510	719000
1912	32000	160000	7260	NA	NA	NA	191000	24.8422574128	420	856000
1913	34000	303000	7260	NA	NA	NA	337000	28.0742668659	460	1040000
1914	45000	208000	7260	NA	NA	NA	261000	27.4254559402	445.218440588	840000
1915	83000	155000	907.18	NA	NA	NA	237000	29.3525990374	471.149262238	636000
1916	174000	308000	907.18	NA	NA	NA	481000	49.7206802902	742.099705824	850000
1917	284000	376000	907.18	NA	NA	NA	660000	46.69202076	594.046065649	864000
1918	419000	301000	4540	NA	NA	NA	716000	73.3485656751	793.815645835	934000
1919	127000	317000	3630	NA	NA	NA	440000	80.5511857322	759.20061953	550000
1920	210000	345000	2720	NA	NA	NA	552000	57.1481231349	464.996933563	754000
1921	21000	203000	907.18	NA	113000	NA	223000	18.5421355601	168.871908562	523000
1922	135000	262000	907.18	NA	168000	NA	396000	32.6694673701	317.796375195	535000
1923	208000	178000	3630	NA	282000	NA	382000	42.1947992815	403.391962538	731000
1924	171000	288000	2720	NA	231000	NA	455000	35.7747159339	341.036376872	919000
1925	230000	362000	4540	NA	277000	NA	578000	40.303514712	374.916415925	1170000
1926	212000	353000	907.18	NA	328000	NA	564000	39.0007011523	359.453466842	1370000
1927	188000	347000	907.18	NA	296000	NA	534000	34.8017637638	326.777124543	1430000
1928	134000	325000	7260	NA	304000	NA	452000	37.1397555812	353.375409907	1280000
1929	158000	385000	907.18	NA	364000	NA	542000	38.456671253	365.905530476	1580000
1930	122000	269000	5440	NA	366000	NA	386000	32.945603527	321.734409443	1590000
1931	69000	165000	907.18	NA	215000	NA	233000	26.1069826649	279.518015684	982000
1932	18000	61700	7260	NA	68000	NA	79800	35.159611846	419.565773819	559000
1933	24000	181000	7260	NA	175000	NA	206000	38.5894933534	485.402432118	779000
1934	45000	192000	7260	NA	219000	NA	238000	28.9976461755	353.199100798	1310000
1935	89000	221000	7260	NA	275000	NA	310000	30.9917354774	368.072867903	1800000
1936	123000	455000	7260	NA	556000	NA	578000	27.227718771	320.326103188	2340000
1937	164000	482000	1810	NA	642000	NA	644000	27.4189396649	311.225194835	2740000
1938	47000	263000	7260	NA	296000	NA	310000	35.4137820134	409.881736266	2380000
1939	139000	368000	2720	NA	431000	NA	504000	35.3762702072	415.214439051	1110000
1940	188000	639000	10900	NA	627000.077809	472000	816000	31.5853475976	367.271483693	2540000
1941	210000	756000	3630	NA	748000	531000	961000	34.2757417641	379.576320755	2450000
1942	285000	705000	5440	NA	694000	592000	990000	34.5646378707	345.992371078	2290000
1943	294000	663000	9070	NA	695000	594000	948000	35.6925999525	336.405277592	1800000
1944	287000	578000	907.18	NA	696000	594000	864000	43.7046179711	405.047432541	1270000
