MERCURY STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values in metric tons (t) mercury content unless otherwise noted]											
Last modification: April 1, 2014											
Year	Primary production	Secondary production	Imports	Exports	Government stocks	Government shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	983	NA	1.18	353	0	0	NA	631	1500	29000	3150
1901	1030	NA	0.659	389	0	0	NA	643	1400	27000	2960
1902	1190	NA	0	460	0	0	NA	730	1400	26000	3800
1903	1240	NA	0	610	0	0	NA	627	1200	22000	3640
1904	1210	NA	0	723	0	0	NA	489	1200	22000	3350
1905	1040	NA	1.19	460	0	0	NA	580	1100	21000	3340
1906	887	NA	0.034	220	0	0	NA	668	1200	22000	3860
1907	733	NA	7.52	175	0	0	NA	566	1200	21000	3310
1908	672	NA	6.87	102	0	0	NA	577	1300	24000	3300
1909	717	NA	7.25	231	0	0	NA	493	1400	25000	3230
1910	701	NA	0.306	65.4	0	0	NA	636	1400	24000	3690
1911	723	NA	214	9.9	0	0	NA	927	1400	24000	4250
1912	853	NA	37.5	10.5	0	0	NA	880	1200	21000	4160
1913	688	NA	77.9	38.8	0	0	NA	727	1160	19100	4050
1914	563	NA	279	49.2	0	0	NA	793	1420	23100	3740
1915	716	NA	191	115	0	0	NA	792	2560	41100	3890
1916	1020	NA	193	302	0	0	NA	909	3690	55100	3500
1917	1230	NA	177	367	0	0	NA	1040	3120	39800	3970
1918	1120	NA	229	105	0	0	NA	1240	3630	39300	3420
1919	729	NA	362	310	0	0	NA	781	2710	25600	3100
1920	456	NA	482	52.8	0	0	NA	885	2380	19400	2910
1921	216	NA	361	13.4	0	0	NA	563	1340	12100	2130
1922	217	NA	576	9.9	0	0	NA	783	1730	16800	3170
1923	270	NA	615	10.8	0	0	NA	874	1950	18600	3210
1924	343	NA	448	7.08	0	0	NA	784	2050	19500	3070
1925	312	NA	709	6.84	0	0	NA	1020	2440	22600	3560
1926	260	NA	884	3.88	0	0	NA	1140	2700	24800	4000
1927	384	NA	687	NA	0	0	NA	1070	3430	32000	5170
1928	616	NA	502	NA	0	0	NA	1110	3580	34100	5140
1929	816	NA	514	NA	0	0	NA	1330	3540	33700	5610
1930	743	NA	128	NA	0	0	NA	869	3340	32700	3760
1931	860	NA	18.9	172	0	0	NA	707	2530	27100	3420
1932	435	NA	134	7.38	0	0	NA	562	1680	20100	2850
