MAGNESIUM COMPOUNDS STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) of magnesium oxide content unless otherwise noted]							
Last modification: April 1, 2014							
Year	 Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production (gross weight)
1900	977	NA	NA	977	19.5	380	NA
1901	1520	NA	NA	1520	7.3	140	NA
1902	1230	NA	NA	1230	6.5	120	NA
1903	1620	41400	NA	43000	6.8	120	NA
1904	1240	28300	NA	1240	7.3	130	NA
1905	1710	63900	NA	1710	8.8	160	NA
1906	3390	73100	NA	3390	6.8	120	NA
1907	3280	79100	NA	82400	7	120	NA
1908	2860	67700	NA	70600	7	130	NA
1909	4110	99600	NA	104000	9.3	170	NA
1910	5390	147000	NA	152000	13.9	240	NA
1911	4070	117000	NA	121000	18.4	320	NA
1912	4560	122000	NA	127000	18.4	310	NA
1913	4180	158000	NA	162000	18.4	303	556000
1914	4900	117000	NA	122000	25.3	413	434000
1915	13200	46000	NA	59200	20.7	334	307000
1916	67200	41200	NA	108000	20.7	309	599000
1917	137000	16800	NA	154000	21.1	269	753000
1918	100000	19600	NA	120000	18	194	364000
1919	67800	11400	NA	79100	18.4	174	284000
1920	132000	28100	NA	160000	20.9	170	576000
1921	20800	30300	NA	51100	24.6	224	384000
1922	21900	100000	NA	122000	39.4	383	536000
1923	67200	71900	NA	139000	28.8	274	514000
1924	52500	61000	NA	113000	37.4	356	491000
1925	49800	64400	NA	114000	41.2	385	716000
1926	61300	84700	NA	146000	44	404	716000
1927	49100	55900	NA	105000	29.4	275	833000
1928	53100	58600	NA	112000	28.8	274	827000
1929	81700	53400	NA	135000	23.8	227	1060000
1930	52700	42500	NA	95200	22.1	217	834000
1931	31000	13400	NA	44300	23.4	251	691000
1932	16500	9650	NA	26200	24.9	296	697000
1933	47000	17000	NA	63900	21.8	273	883000
1934	47800	23400	NA	71300	45.1	549	1160000
1935	77400	24700	NA	102000	30.5	363	1440000
1936	88900	42100	NA	131000	21.8	256	1590000
1937	84600	55200	NA	140000	22.6	256	2000000
1938	41900	25300	NA	67200	22.9	265	1700000
1939	87300	43700	NA	131000	23	270	2000000
1940	142000	29300	NA	172000	23.3	271	2000000
1941	210000	34700	NA	245000	29	322	2000000
1942	357000	7860	NA	365000	67.1	671	2300000
1943	593000	8690	NA	602000	83.1	784	2400000
1944	502000	6660	NA	509000	81.8	757	2000000
1945	298000	5430	NA	303000	54.1	492	1200000
1946	284000	2210	NA	286000	52.2	435	1200000
1947	335000	2120	NA	337000	56.7	414	1600000
1948	356000	3760	NA	359000	69	466	2400000
1949	281000	3730	NA	285000	73.7	505	2700000
1950	366000	15100	NA	381000	75	507	1330000
1951	464000	30400	NA	494000	68.3	427	1650000
1952	404000	24800	NA	429000	69.3	425	1520000
1953	422000	39300	NA	461000	69.8	426	1780000
1954	340000	65700	NA	405000	89.9	545	1650000
1955	494000	98400	NA	592000	78.9	481	1930000
1956	532000	95200	NA	627000	80.9	484	2360000
1957	671000	75300	24600	722000	101	587	2470000
1958	1210000	74600	48100	1230000	79.8	451	2330000
1959	1480000	141000	77900	1540000	75.9	424	3740000
1960	1450000	108000	82900	1470000	77.2	424	6820000
1961	1590000	51400	111000	1530000	74.7	408	7250000
1962	1500000	96200	64700	1530000	85	459	7440000
1963	1660000	87900	69700	1680000	81.1	431	8980000
1964	1770000	63000	71300	1770000	91.5	482	9540000
1965	1840000	126000	69700	1890000	93.2	483	10000000
1966	1860000	169000	73000	1960000	89.3	449	10100000
1967	1580000	116000	64700	1640000	99.3	484	10200000
1968	1560000	119000	58000	1630000	103	484	10700000
1969	1670000	103000	58000	1710000	105	466	9630000
1970	1550000	126000	89600	1580000	121	508	8720000
1971	1320000	128000	54700	1390000	130	523	8970000
1972	1430000	131000	54700	1500000	107	417	8830000
1973	1440000	154000	54700	1540000	115	422	9070000
1974	1430000	149000	56400	1520000	129	426	9870000
1975	1310000	148000	82900	1380000	168	509	9640000
1976	1390000	86200	74600	1400000	177	507	9070000
1977	1390000	74600	79600	1380000	183	492	9960000
1978	1440000	86200	97800	1430000	185	463	10200000
1979	1510000	89600	91200	1510000	188	422	10900000
1980	1210000	76300	97800	1180000	247	489	11500000
1981	1140000	82900	53100	1170000	270	484	11300000
1982	849000	64700	33200	881000	285	481	11400000
1983	940000	101000	24900	1020000	276	452	11300000
1984	952000	191000	44800	1100000	264	414	11800000
1985	697000	222000	41500	877000	366	554	12200000
1986	683000	265000	41500	907000	366	544	12300000
1987	769000	272000	33200	1010000	314	451	12000000
1988	950000	328000	56400	1220000	302	416	12000000
1989	851000	284000	43100	1090000	310	408	12000000
1990	828000	244000	97800	973000	299	373	10500000
1991	733000	259000	94500	897000	343	411	9790000
1992	693000	297000	81300	909000	320	372	10200000
1993	640000	425000	86200	978000	331	373	8280000
1994	572000	476000	76300	972000	340	374	9020000
1995	597000	544000	89600	1050000	407	435	10600000
1996	645000	398000	109000	934000	412	428	11000000
1997	667000	430000	92900	1000000	432	439	10100000
1998	609000	570000	81300	1100000	391	391	11400000
1999	655000	532000	86200	1100000	380	372	9830000
2000	614000	655000	92900	1180000	406	384	12700000
2001	643000	509000	103000	1050000	425	391	11100000
2002	517000	559000	109000	967000	439	398	14100000
2003	546000	551000	87900	1010000	512	453	14100000
2004	484000	590000	57000	1020000	595	513	16500000
2005	499000	648000	52000	1100000	594	496	15600000
2006	468000	615000	47000	1040000	602	487	14400000
2007	567000	592000	43000	1120000	531	417	20300000
2008	454000	567000	41000	980000	517	391	21200000
2009	396000	287000	26500	657000	582	442	18400000
2010	434000	462000	31500	864000	601	449	21300000
2011	507000	524000	43100	988000	629.194736644	456	26100000
2012	413000	438000	33200	818000	501	356	23100000
NA Not available. 							
1Compiled by C.A. DiFrancesco, D.A. Kramer, and E.L. Bray.							
Data are calculated, estimated, or reported.  See notes for more information.							
