MAGNESIUM METAL STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) magnesium content unless otherwise noted]
Last modification: November 2, 2018
Year	Primary production	Secondary production	Imports	Exports	Government shipments	Stocks	Apparent consumption 	Unit value ($/t)	Unit value (98$/t)	World production
1915	39.7	NA	NA	NA	NA	NA	39.7	11100	179000	NA
1916	34.2	NA	NA	NA	NA	NA	34.2	9100	136000	NA
1917	52.5	NA	NA	NA	NA	NA	52.5	4450	56700	NA
1918	129	NA	5.4	NA	NA	NA	134	3990	43100	NA
1919	57.8	NA	6	NA	NA	NA	63.8	4030	38000	NA
1920	56.2	NA	13	NA	NA	NA	69.2	3530	28700	NA
1921	21.8	NA	18	NA	NA	NA	39.8	3530	32100	NA
1922	27.2	NA	83	NA	NA	NA	110	3530	34300	NA
1923	56.7	NA	6	NA	NA	NA	63	2760	26300	NA
1924	58.1	NA	4	NA	NA	NA	62	2360	22500	NA
1925	111	NA	4	NA	NA	NA	115	1900	17800	NA
1926	146	NA	5	NA	NA	NA	151	1760	16100	NA
1927	166	NA	3	NA	NA	NA	169	1500	14000	NA
1928	241	NA	5	2	NA	NA	244	1210	11500	NA
1929	412	NA	2	52	NA	NA	362	1260	12000	NA
1930	254	NA	3	38	NA	NA	219	1060	10400	NA
1931	263	NA	1	58	NA	NA	206	661	7080	NA
1932	359	NA	0.424	77	NA	NA	283	639	7610	NA
1933	651	NA	0.261	199	NA	NA	452	617	7730	NA
1934	1930	NA	0.3	291	NA	NA	1640	573	6970	NA
1935	1920	NA	0.401	953	NA	NA	971	573	6820	NA
1936	1770	NA	1	390	NA	NA	1380	573	6720	NA
1937	2060	NA	1	276	NA	NA	1780	661	7490	19600
1938	2920	NA	0	1130	NA	NA	1790	661	7640	23900
1939	3040	NA	0	2020	NA	NA	1020	661	7750	29400
1940	5680	NA	0	779	NA	NA	4900	595	6930	37800
1941	14800	14	0	1410	NA	NA	13400	507	5620	59800
1942	44400	79	1	3670	NA	NA	40800	507	5070	105000
1943	167000	136	0	36700	NA	21800	130000	463	4370	238000
1944	143000	190	55	22000	NA	NA	121000	463	4290	218000
1945	29700	748	52	1250	NA	NA	29300	463	4210	62000
1946	4820	1100	219	278	NA	NA	5860	463	3860	24000
1947	11200	4170	183	322	NA	NA	15200	463	3380	32000
1948	9080	3800	615	403	NA	NA	13100	463	3130	31000
1949	10500	2670	2320	642	NA	NA	14900	463	3170	34000
1950	14300	4510	787	824	NA	NA	18800	551	3720	45600
1951	37100	5590	3610	690	NA	NA	45600	551	3440	82600
1952	96000	6570	272	1090	NA	NA	102000	595	3650	150000
1953	84400	5480	2220	2690	NA	15400	89400	595	3630	153000
1954	63300	2950	673	2990	NA	22200	58100	617	3740	119000
1955	55500	4130	1690	7690	NA	26900	47900	716	4370	121000
1956	62000	4860	595	3570	NA	30200	60600	777	4650	103000
1957	73700	4590	930	1450	NA	63400	44600	799	4650	117000
1958	27300	4330	510	954	NA	52600	42000	799	4510	71200
1959	28200	4460	585	2170	NA	37100	46600	799	4460	74700
1960	36400	3940	393	4660	NA	24400	48700	799	4390	92900
