MICA (NATURAL), SCRAP AND FLAKE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: November 15th, 2018
Year	Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1906	NA	NA	NA	NA	NA	NA	NA	14800
1907	NA	NA	NA	NA	NA	NA	NA	19600
1908	NA	NA	NA	NA	NA	NA	NA	25500
1909	NA	NA	NA	NA	NA	NA	NA	29500
1910	NA	NA	NA	NA	4500	NA	NA	27500
1911	NA	NA	NA	NA	3770	NA	NA	30600
1912	NA	156	NA	NA	3560	NA	NA	35000
1913	NA	132	NA	NA	5600	NA	NA	40600
1914	NA	184	NA	NA	3780	NA	NA	NA
1915	NA	156	NA	NA	3970	NA	NA	NA
1916	NA	164	NA	NA	4540	NA	NA	NA
1917	NA	42.2	NA	NA	3590	NA	NA	NA
1918	NA	5.26	NA	NA	2630	NA	NA	NA
1919	NA	0	NA	NA	23.9	NA	NA	NA
1920	NA	0	NA	NA	42.5	NA	NA	NA
1921	NA	61.1	NA	NA	61.1	NA	NA	NA
1922	NA	142	NA	NA	142	NA	NA	NA
1923	4470	847	NA	NA	5320	83.5	795	NA
1924	4950	609	NA	NA	5560	87.4	833	NA
1925	4470	431	NA	NA	4900	85.4	791	15900
1926	4410	63.8	NA	NA	4480	69	633	12100
1927	5260	0	NA	NA	5260	80.6	753	12500
1928	5600	0.068	NA	NA	5600	81.1	772	18900
1929	4100	0.463	NA	NA	4100	95.3	907	18800
1930	6830	1670	NA	NA	8500	51.6	505	10100
1931	7080	1880	NA	NA	8960	61.6	660	10600
1932	6990	1230	NA	NA	8220	44.5	531	10300
1933	8920	1710	NA	NA	10600	44.7	562	13500
1934	7270	3320	NA	NA	10600	55.5	676	12000
1935	16600	2720	NA	NA	19300	32.7	388	18200
1936	22900	3590	NA	NA	26500	31.5	371	23100
1937	24700	6140	1390	NA	29500	34	386	31300
1938	24600	4110	1260	NA	27400	37.6	435	23300
1939	28100	4030	1360	NA	30700	41.2	484	28500
1940	25400	2890	641	NA	27600	40	466	24600
1941	39400	1220	798	NA	39800	38.9	431	32300
1942	42600	2400	655	NA	44400	38.8	388	45700
1943	46800	2240	434	NA	48600	42.5	401	48900
1944	47800	2430	377	NA	49900	40	371	51500
1945	47000	3410	679	NA	49700	42.5	386	42600
1946	56300	6000	1040	NA	61300	44.7	372	57300
1947	58500	5410	1060	NA	62900	50.7	370	53200
1948	58600	8960	1030	NA	66600	55.1	372	60200
1949	50300	1840	872	NA	51200	56.9	390	38000
1950	65500	4250	1160	NA	68600	60	406	71800
1951	63600	5690	1420	NA	67900	60.4	380	80400
1952	67900	6140	1890	NA	72100	63	387	82200
1953	66200	3710	2070	NA	67900	63.3	386	76400
1954	72600	4310	2750	NA	74100	67.4	408	89300
1955	96200	8580	2630	NA	102000	68.2	416	105000
1956	82600	6580	4040	NA	85100	75.4	452	96700
1957	87100	4730	4200	NA	87600	69.7	403	102000
1958	88900	3710	3720	NA	88900	62.5	353	101000
1959	97100	4230	4040	NA	97300	58.2	325	111000
1960	90700	5680	3210	NA	93200	57.2	315	116000
1961	93400	2750	3210	NA	93000	58.5	318	NA
1962	103000	4080	3370	NA	104000	62.7	337	NA
1963	106000	7410	3290	NA	110000	64.1	341	NA
1964	105000	2490	3750	NA	104000	65.6	345	NA
1965	115000	1360	3540	NA	113000	66.1	341	NA
1966	93400	1180	4540	13600	93400	66.9	336	NA
1967	88000	463	6350	2720	99800	65.4	319	NA
1968	101000	1450	4990	4540	110000	70.2	330	NA
1969	113000	1360	4540	2720	120000	71.1	316	153000
1970	108000	2720	1810	2720	108000	68.1	286	149000
1971	108000	3630	3630	4540	108000	76.7	309	156000
1972	118000	907	4540	25400	118000	75	292	189000
1973	124000	2720	4540	13600	124000	76.1	279	249000
1974	106000	2720	4540	18100	122000	95.8	317	218000
1975	104000	4540	4540	8160	103000	89.5	271	215000
1976	104000	1810	5440	6350	101000	97.8	280	206000
1977	111000	1810	7260	6350	105000	108	289	244000
1978	112000	3630	8160	6350	108000	122	306	256000
1979	111000	7260	10900	9980	107000	137	308	236000
1980	101000	8160	12700	6350	96200	148	292	214000
1981	106000	9980	9980	6350	106000	164	295	142000
1982	87100	7260	9980	6350	84400	185	312	122000
1983	118000	6350	9070	6350	115000	159	260	237000
1984	132000	10900	7260	6350	136000	161	253	255000
1985	123000	9070	8160	6350	124000	171	259	238000
1986	112000	10000	7000	7000	115000	195	290	252000
1987	113000	10000	5000	7000	118000	198	284	288000
1988	109000	12000	6000	7000	115000	217	299	254000
