MICA (NATURAL), SHEET STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) gross weight unless otherwise noted]									
Last modification: October 17, 2013									
Year	 Production	Imports	Exports	Stocks	Shipments	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	207	887	NA	NA	NA	6080	448	8800	1140
1901	163	761	NA	NA	NA	2890	605	12000	1320
1902	169	1020	NA	NA	NA	2460	495	9300	1280
1903	281	645	NA	NA	NA	2430	420	7600	1410
1904	303	520	NA	NA	NA	1820	361	6600	1320
1905	420	723	NA	NA	NA	2160	383	7000	1600
1906	646	1390	NA	NA	NA	3390	391	7100	3330
1907	481	1060	NA	NA	NA	4290	726	13000	3250
1908	441	249	NA	NA	NA	2880	530	9600	3180
1909	821	838	NA	NA	NA	5390	286	5200	2590
1910	1120	890	NA	NA	NA	5730	243	4300	2650
1911	856	603	189	NA	NA	4530	353	6200	2850
1912	384	902	162	NA	NA	4190	728	12000	2830
1913	771	929	135	NA	NA	6590	463	7630	3520
1914	253	164	212	NA	NA	3970	1100	17900	2380
1915	251	197	24.6	NA	NA	4360	1500	24200	1720
1916	393	319	28.7	NA	NA	5130	1340	20000	3220
1917	579	298	5.34	NA	NA	4060	1300	16600	3380
1918	746	336	NA	NA	NA	3000	981	10600	3860
1919	701	328	NA	NA	NA	1930	690	6510	NA
1920	764	589	NA	NA	NA	2650	716	5820	NA
1921	336	149	NA	NA	NA	1010	352	3200	NA
1922	489	0	NA	NA	NA	489	397	3850	NA
1923	936	2480	NA	NA	NA	3410	333	3170	NA
1924	663	212	NA	NA	NA	875	320	3050	NA
1925	814	1980	NA	NA	NA	2790	396	3700	6710
1926	985	3110	NA	NA	NA	4100	406	3720	6360
1927	686	1490	NA	NA	NA	2180	310	2900	5780
1928	763	1670	NA	NA	NA	2440	303	2890	6910
1929	923	3180	NA	NA	NA	4100	309	2940	7660
1930	665	1660	NA	NA	NA	2330	265	2600	5650
1931	437	749	NA	608	NA	577.713740626	265	2840	3620
1932	154	552	NA	824	NA	489.465092218	309	3680	2880
1933	165	755	NA	739	NA	1010	331	4150	3460
1934	265	1320	NA	604	NA	1720	331	4030	5850
1935	425	1710	NA	619	NA	2120	375	4460	8760
1936	598	2470	NA	706	NA	2980	331	3880	7940
1937	748	4600	238	2020	NA	3800	375	4250	11400
1938	426	1110	343	757	NA	2450	331	3830	8070
1939	369	1670	296	1580	NA	918.967551368	375	4400	8610
1940	737	4090	179	2460	NA	3770.69866367	397	4620	9690
1941	1210	6310	258	4180	NA	7260	463	5130	14100
1942	1250	4350	253	2600	NA	8850	573	5730	12200
1943	1560	6350	195	2050	NA	11600	2070	19500	11300
1944	691	4140	185	1810	NA	4650	4720	43700	8360
1945	589	5120	198	1390	NA	5500	1260	11500	8810
1946	489	4270	354	3550	NA	6790	441	3680	11900
1947	189	3630	291	2880	NA	5090	617	4500	10900
