MOLYBDENUM STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) molybdenum content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	0	NA	NA	NA	NA	0	NA	NA	10
1901	7	NA	NA	NA	NA	7	NA	NA	22
1902	7	NA	NA	NA	NA	7	NA	NA	46
1903	108	NA	NA	NA	NA	110	NA	NA	148
1904	7	NA	NA	NA	NA	7	NA	NA	62
1905	4	NA	NA	NA	NA	4	NA	NA	90.8
1906	7	NA	NA	NA	NA	7	NA	NA	90.8
1907	0	NA	NA	NA	NA	0	NA	NA	90.8
1908	15	NA	NA	NA	NA	15	NA	NA	136
1909	0	NA	NA	NA	NA	0	NA	NA	91
1910	0	NA	NA	NA	NA	0	NA	NA	91
1911	0	NA	7.71	NA	NA	7.7	NA	NA	91
1912	0	NA	3.17	NA	NA	3.2	450	7600	181
1913	0	NA	7.08	NA	NA	7.1	670	11000	91
1914	0.588	NA	NA	NA	NA	0.59	2240	36400	136
1915	82.4	NA	NA	NA	NA	82	2240	36000	272
1916	93.8	NA	NA	NA	NA	94	2240	33400	454
1917	159	NA	NA	NA	NA	160	3160	40200	590
1918	391		54.5	NA	NA	450	3270	35400	816
1919	180	135	26.6	NA	45	210	2580	24300	408
1920	15.8	15.8	3.9	NA	7.11	58	1120	9110	181
1921	0	0	7.43	NA	NA	15	1570	14300	45
1922	0	0	103	NA	NA	100	490	4760	45
1923	10.3	10.3	7.56	NA	NA	18	1700	16200	136
1924	135	135	4.9	NA	NA	140	2020	19200	272
1925	523	523	1.01	NA	NA	520	900	8330	680
1926	649	649	6.35	NA	NA	660	1570	14400	816
1927	1040	1040	6.44	NA	NA	1000	1700	15900	1220
1928	1510	1510	0.261	NA	NA	1500	2240	21300	1720
1929	1770	1770	0.738	NA	NA	1800	1120	10700	2000
1930	1710	1710	65.8	NA	NA	1800	1230	12100	1910
1931	1420	1430	95.6	NA	NA	1500	940	10100	1590
1932	1100	1080	0.02	NA	NA	1100	1120	13400	1320
1933	2580	2610	0.304	NA	NA	2600	1680	21100	2990
1934	4250	4250	97	NA	NA	4300	1570	19100	5130
1935	5220	4940	31.2	NA	NA	5300	1570	18600	6530
1936	7800	8150	0.0222	NA	NA	7800	1480	17400	9030
1937	13300	13700	3.5	NA	NA	13000	1520	17300	14800
1938	15100	11700	0.0113	NA	NA	15000	1570	18200	16400
1939	13800	14700	34	10200	NA	3600	1520	17800	15600
1940	15600	11500	0	2990	NA	13000	1550	18000	17400
1941	18300	17400	1.95	3470	13700	15000	1520	16800	20300
1942	25800	30100	343	7000	9530	23300	1590	15900	29000
1943	28000	24500	811	4890	13700	19800	1640	15500	31600
1944	17500	17900	1560	3970	12700	16100	1740	16100	21500
1945	14000	15300	302	1300	13500	12200	1710	15600	16300
1946	8260	7610	125	567	13600	7720	1800	15000	10800
1947	12300	10100	0	1690	15600	8610	1830	13300	14000
1948	12100	13500	0	2240	13000	12500	1870	12600	13600
1949	10200	10600	21.8	2720	13600	6900	2100	14400	11400
1950	12900	20200	1.26	3230	2640	20600	2150	14500	14500
1951	17600	17200	3.74	2160	3670	14400	2310	14500	20300
1952	19600	19400	22.5	3200	4640	15500	2350	14400	22600
1953	26000	24400	0	3410	6900	20300	2420	14800	28400
1954	26600	29000	70	6250	4020	23300	2550	15400	29700
1955	28000	29400	61	6740	2670	22700	2570	15700	34000
1956	26100	25900	27.7	8460	4580	15800	2720	16300	31900
1957	27600	25900	709	11700	7250	13900	2850	16500	34600
1958	18600	19200	43	5510	8180	12200	2950	16600	26200
1959	23100	23400	51.2	8640	6630	16100	3020	16900	32400
1960	31000	31700	89.6	14000	7080	16600	3040	16700	40400
1961	30200	30300	14.5	16500	5500	15300	3230	17600	33600
1962	23200	22900	34.9	7160	5210	16400	3310	17800	26900
1963	29500	29900	198	12200	5630	17100	3300	17600	34000
1964	29800	29500	135	12600	6060	16900	3510	18500	35300
1965	35100	35100	267	11900	6210	23300	3660	18900	44700
1966	41100	41600	123	14200	9220	24000	3630	18200	56700
1967	40900	37000	549	14300	12400	24000	3730	18200	64300
1968	42400	42300	208	13600	17200	24200	3830	18000	65700
1969	45300	46700	78	26700	14400	21500	3970	17700	72300
1970	50500	50100	145	26400	18700	19900	3900	16400	82300
1971	49700	44400	494	21800	29100	18000	4010	16200	77600
1972	50900	46400	456	21100	35900	23500	3910	15300	79300
1973	52600	61300	752	34600	23800	30900	3870	14200	81700
1974	50800	53600	307	37300	21300	16300	4680	15500	84200
1975	48100	47700	1390	29500	18300	23000	6250	18900	81800
1976	51400	51900	1280	29700	14700	26600	7170	20500	88700
1977	55500	56700	2180	30700	13000	28700	10700	28800	95100
1978	59800	59300	2660	33300	12200	30000	20300	50600	100000
1979	65300	65100	2150	37000	12300	30400	51000	114000	104000
1980	68400	67700	3080	35000	23800	25000	20700	40900	111000
1981	63500	53900	3560	26900	38900	25100	14100	25300	109000
1982	38300	34500	4540	26700	41800	13200	9020	15200	95000
1983	15200	22100	4010	24400	19800	16800	8050	13200	63800
1984	47000	46400	4110	36500	17500	16900	7850	12300	97700
1985	49200	50800	2640	36300	15800	17200	7160	10800	98400
1986	42600	43100	3050	28000	15400	18100	6320	9400	93200
1987	34100	31700	6050	20600	19600	15400	6400	9180	99500
1988	43100	45200	4007	27200	14500	25000	7600	10500	113000
1989	63100	61700	2380	54000	16200	9780	7420	9750	136000
1990	61600	61600	2560	43900	16200	20300	6290	7840	127000
1991	53400	53600	2630	36200	17300	18700	5250	6280	115000
1992	49700	43100	3320	36100	21900	12300	4860	5650	114000
1993	36800	39200	7140	30800	19800	15200	5160	5820	99200
1994	46800	46000	7180	38300	11600	23900	10500	11500	108000
1995	60900	61700	11600	50800	12400	20900	17400	18600	136000
1996	56000	35800	13200	49700	9900	22000	8340	8660	127000
1997	60100	32100	13100	62100	11300	9700	9470	9620	138000
1998	53300	52100	14300	46600	16200	16100	7500	7500	135000
