SODIUM SULFATE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 30, 2015
Year	Primary production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1920	13500	NA	NA	NA	13500	16.4	133	NA
1921	4450	NA	NA	NA	4450	1.91	17.4	NA
1922	4550	NA	NA	NA	4550	7.95	77.1	NA
1923	9140	NA	NA	NA	9140	10.9	104	NA
1924	14700	NA	NA	NA	14700	11.9	113	NA
1925	9020	NA	NA	NA	9020	9.36	86.6	NA
1926	17800	NA	NA	NA	17800	9.37	86	NA
1927	20900	NA	NA	NA	20900	8.07	75.4	NA
1928	5970	4650	NA	NA	10600	7.12	67.8	NA
1929	6840	89200	1510	NA	94500	6.02	57.4	NA
1930	29600	73900	4020	NA	99400	6.97	68.3	NA
1931	29500	76200	4220	NA	101000	6.72	71.9	NA
1932	29200	63800	1300	NA	91700	7.2	85.9	NA
1933	42200	100000	NA	NA	142000	5.81	73.1	NA
1934	15100	89500	NA	NA	105000	9.81	120	NA
1935	189000	106000	NA	NA	294000	9.32	111	NA
1936	46800	149000	NA	NA	195000	7.2	84.7	NA
1937	244000	215000	NA	NA	459000	10.7	121	NA
1938	72800	136000	NA	NA	209000	8.2	95	NA
1939	124000	141000	NA	NA	265000	8.27	97.1	NA
1940	168000	66200	NA	NA	234000	9.11	106	NA
1941	682000	68900	NA	NA	751000	9.11	101	NA
1942	765000	85300	NA	NA	850000	10.3	103	NA
1943	775000	29900	NA	NA	805000	10.8	102	NA
1944	786000	28100	NA	NA	814000	10.6	98.5	NA
1945	757000	18100	NA	NA	776000	10.3	93.6	NA
1946	742000	20000	NA	NA	762000	9.44	78.7	NA
1947	934000	44500	NA	NA	979000	9.39	68.5	NA
1948	927000	27200	NA	NA	954000	14.3	96.5	NA
1949	754000	19100	12700	NA	760000	17.6	121	NA
1950	845000	60800	15400	NA	891000	16.2	109	NA
1951	1050000	73500	23600	NA	1100000	13	81.5	NA
1952	946000	50800	25400	NA	972000	14.1	86.4	NA
1953	1050000	55300	25400	NA	1080000	15	91.2	NA
1954	917000	108000	22700	NA	1000000	14.9	90	NA
1955	1060000	113000	22700	NA	1150000	17.2	105	NA
1956	1070000	93400	27200	NA	1140000	20.8	125	NA
1957	1010000	68000	21800	NA	1060000	21.3	123	NA
1958	908000	88000	18100	NA	978000	21.8	123	NA
1959	1040000	111000	20000	NA	1130000	21.3	119	NA
1960	1010000	151000	28100	NA	1130000	21	116	NA
1961	1060000	178000	29000	NA	1210000	21.3	116	NA
1962	1080000	171000	46300	NA	1210000	22	118	NA
1963	1120000	145000	40800	NA	1220000	21.9	116	NA
1964	1190000	263000	39900	NA	1420000	21.3	112	NA
1965	1270000	248000	11800	NA	1510000	21.1	109	NA
1966	1310000	215000	25400	NA	1500000	19.6	98.5	NA
1967	1240000	262000	25400	NA	1470000	19.4	94.7	NA
1968	1350000	277000	50800	NA	1570000	18.5	87	NA
1969	1340000	259000	82600	43000	1510000	20	89.1	NA
1970	1250000	244000	49900	31000	1440000	20.2	84.6	NA
1971	1230000	243000	59900	77100	1410000	17.6	71	NA
1972	1200000	271000	26300	80700	1450000	17.9	69.9	3760000
1973	1300000	290000	40800	14500	1620000	19	69.8	4030000
1974	1220000	340000	46300	22700	1510000	26.4	87.4	4130000
1975	1110000	259000	69900	28100	1300000	45.7	138.5	4440000
1976	1120000	287000	51700	50800	1330000	54.3	155.4	4460000
1977	1090000	202000	39000	84400	1220000	50.8	136.7	4090000
1978	1060000	123000	76200	51700	1140000	50.8	126.8	5240000
1979	1020000	171000	92500	26300	1120000	61.4	137.9	5500000
1980	1030000	209000	117000	29900	1120000	68.8	136.1	4530000
1981	1010000	249000	112000	59900	1110000	79.3	142.1	4600000
1982	784000	357000	101000	27200	1070000	91.5	154.6	4380000
1983	829000	311000	82600	43500	1040000	102.8	168.3	4310000
1984	817000	240000	68900	53500	979000	101.5	159.4	4400000
1985	736000	177000	108000	28100	830000	101.7	154.1	4490000
1986	763000	171000	101000	65300	796000	94.9	141.2	4590000
1987	725000	125000	111000	50000	754000	97.3	139.6	4900000
1988	743000	136000	77000	54000	798000	86.9	119.7	4860000
1989	685000	173000	62000	24000	826000	91.6	120.4	4870000
1990	713000	162000	62000	39000	798000	90.1	112.4	5000000
1991	720000	157000	103000	35000	778000	88.6	106	4840000
1992	553000	158000	155000	47000	544000	91.9	106.7	4300000
1993	537000	163000	89000	42000	616000	76.5	86.4	4980000
1994	591000	190000	65000	34000	724000	81.2	89.3	5180000
1995	645000	206000	66000	16000	803000	84.5	90.4	5310000
1996	602000	177000	85700	19000	690000	88.9	92.4	5370000
1997	640000	150000	86300	26000	697000	98.9	100.5	5520000
1998	571000	110000	90000	33000	591000	126	126	5600000
1999	599000	87000	137000	W	549000	126	123	5750000
2000	462000	73000	165000	W	370000	126	119	5750000
2001	512000	34000	191000	W	355000	126	116	5750000
2002	500000	40000	100000	W	440000	126	114	5750000
2003	466000	45000	154000	W	357000	148	131	5750000
2004	467000	49000	138000	W	378000	148	127	5750000
2005	309000	75000	149000	W	235000	148	123	5750000
2006	290000	61000	158000	W	193000	148	119	5750000
2007	312000	43000	101000	W	254000	148	116	5750000
2008	319000	69000	107000	W	281000	148	112	5750000
2009	260000	77000	140000	W	197000	148	112	6000000
2010	297000	77000	196000	W	178000	148	111	6000000
2011	NA	86000	164000	NA	NA	150	109	8000000
2012	NA	81000	149000	NA	NA	NA	NA	NA
2013	NA	88000	132000	NA	NA	NA	NA	NA
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by K.E. Porter (retired) and D.S. Kostick.(retired).
Data are calculated, estimated, or reported.  See notes for more information.
