NICKEL CONSUMPTION STATISTICS1					
U.S. GEOLOGICAL SURVEY					
[All values are in metric tons (t) nickel content unless otherwise noted]					
Last modification: April 1, 2014					
Year	Apparent primary	Apparent secondary	Industry reported primary	Industry reported secondary	Apparent consumption
1900	NA	NA	NA	NA	23600
1901	NA	NA	NA	NA	50700
1902	NA	NA	NA	NA	14100
1903	NA	NA	NA	NA	15600
1904	NA	NA	NA	NA	5800
1905	NA	NA	NA	NA	10000
1906	NA	NA	NA	NA	10900
1907	NA	NA	NA	NA	4690
1908	NA	NA	NA	NA	3470
1909	NA	NA	NA	NA	4940
1910	NA	NA	NA	NA	8110
1911	NA	NA	NA	NA	2500
1912	NA	NA	NA	NA	9600
1913	NA	NA	NA	NA	8520
1914	NA	NA	NA	NA	3780
1915	NA	NA	NA	NA	14400
1916	NA	NA	NA	NA	19400
1917	NA	NA	NA	NA	25500
1918	NA	NA	NA	NA	26900
1919	NA	NA	NA	NA	17600
1920	NA	NA	NA	NA	23800
1921	NA	NA	NA	NA	2750
1922	NA	NA	NA	NA	5430
1923	NA	NA	NA	NA	19400
1924	NA	NA	NA	NA	18200
1925	NA	NA	NA	NA	20800
1926	NA	NA	NA	NA	20000
1927	NA	NA	NA	NA	19300
1928	NA	NA	NA	NA	31300
1929	NA	NA	NA	NA	40900
1930	NA	NA	NA	NA	24800
1931	NA	NA	NA	NA	15300
1932	NA	NA	NA	NA	9330
1933	NA	NA	NA	NA	20600
1934	NA	NA	NA	NA	19400
1935	NA	NA	NA	NA	31700
1936	NA	NA	NA	NA	42800
1937	NA	NA	NA	NA	43600
1938	NA	NA	NA	NA	22500
1939	NA	NA	NA	NA	51900
1940	NA	NA	NA	NA	76600
1941	NA	NA	NA	NA	94400
1942	NA	NA	NA	NA	103000
1943	NA	NA	NA	NA	109000
1944	NA	NA	NA	NA	120000
1945	NA	NA	NA	NA	109000
1946	NA	NA	NA	NA	82600
1947	NA	NA	NA	NA	70300
1948	NA	NA	NA	NA	87000
1949	NA	NA	NA	NA	83400
1950	NA	NA	NA	NA	86400
1951	NA	NA	NA	NA	78600
1952	NA	NA	NA	NA	92000
1953	NA	NA	NA	NA	95900
1954	NA	NA	NA	NA	85900
1955	NA	NA	NA	NA	99900
1956	NA	NA	NA	NA	116000
1957	NA	NA	NA	NA	111000
1958	NA	NA	NA	NA	71700
1959	NA	NA	NA	NA	102000
1960	NA	NA	NA	NA	98100
1961	NA	NA	NA	NA	108000
1962	NA	NA	NA	NA	108000
1963	NA	NA	NA	NA	113000
1964	NA	NA	NA	NA	133000
1965	NA	NA	NA	NA	156000
1966	NA	NA	NA	NA	170000
1967	NA	NA	NA	NA	158000
1968	NA	NA	NA	NA	145000
1969	NA	NA	NA	NA	129000
1970	NA	NA	NA	NA	141000
1971	NA	NA	NA	NA	117000
1972	NA	NA	NA	NA	145000
1973	180000	NA	NA	59800	239000
1974	198000	NA	NA	58500	257000
1975	161000	NA	NA	37700	199000
1976	173000	NA	NA	47400	221000
1977	186000	NA	NA	45700	231000
1978	207000	NA	NA	40100	247000
1979	164000	NA	NA	41000	205000
1980	143000	44700	142000	39700	187000
1981	141000	50000	124000	45100	187000
1982	125000	39000	94300	32400	164000
1983	137000	45200	116000	38100	175000
1984	141000	42400	124000	45000	186000
1985	143000	36600	109000	48700	197000
1986	124000	25100	97100	39700	163000
1987	139000	15600	115000	32300	172000
1988	133000	31600	98800	48700	181000
1989	126000	31700	104000	55900	182000
1990	127000	42800	121000	59500	187000
1991	125000	31400	109000	58100	179000
1992	119000	40300	101000	60200	175000
1993	122000	36600	105000	56000	178000
1994	134000	34300	107000	62100	196000
1995	151000	33400	123000	68300	219000
1996	146000	38800	117000	64400	211000
1997	154000	41300	119000	72100	226000
1998	149000	39400	116000	65700	215000
1999	140000	63300	114000	84900	225000
2000	147000	60000	114000	94500	241000
2001	129000	46100	98800	85900	215000
2002	121000	68500	91300	98000	219000
2003	117000	64200	90400	99900	217000
2004	128000	70800	102000	99700	228000
2005	135000	57800	100000	98500	233000
2006	144000	64600	105000	104000	248000
2007	112000	7040	101000	94000	206000
2008	99800	12500	103000	86700	186000
2009	92500	8420	83100	79900	172000
2010	118000	24800	98700	81900	200000
2011	126000	42600	107000	86600	213000
2012	126000	52600	110000	89900	216000
NA Not available. 					
1Compiled by T.G. Goonan and P.H. Kuck.					
Data are calculated, estimated, or reported.  See notes for more information.					
