NICKEL STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) nickel content unless otherwise noted]
Last modification: November 13, 2018
Year	Primary production	Secondary production	Imports	Exports	Stocks	Apparent consumption	Unit value  ($/t)	Unit value (98$/t)	World production
1900	5	NA	26100	2660	NA	23600	1100	22000	9290
1901	3	NA	53200	2660	NA	50700	1240	24000	11400
1902	3	NA	15400	1460	NA	14100	992	19000	12200
1903	52	NA	16400	1100	NA	15600	882	16000	10200
1904	11	NA	8950	3410	NA	5800	882	16000	10500
1905	NA	NA	14100	4330	NA	10000	882	16000	15600
1906	NA	NA	15500	4820	NA	10900	882	16000	16000
1907	W	NA	8440	3980	NA	4690	992	17000	16300
1908	W	NA	7630	4430	NA	3470	992	18000	14900
1909	309	NA	10100	5470	NA	4940	882	16000	17000
1910	W	NA	14700	6910	NA	8110	882	15000	23100
1911	403.6972093	NA	13500	11400	NA	2500	882	15000	25200
1912	297.55659472	NA	21000	11700	NA	9600	882	15000	27900
1913	218.63152234	NA	21500	13200	NA	8520	926	15300	32200
1914	383.73914502	NA	15900	12500	NA	3780	904	14700	30000
1915	745.70585628	NA	25700	12000	NA	14400	904	14600	39100
1916	832.79559132	740.25888	33000	15200	NA	19400	926	13800	45500
1917	364.68826548	780.1748	34300	9980	NA	25500	926	11800	46200
1918	400.06847034	1260	33200	7920	NA	26900	904	9760	47600
1919	464	2220	16600	1730	NA	17600	882	8320	23100
1920	331	2000	22000	551	NA	23800	926	7530	35700
1921	100.69750614	857.2851	1990	193	NA	2750	926	8420	10400
1922	188.69442592	1370	6770	4940	NA	5430	838	8140	11800
1923	90.718474	1410	18400	840	NA	19400	794	7560	31100
1924	173.27228534	2030	16800	1180	NA	18200	661	6300	35300
1925	246.75424928	2090	19600	1630	NA	20800	728	6800	37100
1926	293.02067102	2770	17500	1420	NA	20000	794	7280	33900
1927	780.1788764	3070	16200	800	NA	19300	772	7220	34500
1928	473.55043428	4080	27500	800	NA	31300	816	7770	50300
1929	308.4428116	3950	37600	1000	NA	40900	772	7350	56300
1930	279.41289992	2630	23000	1100	NA	24800	772	7570	54200
1931	338.37990802	1880	13700	600	NA	15300	772	8270	36300
1932	176.9010243	1320	8530	700	NA	9330	772	9190	21800
1933	114.30527724	1500	19900	900	NA	20600	772	9670	46300
1934	142.42800418	1680	19100	1500	NA	19400	772	9390	71600
1935	145.1495584	1770	31000	1200	NA	31700	772	9190	77400
1936	97.06876718	1780	43200	2300	NA	42800	772	9050	93400
1937	198.67345806	2180	43700	2500	NA	43600	772	8740	120000
1938	377.38885184	2090	23800	3800	NA	22500	772	8930	115000
1939	357.43078756	2650	52800	6100	NA	51900	772	9050	122000
1940	502.58034596	3770	76000	7100	NA	76600	772	8990	140000
1941	598.54735406	4820	96300	4100	NA	94400	772	8560	162000
1942	555	3760	104000	5000	NA	103000	705	7050	158000
1943	582.41260308	6270	111000	6800	8160	109000	705	6650	167000
1944	896.30776378	3920	107000	5900	12000	120000	705	6530	157000
1945	1050	5880	97500	2500	8340	109000	705	6410	145000
1946	319.32902848	7480	83900	5000	11800	82600	772	6430	123000
1947	586.04134204	8660	73200	7500	7010	70300	772	5640	140000
1948	801.04412542	8030	87500	5000	9650	87000	794	5370	151000
1949	716.6759446	5150	82600	2500	8100	83400	882	6040	146000
1950	828.25966762	7980	82800	2700	5360	86400	992	6700	145000
1951	686	7800	84500	3560	5180	78600	1190	7440	132000
1952	574	6790	98700	5350	7380	92000	1260	7730	146000
1953	546	7580	108000	11700	8980	95900	1320	8050	198000
1954	754	7810	120000	11000	9610	85900	1350	8180	216000
