NICKEL PRIMARY PRODUCTION STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values are in metric tons (t) nickel content unless otherwise noted]								
Last modification: April 1, 2014								
Year	Smelter production from laterite	Refinery production from matte	Byproduct of lead or cobalt production	Byproduct of copper production	Byproduct of talc production	Byproduct of palladium and platinum production	USGS reported primary production	Adjusted primary production
1900	NA	NA	4.5359237	NA	NA	NA	4.5359237	4.5359237
1901	NA	NA	2.72155422	NA	NA	NA	2.72155422	2.72155422
1902	NA	NA	2.72155422	NA	NA	NA	2.72155422	2.72155422
1903	NA	NA	51.70953018	NA	NA	NA	51.70953018	51.70953018
1904	NA	NA	10.88621688	NA	NA	NA	10.88621688	10.88621688
1905	NA	NA	NA	NA	NA	NA	NA	NA
1906	NA	NA	NA	NA	NA	NA	NA	NA
1907	NA	NA	NA	NA	NA	NA	NA	NA
1908	NA	NA	NA	NA	NA	NA	NA	NA
1909	NA	NA	NA	309.34999634	NA	NA	309.34999634	309.34999634
1910	NA	NA	NA	W	NA	NA	NA	NA
1911	NA	NA	NA	403.6972093	NA	NA	403.6972093	403.6972093
1912	NA	NA	NA	297.55659472	NA	NA	297.55659472	297.55659472
1913	NA	NA	NA	218.63152234	NA	NA	218.63152234	218.63152234
1914	NA	NA	NA	383.73914502	NA	NA	383.73914502	383.73914502
1915	NA	NA	NA	745.70585628	NA	NA	745.70585628	745.70585628
1916	NA	NA	NA	832.79559132	NA	NA	832.79559132	832.79559132
1917	NA	NA	NA	364.68826548	NA	NA	364.68826548	364.68826548
1918	NA	NA	NA	400.06847034	NA	NA	400.06847034	400.06847034
1919	NA	NA	NA	463.57140214	NA	NA	464	464
1920	NA	NA	125	206	NA	NA	331	331
1921	NA	NA	NA	100.69750614	NA	NA	100.69750614	100.69750614
1922	NA	NA	NA	188.69442592	NA	NA	188.69442592	188.69442592
1923	NA	NA	NA	90.718474	NA	NA	90.718474	90.718474
1924	NA	NA	NA	173.27228534	NA	NA	173.27228534	173.27228534
