NICKEL WORLD PLANT STATISTICS1	
U.S. GEOLOGICAL SURVEY	
[All values are in metric tons (t) nickel content unless otherwise noted]	
Last modification: April 1, 2014	
Year	World plant production
1970	601000
1971	620000
1972	593000
1973	662000
1974	742000
1975	747000
1976	742000
1977	714000
1978	603000
1979	639000
1980	731000
1981	692000
1982	585000
1983	646000
1984	731000
1985	762000
1986	806000
1987	857000
1988	924000
1989	937000
1990	902000
1991	923000
1992	879000
1993	806000
1994	826000
1995	922000
1996	954000
1997	1020000
1998	1040000
1999	1050000
2000	1120000
2001	1190000
2002	1210000
2003	1220000
2004	1270000
2005	1310000
2006	1350000
2007	1440000
2008	1390000
2009	1380000
2010	1440000
2011	1560000
2012	1780000
1Compiled by T.G. Goonan and P.H. Kuck.	
Data are calculated, estimated, or reported.  See notes for more information.	
