NITROGEN (FIXED)\u2014AMMONIA STATISTICS1 								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) nitrogen content unless otherwise noted]								
Last modification: April 1, 2014								
Year	 Production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1943	406000	NA	1000	NA	405000	NA	NA	NA
1944	405000	NA	2700	NA	403000	NA	NA	NA
1945	409000	3000	3000	NA	409000	NA	NA	NA
1946	541000	5000	4000	NA	542000	NA	NA	2380000
1947	831000	NA	4000	NA	827000	NA	NA	3330000
1948	813000	156000	2000	NA	967000	NA	NA	3950000
1949	965000	NA	1000	NA	964000	NA	NA	4560000
1950	1170000	NA	7000	NA	1160000	84.811557242	573.51081688	4810000
1951	1330000	NA	5000	NA	1320000	87.48470088	547.99444579	5240000
1952	1530000	NA	11000	NA	1520000	87.48470088	538.27392347	5300000
1953	1710000	NA	11300	NA	1690000	95.261118736	582.01627391	6450000
1954	2040000	NA	29300	NA	2010000	95.261118736	577.15601275	7300000
1955	2430000	NA	33000	NA	2390000	93.56002733	568.65055572	8070000
1956	2520000	19000	39800	NA	2500000	82.62443972	495.74663832	8620000
1957	2780000	NA	50700	NA	2730000	92.466468569	535.84379289	9270000
1958	2890000	NA	49000	NA	2850000	92.466468569	521.26300941	10800000
1959	3370000	40000	63000	NA	3350000	94.653586091	529.76846644	11800000
1960	3590000	NA	81000	NA	3510000	101.336445186	557.71496811	12900000
1961	3890000	NA	76000	NA	3810000	101.336445186	552.85470695	14000000
1962	4340000	NA	44300	NA	4290000	101.336445186	546.7793805	11900000
1963	4990000	13000	56100	NA	4950000	101.336445186	539.48898876	17100000
1964	5700000	118000	111000	490000	5700000	101.336445186	533.41366231	19400000
1965	6620000	152000	138000	519000	6600000	101.336445186	524.90820528	21800000
1966	7910000	231000	169000	491000	8000000	101.336445186	510.3274218	25000000
1967	9100000	330000	323000	1390000	8210000	92.466468569	450.78922259	28700000
1968	9040000	298000	595000	1190000	8950000	83.717998481	392.46608867	32100000
1969	9540000	333000	835000	983000	9240000	55.042457637	244.22812329	35900000
1970	10300000	361000	727000	1070000	9880000	62.697368964	263.66916793	38800000
1971	10900000	344000	369000	1240000	10700000	61.603810203	247.87331916	41100000
1972	11300000	288000	530000	1190000	11100000	66.099551776	257.59384148	43000000
1973	11300000	246000	672000	640000	11500000	93.56002733	343.86347707	46700000
1974	11700000	338000	296000	849000	11600000	219.92681749	726.60904342	48400000
1975	12200000	601000	262000	1540000	11900000	204.13096872	618.46823261	49500000
1976	12500000	543000	327000	1680000	12500000	204.13096872	584.44640449	56900000
1977	13200000	802000	314000	2060000	13400000	143.37770422	385.17569693	62000000
1978	12800000	1130000	394000	1800000	13800000	90.279351047	226.00214394	67200000
1979	13900000	1450000	587000	1630000	14900000	143.37770422	321.99230185	71100000
1980	14700000	1740000	618000	1460000	15900000	134.87224719	267.3143638	73600000
1981	14200000	1560000	459000	1900000	14900000	145.8078348	261.23903735	77000000
1982	11800000	1580000	553000	1910000	12800000	128.79692074	217.49668691	75900000
1983	10200000	1970000	270000	1410000	12400000	195.62551169	319.56217127	80400000
1984	12500000	2450000	397000	1550000	14300000	159.17355299	250.30344974	88600000
1985	12900000	2090000	916000	1630000	14000000	119.440918007	181.04472821	91000000
1986	10800000	1860000	482000	1370000	12400000	79.222256908	117.86133313	91100000
1987	12000000	2140000	769000	955000	13800000	104.617121469	150.66809596	95100000
1988	12500000	2750000	582000	925000	14700000	120.048450652	165.24887944	99300000
1989	12300000	2860000	346000	849000	14900000	114.459150318	150.66809596	99300000
1990	12700000	2670000	482000	797000	14900000	116.64626784	145.8078348	97500000
1991	12800000	2740000	580000	936000	14800000	128.79692074	154.31329183	93800000
1992	13400000	2690000	354000	1060000	15600000	116.64626784	136.08731248	93400000
1993	12600000	2660000	378000	852000	15000000	133.6571819	150.66809596	91600000
1994	13300000	3450000	215000	956000	16400000	232.07747039	255.1637109	93800000
1995	13000000	2630000	319000	959000	15300000	210.20629517	224.78707865	100000000
1996	13400000	3390000	435000	881000	16400000	208.99122988	217.49668691	105000000
1997	13300000	3530000	395000	1530000	15800000	190.76525053	193.19538111	103000000
1998	13800000	3460000	614000	1050000	17100000	133.6571819	133.6571819	104000000
1999	12900000	3890000	562000	996000	16300000	120.048450652	117.86133313	107000000
2000	11800000	3880000	662000	1120000	14900000	185.90498937	176.18446705	108000000
2001	9120000	4550000	647000	261000	13200000	201.70083814	185.90498937	105000000
2002	10300000	4670000	437000	286000	14500000	150.66809596	136.08731248	109000000
2003	8450000	5720000	400000	195000	13900000	269.74449438	239.36786213	110000000
2004	8990000	5900000	381000	298000	14400000	301.33619192	260.02397206	117000000
2005	8340000	6520000	525000	254000	14400000	334.14295475	279.4650167	122000000
2006	8190000	5920000	193000	201000	14000000	332.92788946	269.74449438	125000000
2007	8540000	6530000	145000	157000	15000000	337.78815062	266.09929851	131000000
2008	7870000	6020000	192000	302000	13500000	650.05993015	492.10144245	128000000
2009	7700000	4530000	16000	167000	12300000	277.03488612	210.20629517	127000000
2010	8290000	5540000	36000	165000	13800000	437	327	132000000
2011	9350000	5600000	26000	178000	14900000	585	424	138000000
2012	8730000	5170000	31000	180000	13900000	638	453	140000000
NA Not available. 								
1Compiled by C.A. DiFrancesco, D.A. Kramer, and L.E. Apodaca.								
Data are calculated, estimated, or reported.  See notes for more information.								
