NONRENEWABLE ORGANICS STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons]							
Last modification: April 1, 2014							
Year	Asphalt and road oil	Coal	Lubricants	Waxes and oils	Petroleum coke	Oil and gas products	Total nonrenewable organics
1900	9000	199000	1200000	70000	5000	10000	1500000
1901	13000	219000	1250000	70000	5000	10000	1600000
1902	18900	254000	1300000	70000	5000	10000	1700000
1903	41900	303000	1350000	70000	5000	10000	1800000
1904	40300	261000	1400000	80000	5000	10000	1800000
1905	47500	271000	1450000	80000	5000	10000	1900000
1906	59000	282000	1500000	80000	5000	10000	1900000
1907	125000	259000	1550000	80000	5000	10000	2000000
1908	109000	271000	1600000	80000	5000	10000	2100000
1909	118000	288000	1650000	90000	5000	10000	2200000
1910	146000	317000	1700000	90000	5000	10000	2300000
1911	251000	332000	1750000	90000	5000	10000	2400000
1912	376000	452000	1800000	90000	5000	10000	2700000
1913	500000	551000	1850000	90000	5000	10000	3000000
1914	612000	530000	1900000	100000	5000	10000	3200000
1915	955000	709000	1950000	100000	5000	10000	3700000
1916	1140000	1010000	2000000	100000	5000	10000	4300000
1917	1220000	1220000	2050000	100000	5000	10000	4600000
1918	1090000	1130000	2080000	110000	5000	10000	4400000
1919	1170000	1240000	2050000	115000	5000	10000	4600000
1920	1580000	1070000	2220000	134000	5000	10000	5000000
1921	1390000	833000	1810000	149000	5000	10000	4200000
1922	1860000	1000000	2330000	157000	5000	10000	5400000
1923	2150000	1340000	2650000	172000	5000	10000	6300000
1924	2790000	1320000	2730000	201000	5000	10000	7100000
1925	2880000	1510000	3090000	225000	10000	10000	7700000
1926	2810000	1720000	3390000	243000	10000	10000	8200000
1927	3110000	1860000	3260000	271000	10000	10000	8500000
1928	3690000	2050000	3480000	294000	10000	10000	9500000
1929	3520000	2010000	3550000	296000	10000	20000	9400000
1930	3500000	1800000	3250000	296000	10000	30000	8900000
1931	3610000	1610000	3000000	318000	10000	40000	8600000
1932	3300000	1240000	2500000	326000	10000	50000	7400000
1933	3110000	1390000	2580000	379000	10000	60000	7500000
1934	3350000	1600000	2780000	350000	10000	70000	8200000
1935	3560000	1800000	2960000	240000	13000	80000	8650000
1936	4600000	2140000	3360000	275000	27000	90000	10500000
1937	4940000	2020000	3510000	288000	51200	100000	10900000
1938	5280000	2120000	3190000	250000	88700	120000	11000000
1939	5760000	2320000	3570000	299000	117000	200000	12300000
1940	5940000	1750000	3710000	413000	149000	270000	12200000
1941	7330000	2490000	4550000	494000	169000	500000	15500000
1942	7290000	2750000	4370000	770000	198000	550000	15900000
1943	6410000	2830000	4730000	887000	167000	711000	15700000
1944	6550000	2650000	4850000	922000	171000	1270000	16400000
1945	6740000	2630000	5310000	935000	315000	1500000	17400000
1946	8120000	2350000	5250000	745000	365000	1600000	18400000
1947	9290000	2590000	5490000	652000	307000	1420000	19700000
1948	9550000	2580000	5410000	763000	358000	1780000	20400000
1949	9450000	2350000	4980000	572000	545000	2260000	20200000
1950	10800000	2750000	5840000	725000	668000	2980000	23800000
1951	11900000	2830000	6360000	882000	650000	3910000	26500000
1952	12900000	2430000	5740000	945000	618000	3570000	26200000
1953	13000000	2870000	6090000	1130000	890000	5060000	29000000
1954	13800000	2280000	5800000	1250000	1300000	6100000	30500000
1955	15300000	2610000	6390000	1450000	965000	7350000	34100000
1956	16400000	2710000	6610000	1580000	1460000	8130000	36900000
1957	15900000	2840000	6200000	1690000	1670000	8210000	36500000
1958	16900000	2190000	5940000	1880000	2320000	9490000	38700000
1959	17900000	2150000	6450000	2230000	2380000	11100000	42200000
1960	18300000	2200000	6420000	2360000	2440000	11900000	43600000
1961	18700000	2070000	6250000	2570000	2950000	13000000	45500000
1962	20000000	2000000	6560000	2710000	3080000	15000000	49400000
1963	20500000	1930000	6560000	2850000	2760000	15900000	50500000
1964	20900000	2240000	6890000	2680000	2710000	18100000	53500000
1965	22100000	2450000	7090000	2660000	3120000	20200000	57600000
1966	23300000	2400000	7360000	2820000	3060000	22900000	61800000
1967	22800000	2320000	6640000	2530000	3390000	24700000	62400000
1968	24500000	2380000	7290000	2970000	3350000	28200000	68700000
1969	25100000	2480000	7340000	2850000	3690000	32400000	73900000
1970	26900000	2420000	7470000	2610000	4000000	35400000	78800000
1971	27600000	2140000	7420000	2700000	4000000	36800000	80700000
