PERLITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: November 1, 2018
Year	 Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1946	4170	NA	NA	4170	5.9	49.2	NA
1947	9480	NA	NA	9480	6.12	44.7	NA
1948	20000	NA	NA	20000	6.68	45.1	NA
1949	64500	NA	NA	64500	7.9	54.1	NA
1950	92100	NA	NA	92100	7.04	47.6	NA
1951	139000	NA	NA	139000	6.16	38.5	NA
1952	150000	NA	NA	150000	6.7	41.1	NA
1953	180000	NA	NA	180000	7.98	48.7	NA
1954	200000	NA	NA	200000	8.82	53.5	NA
1955	259000	NA	NA	259000	8.79	53.6	NA
1956	281000	NA	NA	281000	9.07	54.3	NA
1957	273000	NA	NA	273000	9.38	54.5	NA
1958	265000	NA	NA	265000	9.29	52.5	NA
1959	295000	NA	NA	295000	9.28	51.8	NA
1960	283000	NA	NA	283000	9.41	51.7	NA
1961	281000	NA	NA	281000	9.47	51.8	NA
1962	290000	NA	NA	290000	9.17	49.6	NA
1963	295000	NA	NA	295000	9.25	49.2	NA
1964	318000	NA	NA	318000	9.68	51	NA
1965	356000	NA	NA	356000	9.42	48.8	NA
1966	367000	NA	NA	367000	10.7	53.8	NA
1967	375000	NA	NA	375000	10.6	51.7	NA
1968	388000	NA	NA	388000	10.9	51.2	NA
1969	427000	NA	NA	427000	11.9	52.8	NA
1970	414000	NA	NA	414000	11.8	49.6	NA
1971	392000	NA	NA	392000	12.6	50.7	NA
1972	494000	NA	NA	494000	12.6	49.1	NA
1973	494000	NA	NA	494000	11.3	41.5	NA
1974	503000	NA	NA	503000	14	46.3	NA
1975	464000	NA	NA	464000	15.7	47.6	NA
1976	502000	NA	NA	502000	18.7	53.6	1270000
1977	542000	NA	NA	542000	19.9	53.5	1360000
1978	582000	NA	NA	582000	23.6	59	1430000
1979	599000	NA	NA	599000	27.4	61.5	1470000
1980	579000	NA	NA	579000	28.5	56.4	1530000
1981	536000	NA	NA	536000	32.6	58.5	1680000
1982	459000	14500	18100	455000	35	59.1	1660000
1983	430000	32700	15400	447000	36.4	59.6	1540000
1984	452000	40800	18100	474000	36.8	57.7	1630000
1985	470000	47200	18100	499000	37.3	56.5	1630000
1986	460000	54400	27200	487000	34	50.6	1700000
1987	484000	59000	31800	511000	34.1	48.9	1790000
1988	523000	56200	32700	499000	33.8	46.6	1850000
1989	545000	59000	45000	559000	33	43.4	1850000
1990	576000	59000	32000	603000	30.3	37.8	1580000
1991	514000	54000	29000	540000	29.3	35.1	1490000
1992	541000	65000	29000	577000	28.1	32.7	1740000
1993	569000	70000	26000	613000	30.7	34.6	1540000
1994	644000	70000	30000	684000	29.9	32.9	1650000
1995	700000	84000	40000	744000	30.9	33.1	1800000
1996	684000	125000	38000	771000	31.1	32.3	1830000
1997	706000	135000	38000	803000	33	33.5	1900000
1998	685000	150000	42000	793000	31.9	31.9	1820000
1999	711000	144000	47000	808000	33.4	32.7	1960000
2000	672000	180000	43000	809000	33.8	32	1940000
2001	588000	175000	43000	720000	36.3	33.4	1730000
2002	521000	224000	42000	703000	36.5	33.1	1810000
2003	493000	245000	37000	701000	38.2	33.8	1810000
2004	508000	238000	37000	709000	41.9	36.2	1870000
2005	508000	196000	32000	672000	40.7	34	1790000
2006	454000	245000	30000	669000	42.9	34.7	1800000
2007	409000	229000	28000	610000	45.3	35.6	1760000
2008	434000	187000	37000	584000	48	36	3210000
2009	348000	153000	33000	468000	49	37	2220000
2010	414000	174000	42000	546000	52	39	2130000
2011	420000	193000	36000	577000	56	41	4590000
2012	393000	141000	32000	502000	52	37	4900000
2013	471000	156000	52000	523000	55	38	4940000
2014	462000	144000	36000	570000	55	38	4980000
2015	501000	143000	30000	557000	61	42	4960000
2016	521000	188000	21000	604000	65	44	5300000
2017	570000	156000	32000	603000	73	49	5110000
NA Not available.
1Compiled by C.A. DiFrancesco, W.P. Bolen, and S.M. Bennett.
Data are calculated, estimated, or reported.  See notes for more information.
