PHOSPHATE ROCK STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values are in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
Year	Production	Sold or used	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	1520000	1520000	NA	630000	885000	3.54	69	3150000
1901	1510000	1510000	NA	741000	766000	3.52	69	3000000
1902	1510000	1510000	NA	815000	699000	3.1	58	3120000
1903	1610000	1610000	NA	798000	809000	3.31	60	3450000
1904	1910000	1900000	NA	856000	1050000	3.45	63	3870000
1905	1980000	1980000	NA	950000	1030000	3.42	62	3850000
1906	2110000	2110000	NA	919000	1200000	4.06	74	4190000
1907	2300000	2300000	NA	1030000	1270000	4.63	81	4720000
1908	2420000	2420000	14500	1210000	1230000	4.72	86	5380000
1909	2380000	2380000	10100	1040000	1350000	2.41	44	4950000
1910	2700000	2700000	22100	1100000	1620000	1.8	32	5430000
1911	3100000	3100000	16400	1270000	1850000	1.52	27	5940000
1912	3020000	3020000	29300	1230000	1820000	1.6	27	6730000
1913	3160000	3160000	17400	1390000	1790000	1.08	17.8	7230000
1914	2780000	2780000	15300	980000	1810000	1.64	26.8	5420000
1915	1970000	1870000	5400	257000	1610000	2.39	38.5	4120000
1916	2200000	2010000	4700	248000	1770000	2.7	40.4	4830000
1917	2900000	2630000	93	169000	2460000	2.82	35.9	4710000
1918	2320000	2530000	0	146000	2380000	3.06	33	4190000
1919	1880000	2310000	35	385000	1920000	4.17	39.3	4150000
1920	4040000	4170000	64	1090000	3080000	4.71	38.3	6870000
1921	2470000	2100000	3600	745000	1360000	3.68	33.5	5430000
1922	2370000	2460000	6000	731000	1730000	2.73	26.5	5940000
1923	2990000	3050000	6800	841000	2220000	2.65	25.2	7120000
1924	2890000	2910000	16400	832000	2100000	2.53	24.1	7780000
1925	3310000	3540000	2800	884000	2660000	2.22	20.7	8900000
1926	3650000	3260000	17700	761000	2520000	2.64	24.2	9380000
1927	3070000	3220000	28600	933000	2320000	2.94	27.5	9990000
1928	3580000	3560000	46500	913000	2690000	3.13	29.8	10100000
1929	3880000	3820000	45600	1160000	2710000	3.04	29	10400000
1930	4020000	3990000	33200	1250000	2780000	3.15	30.9	11800000
1931	2710000	2580000	13700	967000	1620000	3.19	34.2	7860000
1932	1730000	1730000	13200	623000	1120000	2.7	32.1	7110000
1933	2400000	2530000	7800	842000	1700000	2.6	32.6	8900000
1934	2950000	2880000	0	1010000	1870000	2.69	32.7	9510000
1935	3210000	3090000	3800	1120000	1970000	2.64	31.4	10500000
1936	3520000	3410000	3100	1230000	2180000	2.13	25.1	11300000
1937	4330000	4020000	13600	1070000	2960000	2.45	27.7	12900000
1938	3920000	3800000	7100	1160000	2650000	2.42	28	12900000
1939	4050000	3820000	3600	964000	2860000	2.48	29.1	12800000
1940	4130000	4070000	3000	764000	3310000	2.57	29.9	10300000
1941	5000000	4760000	4400	1040000	3710000	2.65	29.4	10800000
1942	4900000	4720000	3800	537000	4190000	3.17	31.7	8800000
1943	5460000	5210000	47300	364000	4890000	3.36	31.7	9250000
1944	5280000	5460000	125400	445000	5140000	3.58	33.1	9330000
1945	5490000	5900000	143900	499000	5550000	3.85	35	10900000
1946	7280000	6970000	60700	710000	6320000	4.3	35.8	15300000
1947	9260000	9170000	44200	1670000	7540000	5.04	36.8	18300000
1948	9540000	8810000	48900	1030000	7820000	5.75	38.9	19400000
1949	9020000	9130000	65900	1340000	7860000	5.63	38.6	19700000
1950	10900000	10400000	88600	1790000	8720000	5.71	38.6	23400000
1951	12200000	11300000	94900	1700000	9660000	5.87	36.7	24600000
1952	12300000	11500000	112000	1420000	10200000	6.04	37.1	26400000
1953	12700000	12700000	103000	2090000	10700000	6.14	37.4	27200000
1954	14000000	13300000	124000	2320000	11100000	6.29	38.1	30500000
1955	12500000	13400000	119000	2220000	11300000	6.23	38	30500000
1956	16000000	14300000	112000	2730000	11700000	6.5	38.9	34200000
1957	14200000	14800000	112000	3060000	11900000	6.29	36.6	33200000
1958	15100000	15000000	110000	2740000	12400000	6.29	35.5	33700000
1959	16100000	16300000	142000	3100000	13400000	6.18	34.5	38400000
1960	17800000	17500000	131000	4060000	13600000	6.82	37.5	41800000
1961	18900000	18100000	136000	3980000	14300000	7.16	39.1	45500000
1962	19700000	19400000	136000	4000000	15500000	7.11	38.4	63300000
1963	19700000	20200000	163000	4620000	15700000	7.15	38	54600000
1964	23300000	22400000	159000	5780000	16800000	7.16	37.7	63700000
1965	26900000	26300000	134000	6640000	19800000	7.08	36.7	71400000
1966	35400000	33100000	161000	8390000	24800000	7.39	37.1	84500000
1967	36100000	34300000	126000	9140000	25300000	7.31	35.7	87300000
1968	37400000	33900000	105000	11000000	23000000	6.76	31.7	94100000
1969	34200000	33300000	127000	10300000	23200000	6.29	27.9	92100000
1970	35100000	35200000	123000	10600000	24600000	5.99	25.2	95100000
1971	35200000	36600000	76200	11400000	25200000	5.94	23.9	94000000
1972	37000000	39700000	49900	13000000	26800000	5.56	21.7	101000000
1973	38200000	40900000	59000	12600000	28300000	6.11	22.4	111000000
1974	41400000	43900000	165000	12600000	31500000	10.9	36.1	123000000
1975	44300000	42100000	33000	11100000	31000000	20.2	61.1	109000000
1976	44700000	40500000	42000	9430000	31100000	18.8	54	109000000
1977	47300000	47400000	158000	13200000	34400000	15.9	42.8	121000000
1978	50000000	48800000	908000	12900000	36800000	17.1	42.7	127000000
1979	51600000	53100000	886000	14400000	39600000	18.4	41.3	134000000
1980	54400000	54600000	486000	14300000	40800000	20.2	40	147000000
1981	53600000	45500000	13000	10400000	35100000	23.9	42.8	145000000
1982	37400000	38600000	31000	9840000	28800000	24	40.6	129000000
1983	42600000	46800000	9000	12000000	34800000	22.9	37.4	143000000
1984	49200000	53300000	9000	11500000	41800000	22.8	35.8	154000000
1985	50800000	46600000	34000	9140000	37500000	23.2	35.2	151000000
1986	38700000	41800000	528000	7850000	34500000	21.6	32.1	141000000
1987	41000000	43700000	464000	8450000	35700000	18.9	27.1	147000000
1988	45400000	48400000	676000	8090000	41000000	18.7	25.8	166000000
1989	49800000	49300000	705000	7840000	42100000	20.8	27.3	163000000
1990	46300000	49800000	451000	6240000	44000000	22.3	27.8	162000000
1991	48100000	44700000	552000	5080000	40200000	22.3	26.7	150000000
1992	47000000	45100000	1530000	3720000	42900000	22.3	25.9	139000000
1993	35500000	40100000	534000	3200000	38300000	21.3	24	119000000
1994	41100000	43900000	1800000	2800000	42900000	22	24.2	127000000
1995	43500000	43700000	1800000	2760000	42700000	21.8	23.3	130000000
1996	45400000	43500000	1800000	1570000	43700000	23.4	24.3	135000000
1997	45900000	42100000	1830000	335000	43600000	24.4	24.8	143000000
1998	44200000	43700000	1760000	378000	45000000	25.5	25.5	144000000
1999	40600000	41600000	2170000	272000	43500000	30.6	29.9	137000000
2000	38600000	37400000	1930000	299000	39000000	25.5	24.2	132000000
2001	31900000	32800000	2500000	9000	35300000	28.4	26.1	126000000
2002	36100000	34700000	2700000	39000	37400000	28.8	26.1	136000000
2003	35000000	36400000	2400000	64000	38800000	27.5	24.3	138000000
2004	35800000	36500000	2500000	0	39000000	28.2	24.4	142000000
2005	36100000	35200000	2630000	0	37800000	30.3	25.3	152000000
2006	30100000	30200000	2420000	0	32600000	31.8	25.7	151000000
2007	29700000	31100000	2670000	0	33800000	49.6	39	160000000
2008	30200000	28900000	2750000	0	31600000	78.4	59.3	166000000
2009	26400000	25500000	2000000	0	27500000	124	94.2	162000000
2010	25800000	28100000	2400000	0	30500000	79.4	59.3	182000000
2011	28100000	28600000	3350000	0	32000000	97.3	70.5	200000000
2012	30100000	27300000	3080000	0	30400000	100.98	71.69	217000000
NA Not available. 								
1Compiled by D.A. Buckingham and S.M. Jasinski.								
Data are calculated, estimated, or reported.  See notes for more information.								
