PLATINUM-GROUP METALS STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) PGM content unless otherwise noted]
Last modification: May 7, 2020
Year	Primary production	Secondary production 	Secondary production toll-refined	Imports	Exports	Government stocks	Industry stocks	Reported consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	0.0124	NA	NA	NA	NA	NA	NA	NA	2.56	201000	3900000	6.62
1901	0.0438	NA	NA	NA	NA	NA	NA	NA	2.65	629000	12000000	9.85
1902	0.0029	NA	NA	2.74	NA	NA	NA	NA	2.74	725000	14000000	9.33
1903	0.0034	NA	NA	2.89	NA	NA	NA	NA	2.89	712000	13000000	7.03
1904	0.0062	NA	NA	NA	NA	NA	NA	NA	2.91	669000	12000000	9.03
1905	0.0099	NA	NA	2.92	NA	NA	NA	NA	2.93	744000	14000000	6.24
1906	0.0448	NA	NA	4.29	NA	NA	NA	NA	4.33	883000	16000000	6.59
1907	0.0111	NA	NA	2.31	NA	NA	NA	NA	2.32	1160000	20000000	9.65
1908	0.0233	NA	NA	1.58	NA	NA	NA	NA	1.6	778000	14000000	8
1909	0.0198	NA	NA	3.7	NA	NA	NA	NA	3.72	802000	15000000	8.45
1910	0.024	NA	NA	3.81	NA	NA	NA	NA	3.83	960000	17000000	8.89
1911	0.0292	NA	NA	3.87	NA	NA	NA	NA	3.9	1260000	22000000	9.74
1912	0.0313	NA	NA	3.41	NA	NA	NA	NA	3.44	1320000	22000000	9.77
1913	0.0322	1.27	NA	3.67	NA	NA	NA	NA	4.97	1370000	22600000	8.31
1914	0.0778	1.33	NA	2.33	NA	NA	NA	NA	3.74	1250000	20400000	8.11
1915	0.0479	1.37	NA	2.14	NA	NA	NA	NA	3.56	1290000	20800000	4.45
1916	0.0989	1.49	NA	1.98	NA	NA	NA	NA	3.57	1870000	28000000	2.8
1917	0.333	2.25	NA	1.11	NA	NA	NA	NA	3.69	2660000	33900000	2.59
1918	0.23	1.42	NA	1.77	NA	NA	2.1	3.58	3.42	2930000	31600000	1.96
1919	0.3657	1.91	NA	2.12	NA	NA	1.35	4.81	5.2	3190000	30100000	2.11
1920	0.412	1.8	NA	3.13	NA	NA	2.11	4.39	4.54	3390000	27600000	2.3
1921	0.149	1.43	NA	2.44	0.016	NA	2.1	5.48	4	2220000	20200000	1.84
1922	0.105	1.45	NA	3.42	0.04	NA	2.36	5.69	4.64	2630000	25500000	2.17
1923	0.105	1.49	NA	3.32	0.054	NA	2.2	5.93	5.06	3160000	30100000	2.56
1924	0.226	1.69	NA	3.46	0.222	NA	2.32	5.35	5.05	3180000	30300000	3.56
1925	0.349	1.35	NA	3.91	0.615	NA	2.46	5.26	4.89	3380000	31600000	3.23
1926	0.347	1.44	NA	4.19	0.419	NA	3.28	4.6	4.76	3210000	29400000	4.42
1927	0.254	1.65	NA	4.63	0.668	NA	3.17	4.66	5.97	2680000	25000000	4.64
1928	0.298	1.74	NA	4.21	0.349	NA	2.43	5.82	5.82	2220000	21100000	4.31
1929	0.339	1.33	NA	4.82	0.125	NA	2.64	5.96	5.96	1890000	18000000	4.84
1930	0.267	1.47	NA	4.33	0.056	NA	2.85	3.7	3.7	1350000	13200000	4.75
1931	0.262	1.36	NA	4.03	0.075	NA	2.75	3.7	3.7	876000	9390000	8.94
1932	0.086	1.01	NA	1.74	0.689	NA	2.36	2.59	2.59	813000	9680000	6.53
1933	0.072	1.29	NA	5.04	0.778	NA	2.4	3.35	3.35	782000	9800000	6.77
1934	0.148	1.36	NA	5.42	0.083	NA	2.61	2.98	2.98	767000	9330000	12.9
1935	0.287	1.84	NA	5.11	0.163	NA	2.91	3.89	3.89	828000	9860000	12.1
1936	0.304	2.06	NA	6.55	1.81	NA	3.23	5.13	5.13	916000	10700000	14.2
1937	0.665	2.25	NA	6.44	1.94	NA	3.9	5.35	5.35	1150000	13000000	14.8
1938	1.5	2	NA	5.01	1.07	NA	3.67	3.96	3.96	871000	10100000	16.8
1939	1.28	1.97	NA	9.54	1.57	NA	3.66	4.92	11.2	1040000	12200000	16.9
1940	1.38	2.07	NA	6.09	1.77	NA	8.39	6.4	6.4	945000	11000000	14.5
1941	1.02	1.6	NA	9.64	0.586	NA	10	8.37	10.1	741000	8220000	14.9
1942	1.03	2.38	NA	9.8	3.23	NA	9.43	10.3	10.6	1150000	11500000	16.9
1943	1.17	3.16	NA	11.3	0.102	NA	10	15.8	15.8	971000	9160000	19.6
1944	1.26	3.71	NA	11.1	0.269	NA	10	14.1	15.8	964000	8930000	16
1945	0.967	2.99	NA	11.9	0.766	NA	9.39	17.1	15.7	971000	8830000	30
1946	0.818	2.26	NA	12.9	0.826	NA	11.3	15.1	13.3	1140000	9500000	17.9
1947	0.542	2.71	NA	9.61	0.993	NA	10.5	12.1	12.7	1230000	8980000	15.6
1948	0.53	2.92	NA	8.48	1.29	NA	10.1	11.4	11	1770000	12000000	16.3
1949	0.772	2.6	NA	6.79	1.92	NA	9.21	8.98	9.14	1750000	12000000	17.9
1950	1.18	1.81	NA	13.3	1.57	NA	8.29	14.3	15.6	1750000	11800000	18.7
1951	1.15	1.66	NA	18.7	2.45	NA	9.76	14.4	17.6	1940000	12100000	21
1952	1.07	1.82	NA	14.1	0.738	NA	8.78	14.1	17.3	1810000	11100000	21.8
1953	0.811	2.02	NA	19.7	0.801	NA	8.7	16.6	21.8	2000000	12200000	24.1
1954	0.752	2.04	NA	18.9	0.885	NA	8	18.1	21.5	1870000	11300000	29.2
1955	0.721	2	NA	31.4	0.901	NA	15.6	26.5	25.6	1530000	9330000	33.9
1956	0.665	3.31	NA	32.2	1.31	NA	17.6	26.7	32.9	1800000	10800000	34.5
1957	0.576	2.72	NA	21.2	1.26	NA	15.8	23.1	25	1690000	9830000	41.1
1958	0.447	2.54	NA	20.9	1.47	NA	15.3	21.5	22.9	1200000	6780000	27.7
1959	0.482	4.23	16.7	31	0.977	NA	15.4	27.9	51.3	1190000	6650000	32.8
1960	0.734	2.39	23.7	21.2	2.03	49.6	16	24.1	45.4	1610000	8850000	39.7
1961	1.34	2.67	21.8	27.5	1.92	48	17.3	24.1	51.7	1340000	7320000	41.8
1962	0.89	4.11	27.8	22.4	1.88	49.3	18.6	27	50.7	1460000	7890000	50.5
1963	1.55	3.64	26	31.2	1.96	49.3	21.8	31.2	57.2	1610000	8560000	63.4
1964	1.26	3.74	31.1	27.5	4.55	43.4	23.9	34.8	62.9	1840000	9680000	79.2
1965	1.09	3.28	33.4	36.3	3.21	43.4	28.8	36.9	66	1900000	9840000	92.3
1966	1.6	3.21	49.5	42.1	6.39	45.8	35.3	52.1	81.1	1980000	9950000	94.5
1967	0.509	11.4	57.5	41.1	8.7	44.3	27	41.5	112	2240000	10900000	98.8
1968	0.46	10.3	64.7	55.2	12.3	48.8	25	42.5	116	2280000	10700000	106
1969	0.671	11.6	62.2	38.1	15.6	48	33.5	42.7	89.3	2460000	10900000	107
1970	0.539	10.9	45.1	47.6	13	55.7	22.1	40.3	94.3	2390000	10000000	132
1971	0.561	8.65	37.1	43.2	12.6	53.6	24.8	39.3	76.3	2310000	9300000	127
1972	0.532	7.95	39.7	57.1	16.5	53.6	28.9	48.6	84.7	2520000	9830000	133
1973	0.621	8.27	31.1	77.9	19.5	53.6	32.1	57	95.2	3460000	12700000	163
1974	0.394	10.1	33.2	101	26	53.6	34.9	61.6	116	4990000	16500000	179
1975	0.588	8.4	36	56.6	20.5	53.6	26.4	40.7	89.6	4820000	14600000	178
1976	0.19	6.7	26.7	83	15.9	53.6	33.8	51.1	93.3	3510000	10100000	194
1977	0.172	6.07	31.3	78.1	13.3	53.6	31.5	49.5	105	3500000	9410000	203
1978	0.256	8	31.8	90.9	21.9	53.6	26.8	70.3	114	4950000	12400000	200
1979	0.218	9.61	33.9	108	28	53.6	23.7	85.7	127	7770000	17400000	202
1980	0.093	10.3	33.6	109	23.8	53.6	30.3	68.6	123	10800000	21400000	213
1981	0.218	12.2	37	88.6	26.9	53.6	28.6	59.8	113	9030000	16200000	216
1982	0.249	10.6	27	77.6	26	53.9	34.9	58.3	82.8	7140000	12100000	200
1983	0.187	9.43	30.9	100	38.2	54	29.3	59.5	108	7520000	12300000	203
1984	0.467	10.6	36	139	36.1	54.3	41	68.4	138	8030000	12600000	238
1985	W	8.05	32.3	124	27.6	54.3	35.1	70.6	143	8270000	12500000	247
1986	W	11	35.9	139	23.3	54.3	40.2	64.7	158	9670000	14400000	260
1987	3.11	5.12	44.9	118	22	54.3	38.4	60.3	151	10500000	15100000	271
1988	4.97	4.79	46.4	124	28.8	54.3	35.5	71	154	10800000	14900000	280
1989	6.28	3.93	46.3	113	38.1	54.3	32.5	78.5	134	12200000	16000000	282
1990	7.74	5.82	65.4	125	55	54.3	30.3	77.5	151	15200000	19000000	291
1991	7.78	4.81	67.5	126	39.6	54.3	24.3	62.6	172	13900000	16600000	287
1992	7.74	5.33	59	132	57.8	54.3	26.9	66.8	144	11200000	13000000	280
1993	8.83	4.84	61	153	78.5	54.3	20.2	60.3	156	8560000	9660000	276
1994	8.4	3	60	171	88.6	54.3	8.7	NA	165	8330000	9160000	269
1995	6.85	NA	60	221	50.6	54.3	3.4	NA	243	7200000	7700000	326
1996	7.94	NA	60	256	48.8	54.3	NA	NA	275	8390000	8720000	324
1997	11	NA	NA	258	81.2	53.4	NA	NA	188	8460000	8590000	339
1998	13.8	NA	NA	302	59.3	36	NA	NA	257	10200000	10200000	354
1999	12.7	NA	NA	338	71.8	25	NA	NA	279	10500000	10300000	366
2000	13.4	NA	NA	318	93.2	20.8	NA	NA	238	18000000	17000000	364
2001	15.7	NA	NA	268	67.3	7.3	NA	NA	216	19800000	18200000	395
2002	19.1	NA	NA	222	70.9	7.3	NA	NA	170	9620000	8710000	414
2003	18.1	NA	NA	224	45.1	2.4	NA	NA	197	13000000	11500000	466
2004	17.4	NA	NA	249	52.3	1.7	NA	NA	213	14500000	12500000	472
2005	17.2	NA	NA	286	49.4	0.4	NA	NA	253	14100000	11800000	504
2006	18.7	NA	NA	288	104	0.4	NA	NA	203	21100000	17100000	515
2007	16.7	NA	NA	363	81.1	0.3	NA	NA	299	22500000	17700000	509
2008	15.5	NA	NA	336	50.4	0.3	NA	NA	301	22900000	17300000	468
2009	16.5	NA	NA	287	51.1	0.3	NA	NA	252	11600000	8810000	450
2010	15.1	NA	NA	142	61	0.3	NA	NA	96	18500000	13800000	472
2011	16.1	NA	NA	178	45.8	0.3	NA	NA	148	25000000	18100000	491
2012	16	NA	NA	149	43.5	0.3	NA	NA	122	19500000	13800000	423
2013	16.3	NA	NA	150	39.6	0.3	NA	NA	127	22500000	15700000	459
2014	16.1	NA	NA	275	38.2	0.3	NA	NA	253	21500000	14800000	382
2015	16.2	NA	NA	271	39	0.3	NA	NA	248	17000000	11700000	470
2016	17	NA	NA	297	33	0.3	NA	NA	281	13400000	9120000	460
2017	18	NA	NA	522	70.8	0.3	NA	NA	468	10500000	6960000	456
2018	18.4	NA	NA	225	76.8	0.3	NA	NA	167	31300000	20400000	471
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly, H.E. Hilliard, M.W. George, P.J. Loferski, S.A. Singerling, and R.F. Schulte.
Data are calculated, estimated, or reported.  See notes for more information.
