QUARTZ CRYSTAL (INDUSTRIAL) STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) gross weight unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Government shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1932	0	0.17	NA	NA	NA	0.17	507	6040	NA
1933	0	4.13	NA	NA	NA	4.1	242	3030	NA
1934	0	3.73	NA	NA	NA	3.7	664	8080	NA
1935	0	3.25	NA	NA	NA	3.3	531	6320	NA
1936	0	10.3	NA	NA	NA	10	934	10900	NA
1937	0	14.9	NA	NA	NA	15	4170	47200	NA
1938	0	25.5	NA	NA	NA	26	5690	65800	NA
1939	0	30.4	NA	NA	NA	30	4560	53500	NA
1940	0	57.4	NA	NA	NA	57	4610	53700	NA
1941	0	760	NA	NA	NA	760	4980	55200	NA
1942	0	1100	NA	NA	NA	1100	8130	81300	NA
1943	2.71	1520	NA	NA	NA	1500	7500	70800	NA
1944	1.78	961	NA	NA	NA	960	11600	107000	NA
1945	0	603	NA	NA	NA	600	10300	93600	NA
1946	0	98.2	NA	NA	NA	98	23700	198000	NA
1947	0	120	NA	NA	NA	120	14800	108000	NA
1948	0	556	NA	NA	NA	560	7570	51100	NA
1949	0	139	NA	NA	NA	140	10500	71900	NA
1950	0	109	NA	NA	NA	110	7190	48600	NA
1951	0	382	NA	NA	NA	380	5350	33400	NA
1952	0	476	NA	NA	NA	480	6050	37100	NA
1953	0	508	NA	NA	NA	510	4410	26900	NA
1954	0	278	NA	NA	NA	280	75500	458000	NA
1955	0	318	NA	NA	NA	320	39700	242000	NA
1956	0	236	NA	NA	NA	240	39700	238000	NA
1957	0	195	NA	NA	NA	200	39700	231000	NA
1958	1.67	122	NA	NA	NA	120	40800	231000	NA
1959	1.76	200	NA	NA	NA	200	40800	228000	NA
1960	2.08	307	NA	NA	NA	310	40800	224000	454
1961	2.95	387	NA	NA	NA	390	40800	223000	1180
1962	5.9	147	NA	NA	NA	150	40800	221000	907
1963	8.16	128	NA	NA	NA	140	40800	217000	907
1964	13.6	120	NA	NA	NA	130	40800	215000	907
1965	22.7	147	NA	NA	NA	170	40800	211000	147
1966	NA	120	NA	NA	NA	160	40800	205000	2120
1967	39.5	99.8	NA	NA	NA	140	56500	276000	102
1968	30.4	130	NA	NA	NA	160	56900	267000	102
1969	56.7	108	NA	NA	47.2	170	56200	250000	59.9
1970	59.4	42.6	130	47.6	42.2	24.6	76900	323000	75.8
1971	49.9	15.9	78.9	64	54.9	38.2	55200	222000	176
1972	72.6	29.5	67.6	104	43.5	150	56700	221000	177
1973	139	47.2	130	210	51.7	258	56600	208000	177
1974	240	176.301131261	136	186	116	237	56700	187000	181
1975	329	265.209877439	119	330	142	216	56900	172000	177
1976	385	4.54	293	88.9	132	195	142000	407000	181
1977	264	0	228	54.4	210	12.4	76000	204000	181
1978	149	0	0	35.8	131	264	106000	265000	363
1979	261	0	0	110	139	363	83200	187000	1820
1980	343	0	141	0	65.3	276	494000	977000	1910
1981	299	0	114	141	56.7	335	85800	154000	79.4
1982	217	0	83.5	7.26	55.3	142	189000	319000	90.7
1983	193	0	49	1.81	40.8	160	121000	198000	272
1984	466	0	145	57.6	71.2	348	120000	188000	1130
1985	258	0	111	38.1	101	155	216000	327000	454
1986	238	0	181	0	73	85	181000	269000	544
1987	381	0	266	0	72	116	174000	250000	454
1988	389	0	232	0	51	178	167000	230000	363
1989	464	0	57	75	76	457	135000	177000	800
1990	441	0	39	170	98	550	82100	102000	423
1991	441	0	53	44	99.5	431	110000	132000	454
1992	407	6	15	89	201	386	92000	107000	778
1993	394	8	24	134	200	512	195000	220000	500
1994	294	19	38	96	200	371	248000	273000	544
1995	351	47	35	0	200	363	332000	355000	435
1996	327	42	89	0	200	280	440000	457000	435
1997	355	63	74	0	200	343	307000	312000	450
1998	185	47	63	0	200	169	277000	277000	450
1999	192	NA	NA	0	200	NA	NA	NA	450
2000	189	NA	NA	0	105	NA	NA	NA	475
2001	NA	NA	NA	0	105	NA	NA	NA	500
2002	NA	NA	NA	0	105	NA	NA	NA	535
2003	NA	NA	NA	98	7	NA	NA	NA	NA
2004	NA	NA	NA	54	7	NA	NA	NA	NA
2005	NA	NA	NA	28	7	NA	NA	NA	NA
2006	NA	NA	NA	0	7	NA	NA	NA	NA
2007	NA	NA	NA	0	7	NA	NA	NA	NA
2008	NA	NA	NA	0	7	NA	NA	NA	NA
2009	NA	NA	NA	0	7	NA	NA	NA	NA
2010	NA	NA	NA	0	7	NA	NA	NA	NA
2011	NA	NA	NA	0	7	NA	NA	NA	NA
2012	NA	NA	NA	0	7	NA	NA	NA	NA
NA Not available. 									
1Compiled by C.A. DiFrancesco and T.P. Dolley.									
Data are calculated, estimated, or reported.  See notes for more information.									
