RHENIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) rhenium content unless otherwise noted]
Last modification: October 23, 2020
Year	Production	Imports	Apparent consumption	Unit value ($/t)	Unit value   (98$/t)	World production
1963	NA	0.00907	0.227	NA	NA	NA
1964	0.454	0.0962	0.68	1010000	5330000	NA
1965	0.544	0.213	0.458	1000000	5190000	NA
1966	0.735	0.0381	0.472	981000	4930000	NA
1967	0.782	0.0435	0.386	976000	4760000	NA
1968	1.09	0.198	0.352	754000	3540000	NA
1969	1.59	4.44	0.907	794000	3520000	NA
1970	2.68	0.469	2.31	1890000	7930000	NA
1971	3.29	1.73	3.45	2430000	9770000	NA
1972	2.77	0.948	2.18	2240000	8720000	NA
1973	3.18	2.03	2	2110000	7760000	6.53
1974	2.27	1.51	2.04	1210000	4010000	6.49
1975	0.91	0.465	2.72	1010000	3060000	4.26
1976	0.68	1.87	3.76	771000	2210000	5.9
1977	NA	2.84	3.31	590000	1590000	4.58
1978	NA	5.67	5.67	453000	1130000	7.12
1979	NA	4.18	4.31	924000	2070000	7.26
1980	6.44	2.5	3.31	3430000	6780000	9.5
1981	7.17	4.39	2.99	765000	1370000	13.7
1982	5.08	2.44	2.68	366000	618000	13.5
1983	7.35	2.98	3.99	440000	720000	9.6
1984	7.8	3.05	4.63	493000	773000	15.2
1985	9.57	3.75	5.9	505000	765000	18.4
1986	9.84	2.49	5.9	600000	893000	19
1987	9.89	3.37	7.03	638000	916000	24.4
1988	11.9	3.09	7.71	1180000	1620000	26.7
1989	17.5	3.79	8.17	1090000	1430000	35.2
1990	17.5	7.97	7.71	1130000	1410000	33.6
1991	19.2	13.3	8.87	1210000	1450000	36.6
1992	16	10.3	6.8	1350000	1570000	32
1993	12.2	4.9	6.9	1010000	1130000	24.2
1994	15.5	7.49	12.9	922000	1010000	26.7
1995	17	11.8	16.2	700000	749000	28.2
1996	14	17.7	24.1	729000	758000	22.7
1997	15.4	13.1	17.9	720000	731000	35.6
1998	5.9	21.8	27.7	817000	817000	33.2
1999	6.2	14.6	20.8	1030000	1010000	35.3
2000	7.2	16.4	23.6	871000	825000	36
2001	8.3	23.4	31.7	984000	906000	33.1
2002	4.4	16.6	21	1080000	976000	31.6
2003	6.3	14.5	20.8	1110000	980000	38.3
2004	6.5	19.2	25.7	1070000	923000	42.9
2005	7.9	28.9	36.9	1040000	868000	47.3
2006	8.1	38.8	46.9	1240000	1010000	46.7
2007	7.1	41	48.1	2390000	1880000	44.8
2008	7.91	43.7	51.6	10400000	7870000	53.1
2009	5.58	31.5	37.1	7500000	5700000	42.7
2010	6.1	33.6	39.7	4720000	3530000	41.6
2011	8.61	33.5	42.1	4670000	3380000	46.7
2012	7.91	40.8	48.7	4040000	2870000	50.9
2013	7.11	27.6	34.7	3160000	2210000	45.6
2014	8.51	25	33.5	2980000	2050000	45.1
2015	7.9	31.8	39.7	2670000	1840000	47.9
2016	8.44	31.9	40.3	2030000	1380000	49
2017	8.2	34.5	42.7	1550000	1030000	50.4
2018	8.22	39.4	47.6	1470000	954000	48.6
NA Not available.
1Compiled by T.D. Kelly, M.J. Magyar, and D.E. Polyak.
Data are calculated, estimated, or reported.  See notes for more information.
