SALT STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value  (98$/t)	World production
1900	2650000	181000	7000	2560000	2.62	51	12200000
1901	2610000	183000	9000	2530000	2.54	50	12300000
1902	3030000	168000	5000	2900000	1.87	35	12600000
1903	2410000	149000	12000	2310000	2.19	40	12400000
1904	2800000	151000	13000	2660000	2.15	39	13200000
1905	3300000	146000	31000	3100000	1.85	33	13700000
1906	3580000	158000	31000	3360000	1.86	34	13900000
1907	3770000	135000	28000	3520000	2.02	35	NA
1908	3660000	145000	24000	3430000	2.06	37	NA
1909	3820000	136000	36000	3560000	2.18	39	NA
1910	3850000	124000	44000	3560000	2.05	36	NA
1911	3960000	129000	44000	3670000	2.11	37	NA
1912	4230000	127000	57000	3900000	2.23	38	NA
1913	4370000	140000	64000	4030000	2.31	38	17600000
1914	4420000	119000	75000	4050000	2.3	37.3	16900000
1915	4860000	111000	73000	4440000	2.41	38.7	15300000
1916	5770000	111000	76000	5270000	2.36	35.2	17100000
1917	6330000	59000	103000	5700000	3.15	40.1	17600000
1918	6570000	37000	124000	5880000	4.1	44.4	17800000
1919	6240000	54000	108000	5620000	4.33	40.8	19800000
1920	6210000	125000	126000	5630000	4.82	39.2	21900000
1921	4520000	84000	99000	4090000	5.43	49.5	17600000
1922	6160000	103000	122000	5570000	4.45	43.3	23400000
1923	6470000	81000	114000	5840000	4.3	41.1	23300000
1924	6170000	81000	131000	5550000	4.17	39.8	23700000
1925	6710000	78000	141000	6030000	3.9	36.3	25000000
1926	6690000	51000	144000	5980000	3.75	34.6	26200000
1927	6870000	41000	140000	6140000	3.62	34	26100000
1928	7330000	39000	132000	6560000	3.66	34.8	27100000
1929	7750000	33000	99000	6970000	3.53	33.6	25700000
1930	7310000	49000	64000	6620000	3.43	33.5	28100000
1931	6680000	30000	90000	6000000	3.23	34.6	24400000
1932	5810000	25000	58000	5240000	3.43	40.9	26200000
1933	6900000	27000	95000	6200000	3.23	40.6	28500000
1934	6910000	48000	96000	6220000	3.31	40.3	30200000
1935	7190000	46000	102000	7140000	3.03	36	30700000
1936	8010000	46000	70000	7990000	2.91	34.2	31800000
1937	8380000	42000	64000	8360000	2.88	32.7	30200000
1938	7280000	36000	61000	7260000	3.2	37	27900000
1939	8420000	42000	113000	8350000	2.91	34.2	32000000
1940	9400000	28000	133000	9290000	2.82	32.8	33200000
1941	11500000	14000	112000	11400000	3	33.2	36700000
1942	12400000	7000	107000	12300000	3.08	30.8	38600000
1943	13800000	1000	132000	13700000	3.01	28.4	41200000
1944	14300000	5000	180000	14100000	3.06	28.4	40400000
1945	14000000	4000	173000	13800000	3.14	28.4	36000000
1946	13700000	4000	203000	13500000	3.27	27.3	38300000
1947	14600000	2000	171000	14300000	3.58	26.1	40500000
1948	14900000	5000	352000	14500000	3.65	24.7	44000000
1949	14100000	6000	326000	13800000	3.79	25.9	43000000
1950	15100000	7000	173000	14900000	3.97	26.9	48100000
1951	18300000	4000	398000	17900000	3.8	23.9	55900000
1952	17700000	6000	317000	17400000	4	24.6	54200000
1953	18900000	125000	226000	18800000	4.16	25.4	59300000
1954	18700000	146000	350000	18500000	5.63	34.1	60500000
1955	20600000	168000	369000	20400000	5.99	36.5	65000000
1956	22000000	334000	305000	22000000	6.19	37.1	68200000
1957	21600000	590000	354000	21900000	6.89	39.9	71900000
1958	19900000	554000	329000	20100000	7.12	40.2	74800000
1959	22800000	930000	385000	23400000	6.83	38.2	79700000
1960	23100000	959000	381000	23700000	6.98	38.4	84800000
1961	23300000	953000	582000	23700000	6.87	37.4	85000000
1962	26100000	1250000	609000	26800000	6.69	36.1	91500000
1963	27800000	1380000	709000	28500000	6.64	35.4	96100000
1964	28700000	2050000	539000	30200000	7	36.8	98600000
