SAND AND GRAVEL (CONSTRUCTION) STATISTICS1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) gross weight unless otherwise noted]							
Last modification: April 1, 2014							
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1902	452000	NA	NA	452000	0.71	13.3	NA
1903	747000	NA	NA	747000	0.8	14.5	NA
1904	5280000	NA	NA	5280000	0.47	8.5	NA
1905	16400000	NA	NA	16400000	0.45	8.14	NA
1906	24400000	NA	NA	24400000	0.35	6.33	NA
1907	32100000	NA	NA	32100000	0.31	5.41	NA
1908	30000000	NA	NA	30000000	0.34	6.15	NA
1909	49000000	NA	NA	49000000	0.3	5.42	NA
1910	56900000	NA	NA	56900000	0.29	5.06	NA
1911	53700000	NA	NA	53700000	0.3	5.24	NA
1912	53800000	NA	NA	53800000	0.33	5.56	NA
1913	65100000	NA	NA	65100000	0.29	4.77	NA
1914	65500000	NA	NA	65500000	0.29	4.71	NA
1915	61800000	NA	NA	61800000	0.3	4.82	NA
1916	71800000	NA	NA	71800000	0.32	4.78	NA
1917	60400000	NA	NA	60400000	0.42	5.34	NA
1918	47000000	503000	NA	47500000	0.54	5.84	NA
1919	56300000	542000	NA	56900000	0.62	5.84	NA
1920	64800000	1110000	NA	65900000	0.76	6.18	NA
1921	67300000	823000	NA	68100000	0.73	6.65	NA
1922	78100000	409000	162000	78300000	0.68	6.61	NA
1923	117000000	431000	250000	117000000	0.65	6.21	NA
1924	132000000	630000	142000	133000000	0.64	6.1	NA
1925	145000000	481000	193000	146000000	0.65	6.05	NA
1926	155000000	852000	193000	156000000	0.63	5.81	NA
1927	169000000	658000	191000	169000000	0.61	5.73	NA
1928	179000000	675000	334000	180000000	0.58	5.52	NA
1929	190000000	1510000	221000	191000000	0.62	5.9	NA
1930	171000000	1640000	147000	173000000	0.62	6.05	NA
1931	134000000	350000	98800	134000000	0.6	6.42	NA
1932	105000000	169000	43600	105000000	0.51	6.09	NA
1933	93000000	85500	37400.0516836	93100000	0.51	6.42	NA
1934	100000000	100000	15200	100000000	0.54	6.58	NA
1935	106000000	114000	17000	106000000	0.5	5.94	NA
1936	153000000	295000	22600	154000000	0.52	6.12	NA
1937	162000000	438000	30500	163000000	0.52	5.9	NA
1938	159000000	605000	16100	159000000	0.5	5.79	NA
1939	197000000	229000	12600	197000000	0.49	5.75	NA
1940	207000000	399000	NA	207000000	0.47	5.47	NA
1941	249000000	388000	NA	249000000	0.52	5.76	NA
1942	262000000	503000	NA	262000000	0.64	6.41	NA
1943	197000000	348000	NA	197000000	0.66	6.22	NA
