SILVER STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values in metric tons (t) silver content unless otherwise noted]											
Last modification: April 1, 2014											
Year	Mine production	Primary production	Secondary production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	1790	1790	NA	NA	NA	NA	NA	420	20000	390000	5400
1901	1720	1720	38	NA	NA	NA	NA	401.545842632	19000	380000	5380
1902	1730	1730	87	NA	NA	NA	NA	514.638072207	17000	320000	5060
1903	1690	1690	122	NA	NA	NA	NA	498.713093785	17000	320000	5220
1904	1740	1790	83	NA	NA	NA	NA	554.295000894	19000	340000	5110
1905	1750	1740	137	NA	NA	NA	NA	600.576969433	20000	360000	5360
1906	1780	1760	122	NA	NA	NA	NA	558.120728132	22000	390000	5130
1907	1630	1760	72	NA	NA	NA	NA	686.484763186	21000	370000	5730
1908	1580	1630	112	NA	1380	1610	NA	630.187476186	17000	310000	6320
1909	1780	1700	216	NA	1440	1790	NA	651.897700676	17000	300000	6600
1910	1790	1780	50	NA	1430	1780	NA	721.19623959	17000	300000	6900
1911	1900	1880	178	NA	1360	2040	NA	817.648110853	17000	300000	7040
1912	2050	1980	227	NA	1510	2240	NA	704.338156964	20000	340000	6980
1913	2210	2080	245	NA	NA	NA	NA	719.361134655	19600	323000	7010
1914	2170	2250	210	NA	807	1610	NA	701.44553393	18000	294000	5240
1915	2250	2330	218	NA	1070	1670	NA	714.322371951	16400	264000	5730
1916	2450	2310	308	NA	1000	2200	NA	690.621525159	21500	322000	5250
1917	2200	2230	343	NA	1660	2620	NA	497.624472213	27000	344000	5420
1918	2120	2110	296	NA	2220	7860	NA	831.147018343	31500	340000	6140
1919	1610	1760	201	NA	2780	7430	NA	816.092937179	36000	340000	5490
1920	1760	1720	270	NA	2740	3530	NA	599.674968702	32800	267000	5390
1921	1440	1650	218	NA	1970	1600	NA	897.148589069	20300	184000	5330
1922	1900	1750	206	NA	2200	1950	NA	973.134374781	21900	212000	6530
1923	2190	2280	263	NA	2320	2250	NA	881.938990537	20900	199000	7650
1924	1990	2030	278	NA	2300	3420	NA	767.136069921	21500	205000	7450
1925	2070	2060	308	NA	2910	4270	NA	930.895857795	22200	207000	7650
1926	1940	1950	311	NA	3480	4440	NA	914.690948112	19900	183000	7890
1927	1850	1880	316	NA	2980	4130	NA	917.334743357	18300	171000	7900
1928	1800	1820	330	NA	3570	4540	NA	775.44069734	18600	178000	8020
1929	1890	1910	354	NA	3390	4480	NA	963.523401476	17000	162000	8120
1930	1480	1470	295	NA	3120	4170	NA	835.874746312	12200	120000	7740
1931	929	962	291	NA	3070	2840	NA	756.934130619	9320	99900	6080
1932	712	746	305	NA	1110	1300	NA	449.78733	9000	107000	5130
1933	725	715	576	NA	4460	1360	NA	336.259651797	11300	141000	5340
1934	1030	1020	877	NA	4470	655	NA	357.441117237	15400	188000	5990
1935	1520	1430	1120	NA	14700	156	NA	164.506271238	20600	245000	6890
1936	1920	1980	520	NA	6910	85.8	NA	595.258275468	14500	170000	7920
1937	2240	2240	733	NA	3340	65.8	NA	862.406009191	14500	164000	8640
1938	1960	1950	574	NA	5980	57.2	NA	627.730301781	13800	160000	8320
1939	2040	2030	777	NA	4350	663	NA	1390	12500	147000	8300
1940	2230	2160	702	NA	3280	297	NA	1380	11300	131000	8570
1941	2090	2250	633	NA	2600	263	NA	2250	11300	125000	8140
1942	1680	1740	934	NA	3310	160	NA	3150	12200	122000	7780
1943	1290	1270	1370	NA	687	1070	NA	3670.20987069	14500	136000	6380
1944	1070	1110	1750	NA	421	6720	NA	3740	14500	134000	5740
1945	903	904	1820	NA	604	4190	NA	3930	16700	152000	5040
