SILICON STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) silicon content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t) 	Unit value (98$/t)	World production
1923	NA	NA	11700	NA	NA	NA	89	848	NA
1924	NA	NA	12300	NA	NA	NA	101	966	NA
1925	NA	NA	4630	NA	NA	NA	126	1180	NA
1926	NA	NA	13200	NA	NA	NA	104	952	NA
1927	NA	NA	7460	NA	NA	NA	124	1160	NA
1928	NA	NA	4770	NA	NA	NA	136	1300	NA
1929	NA	NA	9430	NA	NA	NA	147	1400	NA
1930	NA	NA	4610	NA	NA	NA	135	1320	NA
1931	NA	NA	959	NA	NA	NA	137	1470	NA
1932	NA	NA	317	NA	NA	NA	139	1650	NA
1933	NA	NA	942	NA	NA	NA	141	1770	NA
1934	NA	NA	1000	NA	NA	NA	143	1740	NA
1935	NA	NA	794	NA	NA	NA	145	1720	NA
1936	NA	NA	535	NA	NA	NA	147	1720	NA
1937	NA	NA	2060	NA	NA	NA	170	1920	NA
1938	NA	NA	636	NA	NA	NA	211	2440	NA
1939	NA	NA	1050	NA	NA	NA	226	2650	NA
1940	NA	NA	1120	NA	NA	NA	234	2730	NA
1941	NA	NA	5620	NA	NA	NA	134	1480	NA
1942	NA	NA	3930	NA	NA	NA	145	1450	NA
1943	NA	NA	817	NA	NA	NA	191	1800	NA
1944	NA	NA	3800	NA	NA	NA	197	1830	NA
1945	NA	NA	6520	NA	NA	NA	143	1300	NA
1946	NA	NA	1210	NA	NA	NA	216	1800	NA
1947	NA	NA	1940	NA	NA	NA	240	1750	NA
1948	NA	NA	714	NA	NA	NA	288	1950	NA
1949	NA	NA	874	NA	NA	NA	311	2130	NA
1950	NA	NA	3430	NA	NA	NA	232	1570	NA
1951	NA	NA	10100	NA	NA	NA	256	1600	NA
1952	NA	NA	2030	NA	NA	NA	331	2030	NA
1953	NA	NA	2000	NA	NA	NA	417	2540	NA
1954	202000	NA	3630	NA	NA	195000	366	2220	NA
1955	272000	NA	5410	NA	NA	285000	368	2250	NA
1956	317000	NA	4670	NA	NA	300000	374	2240	NA
1957	266000	NA	3510	NA	NA	257000	479	2780	NA
1958	184000	NA	2180	NA	NA	202000	417	2350	NA
1959	237000	NA	7870	NA	NA	248000	323	1800	NA
1960	254000	NA	4780	NA	NA	232000	338	1860	NA
1961	237000	231000	2120	NA	NA	235000	458	2500	NA
1962	292000	252000	2350	NA	NA	293000	457	2470	NA
1963	305000	276000	2160	NA	NA	308000	418	2220	NA
1964	354000	340000	2720	3630	53500	357000	392	2060	1130000
1965	384000	360000	4540	2720	54400	385000	396	2050	1160000
1966	379000	363000	11800	3630	49000	393000	381	1920	1160000
1967	452000	356000	13600	7260	77100	430000	375	1830	1490000
1968	456000	394000	9980	11800	62600	469000	383	1800	1540000
1969	427000	403000	15400	3630	68900	433000	405	1800	1590000
1970	481000	355000	9070	20000	59900	482000	370	1550	1640000
1971	406000	348000	11800	11800	57200	409000	402	1620	1570000
1972	485000	425000	27200	6350	54400	509000	412	1610	1670000
1973	524000	507000	64400	14500	33600	597000	482	1770	1780000
1974	534000	440000	90000	6350	104000	610000	851	2810	1800000
1975	429000	341000	46000	17200	108000	458000	658	1990	2100000
1976	488000	447000	66200	5440	109000	548000	811	2320	2320000
1977	488000	444000	92500	4540	106000	579000	832	2240	2260000
1978	493000	459000	110000	9980	103000	596000	730	1830	2550000
1979	560000	479000	92500	14500	93400	647000	824	1850	2840000
1980	438000	381000	61700	25400	92500	475000	942	1860	2750000
1981	432000	357000	126000	15400	113000	522000	972	1740	2600000
1982	253000	237000	70800	9070	98900	329000	965	1630	2410000
1983	302000	285000	121000	8160	78000	435000	871	1430	2540000
1984	412000	371000	110000	18100	81600	500000	924	1450	2730000
1985	363000	305000	140000	8160	92500	484000	928	1410	2830000
1986	304000	289000	173000	10000	65000	478000	967	1440	2740000
1987	338000	309000	171000	15000	52000	507000	1040	1490	2760000
1988	420000	373000	192000	24000	45000	595000	1350	1870	2990000
1989	439000	368000	157000	32000	61000	548000	1210	1590	3380000
1990	418000	356000	217000	36000	72000	588000	1060	1330	4130000
1991	363000	335000	164000	35000	64000	500000	1090	1300	3950000
1992	370000	349000	193000	38000	57000	532000	1040	1210	3470000
1993	367000	345000	212000	31000	48000	557000	1140	1280	3200000
1994	390000	355000	255000	32000	45000	616000	1120	1230	3170000
