STRONTIUM STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) strontium content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1916	100	NA	NA	NA	NA	100	NA	NA	NA
1917	1610	NA	677	NA	NA	2290	34.3	437	NA
1918	160	NA	1090	NA	NA	1250	2.27	24.5	NA
1919	0	NA	885	NA	NA	885	39.6	373	NA
1920	0	NA	447	NA	NA	447	34.6	282	NA
1921	0	NA	326	NA	NA	326	13.5	123	NA
1922	0	NA	196	NA	NA	196	11.2	109	NA
1923	0	NA	1030	NA	NA	1030	127	1210	NA
1924	0	NA	NA	NA	NA	950	150	1400	NA
1925	0	NA	877	NA	NA	877	173	1610	NA
1926	0	NA	877	NA	NA	877	173	1590	NA
1927	0	NA	877	NA	NA	877	173	1620	NA
1928	0	NA	877	NA	NA	877	173	1650	NA
1929	0	NA	877	NA	NA	877	173	1650	NA
1930	0	NA	412	NA	NA	412	254	2480	NA
1931	0	NA	331	NA	NA	331	252	2700	NA
1932	0	NA	92	NA	NA	92	230	2740	NA
1933	0	NA	586	NA	NA	586	56.6	709	NA
1934	0	NA	551	NA	NA	551	48.6	591	NA
1935	0	NA	590	NA	NA	590	50.8	605	NA
1936	0	NA	916	NA	NA	916	66	774	NA
1937	0	NA	1250	NA	NA	1250	52.7	597	NA
1938	0	NA	200	NA	NA	200	176	2030	NA
1939	0	NA	1220	NA	NA	1200	47.5	557	NA
1940	933	NA	1100	NA	NA	2030	26.2	305	NA
1941	1880	NA	1710	NA	NA	3590	38.8	430	NA
1942	1610	NA	4120	NA	NA	5730	35.1	351	NA
1943	3010	NA	6720	NA	NA	9730	37.1	350	NA
1944	1200	NA	2310	NA	NA	3510	37.5	347	NA
1945	1110	NA	1470	NA	NA	2580	34.5	313	NA
1946	97	NA	1790	NA	NA	1890	36.9	309	NA
1947	0	NA	5620	NA	NA	5620	43.2	316	NA
1948	0	NA	8670	NA	NA	8670	64.5	436	NA
1949	0	NA	3740	NA	NA	3740	47.3	324	NA
1950	0	NA	3440	NA	NA	3440	41.4	280	NA
1951	0	NA	5590	NA	NA	5590	54.5	342	19100
1952	0	NA	3790	NA	NA	3790	49.2	303	9950
1953	20	NA	2750	NA	NA	2770	45.1	275	6140
1954	5	NA	1310	NA	NA	1320	40.7	247	4230
1955	71	NA	2440	NA	NA	2510	52.6	320	7380
1956	1610	NA	3760	NA	NA	5370	51.2	307	16100
1957	W	W	2600	NA	NA	2600	50.3	292	11800
1958	W	W	2670	NA	NA	2670	53.4	301	10100
1959	W	W	3240	NA	NA	3240	69.7	390	9710
1960	0	0	2460	NA	NA	2460	60.8	335	11500
1961	0	0	3950	NA	NA	3950	61.8	337	12600
1962	0	0	2980	NA	NA	2980	63.3	342	11700
1963	0	0	6460	NA	NA	6460	57.6	307	17000
1964	0	0	8610	NA	NA	8610	58.9	310	23800
1965	0	0	3880	NA	NA	3880	57	295	14000
1966	0	0	4590	NA	NA	4590	58.2	293	16700
