SULFUR STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values are in metric tons (t) sulfur content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	86100	328000	NA	NA	NA	652000	9.73	191	1420000
1901	242000	375000	NA	NA	NA	767000	5.12	100	1420000
1902	208000	389000	NA	NA	NA	770000	4.48	84.5	4390000
1903	233000	400000	NA	NA	NA	791000	4.69	85.3	4540000
1904	334000	338000	NA	61000	NA	549000	10.2	186	1320000
1905	326000	336000	NA	165000	NA	620000	14.3	259	1420000
1906	405000	368000	22600	188000	NA	768000	14.9	270	1320000
1907	292000	330000	36500	276000	NA	721000	20.4	357	1320000
1908	465000	348000	28300	210000	NA	804000	16.2	294	1220000
1909	378000	368000	37700	262000	NA	702000	18.2	331	1320000
1910	348000	424000	31200	255000	NA	767000	17.7	311	1420000
1911	431000	521000	28600	258000	NA	254000	17.7	311	1420000
1912	1080000	505000	58700	310000	NA	279000	17.1	289	1630000
1913	782000	439000	92000	324000	NA	249000	17.3	285	1830000
1914	735000	529000	102000	347000	NA	272000	17.9	292	1070000
1915	896000	499000	49500	299000	NA	286000	16.6	268	1290000
1916	1100000	631000	141000	779000	NA	670000	15.7	235	1440000
1917	1680000	477000	165000	1140000	NA	984000	21.1	268	1980000
1918	1880000	246000	145000	1290000	NA	1150000	21.7	234	2140000
1919	1570000	192000	231000	689000	NA	461000	14.9	140	1800000
1920	1680000	164000	489000	1540000	1120000	1060000	19.5	159	1590000
1921	1970000	106000	290000	970000	NA	679000	17.5	160	2230000
1922	1930000	137000	496000	1370000	NA	872000	16.1	156	2090000
1923	2150000	129000	482000	1640000	3050000	1170000	15.8	151	2380000
1924	1310000	122000	492000	1560000	2740000	1070000	16	153	3860000
1925	1500000	135000	642000	1960000	2290000	1250000	14.8	138	4780000
1926	1990000	179000	592000	2400000	NA	1510000	17.2	158	5490000
1927	2470000	126000	816000	2410000	NA	1290000	17.5	164	5890000
1928	2400000	229000	716000	2460000	2030000	1400000	16.8	160	5690000
1929	2810000	253000	887000	2800000	1930000	1590000	16.9	161	6200000
1930	3000000	180000	619000	2350000	3300000	1400000	16.7	163	6400000
1931	2490000	172000	426000	1730000	3080000	972000	16.3	175	5180000
1932	1110000	124000	366000	1350000	3560000	761000	16.8	199	3760000
1933	1690000	188000	540000	1930000	3350000	1130000	16.6	209	4570000
1934	1750000	185000	526000	1960000	3150000	1120000	16	194	5080000
1935	2000000	196000	420000	2010000	3150000	1240000	15.7	187	5690000
1936	2440000	211000	576000	2370000	3150000	1430000	15.9	187	5390000
1937	3210000	257000	700000	2910000	3450000	1810000	16.2	183	5990000
1938	2820000	166000	601000	2040000	4270000	1060000	14.5	168	5590000
1939	2550000	250000	663000	2660000	4060000	1620000	14.2	167	7320000
1940	3260000	227000	779000	3030000	4270000	1850000	14.3	166	7930000
1941	3710000	209000	773000	3920000	3960000	2380000	14.6	161	7520000
1942	4080000	173000	595000	3690000	4370000	2510000	14.3	143	8030000
1943	3230000	142000	693000	3560000	3860000	2570000	14.1	133	6710000
1944	3940000	88400	686000	4210000	3560000	2950000	15	139	6600000
1945	4440000	91200	958000	4460000	3560000	2950000	15.6	141	6200000
1946	4570000	89200	1270000	4800000	3250000	3590000	15.2	127	7320000
1947	5190000	61700	1370000	5580000	3430000	4290000	16	117	8640000
1948	5600000	52400	1320000	5720000	3280000	4500000	16.3	110	9450000
1949	5480000	59000	1480000	5500000	3150000	4160000	16.3	112	9960000
1950	6080000	102000	1500000	6340000	2700000	5070000	17.8	120	10800000
1951	6300000	110000	1330000	6010000	2880000	4900000	19.6	123	11400000
1952	6390000	149000	1360000	6200000	3210000	4910000	19.7	121	12100000
1953	6350000	93800	1290000	6390000	3180000	5130000	24.3	148	11700000
1954	6780000	137000	1700000	6580000	3390000	4990000	24.2	147	12800000
1955	7140000	209000	1660000	7220000	3350000	5720000	25.5	155	15500000
1956	7940000	394000	1700000	7150000	4120000	5840000	24.1	145	17000000
1957	7120000	680000	1620000	6610000	4650000	5640000	21.9	127	17000000
1958	6240000	767000	1630000	6190000	4690000	5350000	23.4	132	16100000
1959	6270000	789000	1660000	6970000	4010000	6010000	23.1	129	17200000
1960	6770000	902000	1820000	6840000	3840000	5960000	22.8	125	19600000
1961	7290000	982000	1620000	6950000	4890000	5990000	22.8	124	20600000
1962	6870000	1150000	1560000	6810000	5010000	6340000	21.5	116	21300000
1963	6750000	1490000	1640000	6830000	4760000	6710000	19.6	104	21900000
1964	7210000	1610000	1960000	7990000	4290000	7370000	19.8	104	23500000
1965	8340000	1670000	2680000	9310000	3480000	8110000	22.1	114	25200000
1966	9300000	1700000	2410000	9920000	2750000	9290000	25.3	127	26500000
1967	9280000	1670000	2230000	9960000	1990000	9400000	32.1	156	28400000
1968	9890000	1740000	1630000	9060000	2700000	9220000	39	182	29500000
1969	9690000	1820000	1580000	9070000	3390000	9320000	26.6	118	30700000
1970	9710000	1690000	1460000	8100000	3890000	9380000	22.8	95.7	41900000
1971	9730000	1450000	1560000	8450000	4190000	9320000	17.2	69.2	42700000
1972	10400000	1210000	1880000	9690000	3860000	10000000	16.8	65.4	45500000
1973	11100000	1240000	1800000	10000000	3990000	10400000	17.6	64.5	48200000
1974	11600000	2180000	2710000	10600000	4020000	11000000	28.4	94	51200000
1975	11400000	1930000	1370000	9120000	5210000	10800000	44.9	136	50700000
1976	10900000	1760000	1290000	9150000	5650000	10900000	45.7	131	50900000
1977	10700000	2010000	1200000	9660000	5560000	11700000	44.4	119	52300000
1978	11200000	2180000	866000	9820000	5350000	12600000	45.2	113	52100000
1979	12100000	2490000	2040000	11600000	4240000	13700000	55.8	125	53200000
1980	11900000	2520000	1780000	11500000	3090000	13700000	89.1	176	55000000
1981	12100000	2640000	1470000	10100000	3630000	12800000	111	200	53600000
1982	9790000	2050000	1040000	7940000	4220000	10100000	108	183	50600000
1983	9290000	1840000	1050000	9150000	3220000	11000000	87.2	143	49800000
1984	10700000	2700000	1370000	10200000	2420000	12700000	94.3	148	52500000
1985	11600000	2250000	1410000	9940000	2800000	12000000	106	161	53800000
1986	11100000	1600000	1920000	9910000	2750000	10600000	105	156	53700000
1987	10500000	1850000	1270000	9790000	2320000	11300000	89.8	129	57000000
1988	10700000	2310000	1270000	10800000	1110000	12700000	86	118	59200000
1989	11600000	2670000	1070000	10300000	1300000	12700000	86.6	114	58900000
1990	11600000	3120000	1020000	10200000	1420000	13100000	80.1	100	57800000
1991	10800000	3620000	1250000	11100000	1190000	13500000	71.5	85.5	54600000
