TALC AND PYROPHYLLITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	83000	83000	72	NA	NA	83000	11	210	NA
1901	88800	88800	2170	NA	NA	90900	10	200	NA
1902	88900	88900	2590	NA	NA	91500	13	240	NA
1903	78800	78800	1630	NA	NA	80500	11	190	NA
1904	82700	82700	2970	NA	NA	85700	11	210	118000
1905	87700	87700	3630	NA	NA	91300	12	220	124000
1906	109000	109000	5120	NA	NA	115000	13	240	151000
1907	127000	127000	9130	NA	NA	136000	12	210	191000
1908	106000	106000	6740	NA	NA	113000	13	240	160000
1909	118000	118000	4010	NA	NA	122000	10	190	178000
1910	137000	137000	7600	NA	NA	144000	12	210	202000
1911	130000	130000	6450	NA	NA	137000	13	220	208000
1912	144000	144000	9970	NA	NA	154000	12	200	171000
1913	160000	160000	12500	NA	NA	172000	11.9	196	279000
1914	156000	156000	14300	NA	NA	171000	12	194	213000
1915	170000	170000	16400	NA	NA	186000	11.2	181	224000
1916	193000	193000	17100	NA	NA	210000	11.8	176	257000
1917	199000	199000	16900	NA	NA	215000	11.9	151	266000
1918	189000	189000	12900	NA	NA	202000	14.6	158	252000
1919	168000	168000	13200	NA	NA	181000	14.4	136	255000
1920	191000	191000	20600	NA	NA	212000	16.5	134	322000
1921	111000	111000	10500	NA	NA	121000	16.5	150	207000
1922	180000	180000	16700	1650	NA	195000	16.6	161	353000
1923	178000	178000	18100	1730	NA	195000	17.6	169	336000
1924	185000	185000	16200	1460	NA	200000	19.3	184	375000
1925	165000	165000	19000	1570	NA	183000	13.5	125	398000
1926	165000	165000	21600	1490	NA	185000	14.3	132	344000
1927	174000	174000	22900	1480	NA	196000	14.2	134	431000
1928	184000	184000	24500	1420	NA	207000	15	143	389000
1929	199000	199000	28300	NA	NA	228000	14.5	138	421000
1930	163000	163000	23400	434	NA	186000	14.2	138	364000
1931	149000	149000	21300	NA	NA	170000	13.5	144	384000
1932	112000	112000	18200	NA	NA	130000	13.2	158	331000
1933	151000	151000	20100	3590	NA	167000	12.3	155	430000
1934	126000	126000	18600	4450	NA	140000	12.8	156	399000
1935	157000	157000	21700	5270	NA	173000	12.9	154	424000
1936	196000	196000	22200	6050	NA	212000	12.6	149	472000
1937	209000	209000	24300	8050	NA	225000	12.8	146	515000
1938	193000	193000	20000	6460	NA	207000	12.4	144	420000
1939	230000	230000	23700	8210	NA	246000	12.2	143	488000
1940	255000	255000	25700	8530	NA	272000	12.2	142	664000
1941	376000	378000	16900	9880	NA	383000	12.3	136	840000
1942	366000	352000	7960	8390	NA	366000	13.1	132	1170000
1943	396000	375000	6000	9700	NA	392000	13.4	126	1120000
1944	379000	362000	7690	9720	NA	377000	13.8	128	1010000
1945	364000	361000	6080	10300	NA	360000	14.6	133	840000
1946	418000	415000	16700	14900	NA	420000	15.5	129	950000
1947	469000	468000	16100	15900	NA	469000	16.4	120	1060000
1948	479000	471000	16700	14800	NA	481000	17.7	120	1300000
1949	417000	419000	17100	14400	NA	419000	18.2	124	1280000
1950	559000	563000	21200	18700	NA	562000	19	128	1430000
1951	581000	577000	18700	20800	NA	579000	19.7	124	1570000
1952	545000	538000	18400	20800	NA	543000	21.1	130	1410000
1953	573000	552000	20700	20900	NA	573000	20.7	126	1480000
1954	562000	544000	20100	21200	NA	560000	22.9	139	1470000
1955	659000	652000	26400	32000	NA	653000	23.6	144	1620000
1956	670000	667000	21200	38400	NA	653000	22.6	136	1750000
1957	621000	628000	18500	36300	NA	602000	22.7	132	2010000
1958	724000	630000	20800	53200	NA	619000	22.7	128	1910000
1959	718000	709000	23000	53300	NA	679000	23.9	134	2350000
1960	666000	655000	21800	53900	NA	622000	24.1	133	2520000
1961	691000	660000	24800	43500	1090	640000	23.8	130	2710000
1962	700000	705000	23400	42600	1130	686000	24.6	132	2670000
1963	729000	720000	23300	51700	1090	693000	24.3	130	2990000
1964	807000	794000	20600	67100	1090	748000	22.5	118	3520000
1965	783000	760000	19100	63500	1090	716000	24	124	3570000
1966	812000	771000	19900	63500	70900	728000	22.3	112	3710000
1967	819000	748000	13900	59900	111000	701000	25.2	123	3960000
1968	869000	804000	22100	59900	147000	766000	26.6	125	4350000
1969	933000	894000	18500	62600	183000	849000	27.5	122	4680000
1970	933000	860000	27200	95300	187000	792000	27.2	114	4820000
1971	941000	888000	15800	123000	135000	780000	29.3	118	4740000
1972	1000000	983000	26400	155000	156000	855000	34.6	135	4830000
1973	1130000	1070000	20900	163000	146000	932000	29.3	107	5400000
1974	1170000	965000	27400	166000	208000	826000	34	113	5810000
1975	875000	845000	21200	143000	235000	722000	18	54.5	4900000
1976	991000	817000	18200	192000	208000	643000	41.6	119	5270000
1977	1090000	1010000	20000	292000	289000	738000	61.3	165	6090000
1978	1260000	1150000	17500	242000	391000	928000	65.9	165	6400000
1979	1320000	1190000	20300	287000	516000	925000	78.4	176	6870000
1980	1120000	1210000	18700	249000	155000	977000	79.4	157	7540000
1981	1220000	1110000	24500	282000	266000	850000	105	189	7270000
1982	1030000	930000	24000	210000	357000	744000	106	179	7060000
1983	967000	1060000	39900	198000	269000	897000	116	189	7060000
1984	1020000	1090000	40500	232000	185000	915000	122	191	7570000
1985	1150000	1040000	42500	215000	185000	979000	130	197	7830000
1986	1180000	1050000	47100	212000	183000	1020000	122	182	7760000
1987	1160000	1060000	48300	255000	183000	956000	127	182	8470000
1988	1230000	1030000	79400	260000	42000	1050000	130	179	8810000
1989	1250000	1150000	77700	319000	42000	1010000	108	142	9240000
1990	1270000	1100000	65100	238000	82000	1050000	95.6	119	9370000
1991	1040000	864000	66800	178000	82000	926000	85.6	103	9060000
1992	997000	817000	79600	175000	82000	902000	107	124	8500000
1993	968000	900000	99800	135000	82000	933000	101	114	8420000
1994	935000	923000	155000	154000	82000	936000	109	120	8260000
1995	1060000	901000	146000	183000	82000	1020000	89.8	96.1	8490000
1996	994000	909000	187000	192000	1960	989000	91.4	95	9880000
1997	1050000	942000	123000	179000	1900	994000	111	112	10400000
1998	971000	870000	165000	146000	1900	990000	120	120	9410000
1999	925000	881000	208000	147000	1900	986000	117	114	9470000
2000	851000	821000	270000	154000	1900	967000	113	107	8730000
2001	863000	784000	180000	137000	1900	906000	111	102	9060000
2002	828000	764000	232000	166000	1900	894000	111	101	8030000
2003	840000	845000	237000	192000	1900	885000	101	89.2	7800000
2004	833000	854000	226000	294000	1900	765000	115	99.23	7850000
2005	856000	826000	237000	270000	NA	823000	100	83.46	7950000
2006	895000	900000	314000	253000	NA	956000	106	85.71	7770000
2007	769000	720000	221000	271000	NA	719000	133	104.56	7730000
2008	706000	667000	193000	244000	NA	655000	152	115.07	7800000
2009	511000	512000	134000	188000	NA	457000	147	112	6870000
2010	604000	567000	242000	240000	NA	606000	150	112	7280000
2011	616000	567000	285000	223000	NA	678000	155	112	7730000
2012	515000	575000	350000	270000	NA	595000	152	108	7620000
2013	542000	560000	275000	196000	NA	621000	163	114	8080000
2014	608000	551000	308000	190000	NA	726000	171	118	8220000
2015	615000	535000	322000	206000	NA	731000	186	128	7240000
2016	578000	528000	378000	238000	NA	745000	197	134	7180000
2017	610000	528000	354000	220000	NA	745000	214	142	7270000
NA Not available.
1Compiled by K.E. Porter, R.L. Virta., D.M. Flanagan, and W.P. Bolen
Data are calculated, estimated, or reported.  See notes for more information.
