TELLURIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) tellurium content unless otherwise noted]
Last modification: November 15, 2018
Year	Production	Shipments	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1917	NA	NA	NA	NA	NA	6610	84100	NA
1918	NA	NA	NA	NA	NA	6280	76920	NA
1919	NA	NA	NA	NA	NA	5950	69740	NA
1920	NA	NA	NA	NA	NA	5620	62560	NA
1921	NA	NA	NA	NA	NA	5290	55380	NA
1922	NA	NA	NA	NA	NA	4960	48200	NA
1923	NA	NA	NA	NA	NA	4410	42000	NA
1924	NA	NA	NA	NA	NA	4423.33333333	41600	NA
1925	NA	NA	NA	NA	NA	4436.66666667	41200	NA
1926	0.416	0.502	NA	NA	0.502	4450	40800	NA
1927	0.753	0.455	NA	NA	0.455	4210	39300	NA
1928	1.17	0.423	NA	NA	0.423	4210	40100	NA
1929	5.18	0.594	NA	NA	0.594	4560	43400	NA
1930	6.39	2.14	NA	NA	2.14	3750	36800	2.14
1931	W	W	NA	NA	1.43	4410	47200	1.43
1932	W	0.711	NA	NA	0.711	4410	52600	0.712
1933	W	5.43	NA	NA	5.43	4410	55500	5.43
1934	12.3	9.54	NA	NA	9.54	4410	53700	14.7
1935	16.8	10.3	NA	NA	10.3	4410	52400	24.3
1936	26.3	11.5	NA	NA	11.5	4410	51900	42.4
1937	23.3	10.6	NA	NA	10.6	4410	50100	42.1
1938	5.02	12.2	NA	NA	12.2	4410	51000	26.9
1939	11.4	28.8	NA	NA	28.8	4410	51800	12.8
1940	38.8	40.4	NA	NA	40.4	3860	44900	40.4
1941	102	109	NA	NA	109	3860	42700	107
1942	102	55.8263345301	NA	NA	55.8263345301	3860	38600	107
1943	24.6	22.0727119089	NA	0.106	22.0727119089	3860	36400	28.5
1944	28.1	13.4521889171	NA	0.131	13.4521889171	3860	35700	33.2
1945	15.2	13.1900125272	NA	0.122	13.1900125272	3860	35100	15.9
1946	5.26	22.0164664551	NA	NA	22.0164664551	3860	32200	12.5
1947	27.4	30.9622151762	NA	NA	30.9622151762	3860	28200	31.6
1948	25.8	33.8824428543	NA	NA	33.8824428543	3860	26100	31
1949	54.8	31.0325219936	NA	NA	31.0325219936	3860	26400	60.1
1950	48.7	58.9	NA	NA	58.9	3860	26100	53.3
1951	84.9	50	NA	NA	50	3860	24300	88.9
1952	85.8	70.4	NA	NA	70.4	3860	23700	88.5
1953	32	64.1	NA	NA	64.1	3860	23500	34.2
1954	44	54.9	NA	NA	54.9	3860	23400	48.2
1955	81.6	94.8	NA	NA	94.8	3860	23500	87.2
1956	106	116	0	NA	116	3590	21500	109
1957	114	95.7	1	NA	96.7	3840	22200	129
1958	55.8	72.1	2.53	NA	74.6	3680	20800	79.9
1959	80.3	117	7.21	NA	124	5060	28300	116
1960	123	103	6.8	NA	110	7420	40800	176
1961	93	105	0	NA	105	10200	55400	170
1962	120	106	0	NA	106	13200	71000	180
1963	91.2	60.8	1.09	NA	61.9	13700	72900	145
1964	65.8	55.3	2.82	NA	58.2	13300	70000	126
1965	88.5	66.2	8.22	NA	74.4	13300	68600	146
1966	90.3	97.5	8.16	NA	106	13200	66400	151
1967	61.2	78	41.3	NA	119	13200	64600	122
1968	54.9	91.2	32	NA	123	13100	61500	117
1969	106	82.6	50.8	NA	133	12700	56500	179
1970	71.7	94.8	29	NA	124	13000	54600	166
1971	74.4	73.9	13.6	NA	88	13200	53100	145
1972	117	123	66.3	NA	189	12900	50300	180
1973	109	130	35.9	NA	166	13100	48100	202
1974	86.8	72.6	74.5	NA	147	19500	64500	212
1975	59.3	74	44.1572172195	NA	118	22400	67900	155
1976	W	84.8	92.3	NA	177	20800	59600	100
1977	W	101	77.7	NA	178	39000	105000	133
1978	W	104	78.9	NA	182	43900	110000	152
1979	W	148	76.1	NA	224	43300	97300	147
1980	W	51.3	29.4	NA	81	47900	94800	110
1981	W	47.2	38	NA	85.2	38400	68800	105
1982	W	29.4	16.6	NA	46	36600	61800	100
1983	W	44.8	11.8	NA	56.6	27100	44300	86.6
1984	W	71.9	35.4	NA	107	23400	36700	99.6
1985	W	W	30.1	NA	W	22000	33300	99.6
1986	W	W	13.9	NA	W	22000	32700	85.4
1987	W	W	26.7	NA	W	44100	63300	73.8
1988	W	W	76.89	NA	W	77200	106000	69.3
1989	W	W	42.87	72.9	W	75000	98600	65
1990	W	W	34.01	NA	W	68300	85200	67.4
1991	W	W	29.26	NA	W	70500	84400	82.9
1992	W	W	48.4	NA	W	77200	89700	97.6
1993	W	W	45	NA	W	70500	79600	88.2
1994	W	W	27.4	NA	W	57300	63000	117
1995	W	W	45.8	NA	W	50700	54200	175
1996	W	W	73.7	2.2	W	46300	48100	122
1997	W	W	63.9	2.4	W	41900	42600	109
1998	W	W	88.9	3	W	39700	39700	123
1999	W	W	38	3.1	W	38000	37200	116
2000	W	W	52.3	7.4	W	34400	32600	110
2001	W	W	28	8	W	58100	53500	109
2002	W	W	28.1	3.5	W	62800	56900	89
2003	W	W	48.9	10.1	W	32900	29200	95.2
2004	W	W	62.8	6.2	W	41800	36100	NA
2005	W	W	42.2	51	W	96000	80100	NA
2006	W	W	31.1	3.6	W	89000	72000	NA
2007	W	W	43.7	15.1	W	82000	64500	NA
2008	W	W	102	50	W	210000	159000	NA
2009	W	W	84	8.7	W	158000	120000	NA
2010	W	W	42.1	80.7	W	229000	171000	NA
2011	W	W	70.3	66.6	W	357000	259000	NA
2012	W	W	36.1	47.4	W	164000	116000	NA
2013	W	W	65.3	42.3	W	112000	78400	365
2014	W	W	109	27.9	W	113000	78800	439
2015	W	W	76	40.8	W	79000	54300	411
2016	W	W	72.7	2.6	W	36500	24800	416
2017	W	W	163	2.3	W	37600	25000	467
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by K.E. Porter, J.D. Jorgenson, and C.S Anderson.
Data are calculated, estimated, or reported.  See notes for more information.
