THALLIUM STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) thallium content unless otherwise noted]
Last modification: January 19, 2017
Year	Production	Imports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1942	NA	NA	NA	22000	220000	NA
1943	NA	NA	NA	22000	208000	NA
1944	NA	NA	NA	24300	225000	NA
1945	NA	NA	NA	27600	251000	NA
1946	NA	NA	NA	30900	258000	NA
1947	NA	NA	NA	39700	290000	NA
1948	NA	NA	NA	33100	224000	NA
1949	NA	NA	NA	30900	212000	NA
1950	NA	NA	NA	27600	186000	NA
1951	NA	NA	NA	27600	173000	NA
1952	NA	NA	NA	27600	169000	NA
1953	NA	NA	NA	27600	168000	NA
1954	NA	NA	NA	27600	167000	NA
1955	NA	NA	NA	27600	168000	NA
1956	NA	NA	NA	27600	165000	NA
1957	NA	NA	NA	27600	160000	NA
1958	NA	NA	NA	16500	93200	NA
1959	NA	NA	NA	16500	92200	NA
1960	NA	NA	NA	16500	90700	NA
1961	NA	NA	NA	16500	90200	NA
1962	NA	NA	NA	16500	89200	NA
1963	NA	NA	NA	16500	87800	NA
1964	W	4.06	NA	16500	86800	NA
1965	W	2.74	NA	16500	85500	NA
1966	W	1.2	NA	16500	82900	NA
1967	W	0.849	NA	16500	80500	NA
1968	W	0.81	NA	16500	77500	NA
1969	W	2.28	2.5	16500	73300	NA
1970	W	1.31	2.8	16500	69300	NA
1971	W	0.967	1.8	16500	66400	NA
1972	W	1	1.1	16500	64400	NA
1973	0.907	0.859	0.64	16500	60600	NA
1974	0.907	0.61	0.82	16500	54500	NA
1975	0.907	0.561	0.82	16500	50000	NA
1976	0.907	0.315	0.84	16500	47300	NA
1977	0.907	0.084	0.91	16500	44400	NA
1978	0	0.216	0.68	16500	41300	NA
1979	0	0.344	0.82	16500	37000	NA
1980	0	0.068	1.9	16500	32600	13
1981	0	0.342	1.1	88200	158000	13
1982	0	1.15	1.1	88200	149000	13
1983	0	1.27	1.3	88200	144000	13
1984	0	1.15	1.1	77200	121000	14
1985	0	1.04	1	88200	134000	15
1986	0	1.15	1.1	88200	131000	15
1987	0	1.34	1.4	132000	189000	15
1988	0	0.707	0.91	176000	242000	16
1989	0	1.17	0.95	551000	724000	16
1990	0	0.45	0.7	584000	728000	15
1991	0	1.01	0.85	617000	738000	15
1992	0	0.838	0.8	750000	871000	15
1993	0	0.273	0.3	794000	896000	15
1994	0	0.63	0.63	948000	1040000	15
1995	0	1.18	0.7	1100000	1180000	15
1996	0	0.166	0.3	1200000	1250000	15
1997	0	0.168	0.3	1280000	1300000	15
1998	0	0.104	0.1	1280000	1280000	15
1999	0	0.838	0.84	1300000	1270000	15
2000	0	0.1	0.1	1300000	1230000	15
2001	0	2.11	0.8	1300000	1190000	15
2002	0	0.307	0.5	1250000	1130000	15
2003	0	0.081	NA	1300000	1150000	12
2004	0	0.325	0.9	1600000	1380000	10
2005	0	0.235	0.3	1900000	1590000	10
2006	0	0.53	0.3	4650000	3760000	10
2007	0	0.901	0.3	4560000	3580000	10
2008	0	0.916	0.67	4900000	3710000	10
2009	0	1.76	0.83	5700000	4330000	10
2010	0	2.2	1.27	5930000	4430000	10
2011	0	1.5	0.997	6000000	4350000	10
2012	0	0.685	0.633	6800000	4830000	NA
2013	0	0.209	0.198	6990000	4890000	NA
2014	0	0.097	0.046	7200000	4960000	NA
2015	0	0.334	0.177	7400000	5100000	NA
2016	0	0.193	0.141	7400000	5000000	NA
2017	0	0	0	4200000	2790000	NA
1Compiled by C.A. DiFrancesco, G.R. Smith, P.N. Gabby, D.E. Guberman, and S.M. Bennett.
Data are calculated, estimated, or reported.  See notes for more information.
