THORIUM STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values in metric tons (t) thorium oxide content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Stocks	Government shipments	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1902	NA	14.4	NA	NA	NA	14.4	NA	NA	NA
1903	NA	21.7	NA	NA	NA	21.7	NA	NA	NA
1904	NA	19.7	NA	NA	NA	19.7	NA	NA	NA
1905	NA	17.6	NA	NA	NA	17.6	NA	NA	NA
1906	NA	13.5	NA	NA	NA	13.5	NA	NA	NA
1907	NA	17.3	NA	NA	NA	17.3	NA	NA	NA
1908	NA	21.9	NA	NA	NA	21.9	NA	NA	NA
1909	NA	53.1	NA	NA	NA	53.1	NA	NA	NA
1910	NA	62.5	NA	NA	NA	62.5	NA	NA	NA
1911	NA	63	NA	NA	NA	63	NA	NA	NA
1912	NA	57.1	NA	NA	NA	57.1	NA	NA	NA
1913	NA	65.9	NA	NA	NA	65.9	NA	NA	NA
1914	NA	58.7	NA	NA	NA	58.7	NA	NA	NA
1915	NA	82.1	NA	NA	NA	82.1	NA	NA	NA
1916	NA	77.7	NA	NA	NA	77.7	NA	NA	NA
1917	NA	185	NA	NA	NA	185	NA	NA	NA
1918	NA	95.1	NA	NA	NA	95.1	NA	NA	NA
1919	NA	21.2	NA	NA	NA	21.2	NA	NA	NA
1920	NA	69.6	NA	NA	NA	69.6	NA	NA	NA
1921	NA	15	NA	NA	NA	15	NA	NA	NA
1922	NA	125	NA	NA	NA	125	NA	NA	NA
1923	NA	16.1	NA	NA	NA	16.1	NA	NA	NA
1924	NA	22.1	NA	NA	NA	22.1	NA	NA	NA
1925	NA	7.22	NA	NA	NA	7.22	NA	NA	NA
1926	NA	28.5	NA	NA	NA	28.5	NA	NA	NA
1927	NA	41.4	NA	NA	NA	41.4	NA	NA	NA
1928	NA	32.3	NA	NA	NA	32.3	NA	NA	NA
1929	NA	40	NA	NA	NA	40	NA	NA	NA
1930	NA	0	NA	NA	NA	0	NA	NA	NA
1931	NA	108	NA	NA	NA	108	NA	NA	NA
1932	NA	NA	NA	NA	NA	NA	NA	NA	NA
1933	NA	NA	NA	NA	NA	NA	NA	NA	NA
1934	NA	NA	NA	NA	NA	NA	NA	NA	NA
1935	NA	NA	NA	NA	NA	NA	NA	NA	NA
1936	NA	NA	NA	NA	NA	NA	NA	NA	NA
1937	NA	NA	NA	NA	NA	NA	NA	NA	NA
1938	NA	NA	NA	NA	NA	NA	NA	NA	NA
1939	NA	NA	NA	NA	NA	NA	NA	NA	NA
1940	NA	NA	NA	NA	NA	NA	NA	NA	NA
1941	NA	NA	NA	NA	NA	NA	NA	NA	NA
1942	NA	NA	NA	NA	NA	NA	NA	NA	NA
1943	NA	NA	NA	NA	NA	NA	NA	NA	NA
1944	NA	NA	NA	NA	NA	NA	NA	NA	NA
1945	NA	NA	NA	NA	NA	NA	NA	NA	NA
1946	NA	NA	NA	NA	NA	NA	NA	NA	NA
1947	NA	NA	NA	NA	NA	14.6	NA	NA	NA
1948	NA	NA	NA	NA	NA	18.4	NA	NA	NA
1949	NA	NA	NA	NA	NA	21.5	NA	NA	NA
1950	NA	NA	NA	NA	NA	23.9	NA	NA	NA
1951	NA	NA	NA	NA	NA	19.1	11900	74900	NA
1952	NA	NA	NA	NA	NA	16.9	11600	71000	NA
1953	NA	NA	NA	NA	NA	8.59	13900	84700	NA
1954	NA	NA	NA	NA	NA	9.16	18200	110000	NA
1955	NA	NA	NA	NA	NA	33.3	18200	111000	NA
1956	NA	NA	NA	NA	NA	43.2	18200	109000	NA
1957	NA	NA	NA	NA	NA	65.8	17400	101000	NA
1958	NA	NA	NA	NA	NA	77.1	15700	88700	NA
1959	29.9	129	NA	NA	NA	96	15400	86200	NA
1960	0	48.6	NA	NA	NA	208	15400	84800	363
1961	40.8	181	3.38	NA	NA	166	12100	65900	466
1962	0	419	3.98	NA	NA	180	15200	81800	805
1963	W	350	2.14	NA	NA	50	13200	70400	827
1964	W	119	2.44	NA	NA	50	13200	69600	558
1965	W	111	1.48	NA	NA	50	20700	106000	640
1966	W	132	0.025	NA	NA	115	22600	114000	572
1967	W	114	0.026	NA	NA	114	19800	96800	562
1968	W	240	0.67	406	NA	239	17600	82800	549
1969	W	231	0.7	598	NA	230	17600	78400	701
1970	W	190	0.037	534	0.907	191	17600	74000	680
1971	W	188	NA	647	NA	75.8	17600	71000	735
1972	W	54.6	NA	396	39	344	17600	68700	1140
1973	W	85.7	0.907	454	25.4	53.1	17600	64700	890
1974	W	9.07	70.8	390	61.7	30	17600	58300	789
1975	W	19.1	NA	363	0.9	25	17600	53400	731
1976	W	18.1	NA	363	3.63	30	17600	50500	694
1977	W	15.4	NA	363	9.07	30	17600	47500	699
1978	W	28.1	25.4	NA	9.98	14	22200	55500	NA
1979	0	26	5	NA	9	31	15500	34700	NA
1980	0	24	2	NA	3	25	16000	31700	NA
1981	0	33	6	NA	3	30	21200	38000	NA
1982	0	23	0.25	NA	0	77	24500	41400	NA
1983	NA	46	1	NA	0	47	31000	50700	NA
1984	NA	45	1	NA	0	51	35900	56300	NA
1985	NA	69	2	NA	2	74	35900	54300	NA
1986	NA	20	17	NA	0	72	38000	56500	NA
1987	NA	31	20	NA	0	39	41000	58800	NA
1988	NA	13	3	NA	0	64	45000	62000	NA
1989	NA	87	8	NA	0	57	50000	65800	NA
1990	NA	264	0.22	NA	2.17	65.5	55000	68600	NA
1991	NA	248	2.65	NA	0	54.3	63800	76400	NA
1992	0	201	5.25	NA	0	35.4	63800	74100	NA
1993	0	18.3	0.14	NA	0	8.26	65000	73400	NA
1994	0	2.31	2.32	NA	0	3.59	63800	70200	NA
1995	0	18	0.06	NA	0	5.39	88500	94700	NA
1996	0	26.5	0.18	35.2	0	4.92	88500	92000	NA
1997	0	11.4	0.18	12.8	0.82	13	82500	83800	NA
1998	0	5.51	0.84	NA	0	7	82500	82500	NA
1999	0	3.91	1.86	NA	0	7	82500	80700	NA
2000	0	8.2	3.43	NA	NA	6	82500	78100	NA
2001	0	1.37	5.4	NA	0	8.67	82500	75900	NA
2002	0	0.48	0.65	NA	0	1.13	82500	74700	NA
2003	0	3.03	0.44	NA	0	2.62	82500	73100	NA
2004	0	3.94	0.54	NA	0	3.4	82500	71200	NA
2005	0	3.65	0.55	NA	0	3.1	82500	68900	NA
2006	0	3.49	0.81	NA	0	2.7	175000	141000	NA
2007	0	4.71	1.21	NA	0	3.5	200000	157000	NA
2008	0	0.47	2	NA	0	NA	252000	191000	NA
2009	0	1.66	3.5	NA	0	NA	252000	191000	NA
2010	0	2.24	1.11	NA	1	1.13	252000	188000	NA
2011	0	4.22	3.17	NA	0	1.05	NA	NA	NA
2012	0	3.26	2.34	NA	0	0.92	NA	NA	NA
NA Not available. W Withheld to avoid disclosing company proprietary data.									
1Compiled by C.A. DiFrancesco, J.B. Hedrick, D.J. Cordier, and J. Gambogi.									
Data are calculated, estimated, or reported.  See notes for more information.									
