TITANIUM SCRAP STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values are in metric tons (t) titanium content unless otherwise noted]						
Last modification: November 19, 2013						
Year	Imports	Exports	Industry stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1955	NA	NA	NA	1230	NA	NA
1956	NA	NA	NA	1840	NA	NA
1957	NA	NA	NA	1580	NA	NA
1958	NA	NA	NA	1210	NA	NA
1959	NA	NA	NA	1530	NA	NA
1960	NA	NA	NA	2290	NA	NA
1961	NA	NA	NA	2270	NA	NA
1962	NA	NA	NA	2870	NA	NA
1963	NA	NA	NA	2120	NA	NA
1964	NA	NA	NA	2610	NA	NA
1965	NA	NA	NA	3000	NA	NA
1966	NA	NA	NA	4410	NA	NA
1967	NA	NA	NA	5280	NA	NA
1968	NA	NA	NA	4270	NA	NA
1969	NA	NA	NA	6860	NA	NA
1970	555	NA	NA	6570	NA	NA
1971	200	NA	NA	5580	NA	NA
1972	381	NA	3900	7080	NA	NA
1973	1330	NA	4030	9110	NA	NA
1974	2610	NA	5010	9620	NA	NA
1975	795	NA	5560	7540	NA	NA
1976	1690	NA	5230	8360	1640	4700
1977	4080	NA	6140	9880	1610	4330
1978	3440	4950	5850	11200	2370	5930
1979	5570	4510	6110	12700	4000	8980
1980	3750	2990	7840	14000	7580	15000
1981	3440	2980	9510	13400	5700	10200
1982	1160	3890	10000	7740	3150	5320
1983	1430	4880	11500	9500	3130	5120
1984	1680	3730	11300	14100	3400	5330
1985	1940	6130	10600	13400	3140	4760
1986	2160	5810	10500	15000	2750	4090
1987	2220	5080	9210	16400	2970	4260
1988	4240	5990	8600	18100	5400	7440
1989	5310	5470	8030	17600	7890	10400
1990	3040	5490	8540	15000	5780	7210
1991	2670	4570	7910	11400	3190	3820
1992	6260	2770	8890	14800	3110	3610
1993	5510	3890	8130	15300	3280	3700
1994	5830	4120	7930	15700	3250	3570
1995	11100	3420	9430	20500	3910	4180
1996	16370	3410	15900	26300	5020	5220
1997	10650	5500	15200	26300	4610	4680
1998	9770	7010	13600	28600	3540	3540
1999	6870	8130	9450	21900	2850	2790
2000	7550	5060	5150	18500	3190	3020
2001	11600	7500	4920	17000	3520	3270
2002	6270	6000	3760	11600	2840	2570
2003	5550	5320	4320	14300	3550	3140
2004	8830	9780	7030	18500	6070	5240
2005	12400	20600	6900	25800	13100	10900
2006	12800	10800	8940	25000	15600	12600
2007	12200	9510	12600	23800	10900	8570
2008	10400	8180	W	23200	6630	5020
2009	4770	4200	9880	25700	3700	2810
2010	10700	3480	7900	29200	7040	5260
2011	13900	5150	12900	30900	6170	4470
2012	14400	8760	13500	38700	5468	3880
NA Not available. W Withheld to avoid disclosing company proprietary data.						
1Compiled by D.A. Buckingham, J. Gambogi, and G.M. Bedinger.						
Data are calculated, estimated, or reported.  See notes for more information.						
