TITANIUM SPONGE STATISTICS1									
U.S. GEOLOGICAL SURVEY									
[All values are in metric tons (t) titanium content unless otherwise noted]									
Last modification: April 1, 2014									
Year	Production	Imports	Exports	Industry stocks	Government stocks	Government shipments	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1941	NA	NA	NA	NA	NA	NA	NA	11600	129000
1942	NA	NA	NA	NA	NA	NA	NA	11600	116000
1943	NA	NA	NA	NA	NA	NA	NA	11600	109000
1944	NA	NA	NA	NA	NA	NA	NA	11600	107000
1945	NA	NA	NA	NA	NA	NA	NA	11600	105000
1946	NA	NA	NA	NA	NA	NA	NA	11600	97000
1947	NA	NA	NA	NA	NA	NA	NA	14300	105000
1948	9	NA	NA	NA	NA	NA	9	12100	81800
1949	23	NA	NA	NA	NA	NA	23	11000	75300
1950	68	NA	NA	NA	NA	NA	68	11000	74400
1951	449	NA	NA	NA	NA	NA	450	11000	69000
1952	975	NA	NA	NA	275	NA	980	11000	67700
1953	2030	NA	NA	NA	27	NA	2000	11000	67200
1954	4870	175	NA	NA	2630	NA	2270	9920	60100
1955	6710	514	NA	775	6030	NA	3610	7610	46300
1956	13200	1860	NA	2720	8450	NA	9920	6060	36300
1957	15600	3200	NA	2540	18000	NA	7460	4960	28800
1958	4160	1880	NA	907	20400	NA	3760	4010	22600
1959	3540	1420	NA	998	20400	NA	3590	3530	19800
1960	4820	2020	NA	907	20400	NA	4980	3530	19400
1961	6100	2260	NA	1090	20400	NA	6340	3530	19200
1962	6110	839	NA	1180	20400	NA	6470	3530	19100
1963	7150	1330	NA	998	20300	NA	8040	3530	18800
1964	W	1850	NA	726	28400	NA	10100	2910	15300
1965	W	2840	NA	816	28400	NA	11000	2910	15100
1966	W	4740	NA	726	27700	NA	17900	2910	14600
1967	W	6510	NA	2630	27700	NA	18200	2910	14200
1968	W	3040	NA	2360	27700	NA	12900	2910	13600
1969	W	5210	NA	1730	27900	NA	18300	2910	12900
1970	W	5380	NA	2280	31800	NA	14900	2910	12200
1971	9050	2540	NA	2470	31800	NA	11000	2910	11700
1972	9150	3460	NA	1650	31800	NA	11900	2910	11300
1973	13700	4690	NA	1760	29500	NA	18300	3130	11500
1974	16100	6320	NA	3470	28200	NA	24400	4960	16400
1975	15300	3800	NA	5140	28800	NA	16000	5950	18000
1976	9050	1610	NA	3280	29300	NA	12100	5950	17000
1977	W	2170	NA	3220	29300	NA	14700	6570	17700
1978	W	1340	88	2400	29300	NA	18000	7230	18100
1979	19100	2260	163	1950	29300	NA	21700	8770	19700
1980	20400	4330	103	2160	29300	NA	24400	15500	30700
1981	24000	5890	53	3380	29300	NA	28700	16900	30300
1982	14200	1230	33	3040	29300	NA	15700	12200	20600
1983	12700	1090	35	2840	29300	NA	14600	12600	20600
1984	22100	2420	155	2860	29500	NA	22400	9110	14300
1985	21100	1560	46	4310	33400	NA	19600	8270	12500
1986	15800	1480	63	2890	33400	NA	17700	9040	13400
1987	17800	924	85	2270	33400	NA	18000	9040	13000
1988	22300	1360	80	2440	33400	NA	21000	9920	13700
1989	25200	903	136	2110	33400	NA	24900	11100	14600
1990	24700	1090	331	3270	33400	NA	23200	10500	13100
1991	13400	612	418	2850	33400	NA	13400	10500	12600
1992	W	684	178	1930	33400	NA	14200	8270	9610
1993	W	2160	104	2910	33400	NA	15100	8270	9330
1994	W	6470	126	5570	33400	NA	18800	9660	10600
1995	W	7560	225	5270	33400	NA	21600	9660	10300
1996	W	10100	528	4390	33200	NA	28400	9660	10000
1997	W	16100	976	7020	33100	227	31300	9660	9810
1998	W	10900	348	10600	31700	1380	28200	9660	9660
1999	W	6000	807	7970	31200	515	18100	9370	9170
2000	W	7240	1930	5010	26300	4870	18200	8710	8240
2001	W	13300	2170	6340	18600	7640	26200	7890	7260
2002	W	10700	2810	11700	13200	5400	17300	8020	7270
2003	W	9590	4990	8180	6420	6820	17100	7360	6520
2004	W	11900	2410	7660	2510	3910	21200	11000	9490
2005	W	15800	1910	4330	0	2510	26100	17300	14400
2006	W	24400	1380	8240	0	0	28400	20600	16700
2007	W	25900	2000	7820	0	0	33700	14800	11700
2008	W	23900	2370	14200	0	0	W	15600	11800
2009	W	16600	820	15300	0	0	W	15600	11900
2010	W	20500	293	10500	0	0	34900	10700	8000
2011	W	33800	256	10800	0	0	48400	9930	7200
2012	W	33600	1420	18100	0	0	35100	11300	8020
NA Not available. W Withheld to avoid disclosing company proprietary data.									
1Compiled by D.A. Buckingham, J. Gambogi, and G.M. Bedinger.									
Data are calculated, estimated, or reported.  See notes for more information.									
