"ILMENITE AND TITANIUM SLAG1"										
"U.S. GEOLOGICAL SURVEY"										
"[All values are in metric tons (t) gross weight unless otherwise noted2]"										
"Last modification: September 25, 2013"										
"Year"	"Production"	"Shipments"	"Imports"	"Stocks"	"Apparent consumption"	"Unit value ($/t)"	"Unit value (98$/t)"	"Ilmenite production"	"Slag production"	"World production"
1912	159	159	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1913	227	227	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1914	"80.7"	"80.7"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1915	272	272	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1916	"86.2"	"86.2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1917	1210	1210	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1918	1490	1490	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1919	"96.2"	"96.2"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1920	243	243	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1921	"W"	"W"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1922	544	4160	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1923	423	5270	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1924	"W"	4330	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
1925	"W"	5050	"NA"	"NA"	"NA"	"NA"	"NA"	14800	"NA"	14800
1926	"W"	4370	"NA"	"NA"	"NA"	"NA"	"NA"	21300	"NA"	21300
1927	"W"	3180	"NA"	"NA"	"NA"	"NA"	"NA"	36000	"NA"	36000
1928	"W"	833	31300	"NA"	"NA"	"NA"	"NA"	40000	"NA"	40000
1929	"W"	"W"	22700	"NA"	"NA"	"NA"	"NA"	48100	"NA"	48100
1930	"W"	"W"	22700	"NA"	"NA"	"NA"	"NA"	43500	"NA"	43500
1931	"W"	"W"	30300	"NA"	"NA"	"NA"	"NA"	43600	"NA"	43600
1932	"W"	"W"	34000	"NA"	"NA"	"NA"	"NA"	65600	"NA"	65600
1933	"W"	"W"	39200	"NA"	"NA"	"NA"	"NA"	78800	"NA"	78800
1934	"W"	"W"	72900	"NA"	"NA"	"NA"	"NA"	106000	"NA"	106000
1935	"W"	"W"	122000	"NA"	"NA"	"NA"	"NA"	173000	"NA"	173000
1936	"W"	"W"	130000	"NA"	"NA"	"NA"	"NA"	225000	"NA"	225000
1937	"W"	"W"	156000	"NA"	"NA"	"NA"	"NA"	282000	"NA"	282000
1938	"W"	"W"	190000	"NA"	"NA"	"NA"	"NA"	322000	"NA"	322000
1939	13200	15300	232000	"NA"	"NA"	"NA"	"NA"	233000	"NA"	233000
1940	18800	18800	180000	"NA"	"NA"	"NA"	"NA"	355000	"NA"	355000
1941	21100	19500	155000	319000	250000	"4.73956702509"	"NA"	235000	"NA"	235000
1942	70000	84700	9440	157000	234000	19.08.21	"NA"	200000	"NA"	200000
1943	185000	192000	70800	116000	275000	15.07.21	"NA"	359000	"NA"	359000
1944	253000	255000	98800	152000	327000	22.05.21	"NA"	461000	"NA"	461000
1945	280000	280000	191000	247000	346000	18.02.21	"NA"	513000	"NA"	513000
1946	256000	256000	220000	346000	367000	13.03.21	"NA"	510000	"NA"	510000
1947	305000	305000	273000	411000	435000	"11.7958229998"	"NA"	682000	"NA"	682000
1948	348000	346000	220000	481000	513000	13.04.21	"NA"	713000	"NA"	713000
1949	365000	353000	294000	626000	463000	13.04.21	"NA"	819000	"NA"	819000
1950	425000	410000	196000	619000	616000	11.02.21	"NA"	856000	3180	859000
1951	486000	463000	175000	615000	647000	14.02.21	"NA"	97900	19200	117000
1952	480000	474000	202000	619000	641000	16.04.21	101	857000	38900	896000
1953	466000	465000	387000	625000	690000	21.05.21	131	675000	140000	815000
1954	497000	483000	347000	650000	708000	21.03.21	130	1000000	115000	1220000
1955	529000	520000	472000	654000	795000	25.08.21	157	1120000	154000	1280000
1956	621000	667000	504000	646000	932000	27.07.21	166	1430000	209000	1630000
1957	687000	710000	616000	830000	868000	"35.4"	205	1540000	243000	1790000
1958	511000	513000	418000	860000	770000	29.01.21	164	1410000	150000	1560000
1959	576000	578000	480000	788000	963000	27.09.21	156	1510000	224000	1730000
1960	713000	716000	336000	827000	897000	24.03.21	134	1650000	352000	2000000
1961	710000	710000	303000	759000	961000	22.02.21	121	1690000	422000	2120000
1962	733000	734000	249000	673000	982000	22.02.21	120	1690000	274000	1970000
1963	806000	807000	303000	689000	932000	23.03.21	124	1640000	345000	1990000
1964	908000	911000	288000	728000	1010000	23.07.21	124	1860000	496000	2350000
1965	879000	861000	257000	791000	972000	23.06.21	122	1960000	498000	2450000
1966	876000	788000	296000	848000	993000	29.04.21	148	2140000	480000	2620000
1967	848000	801000	323000	894000	945000	26.04.21	129	2190000	552000	2740000
1968	888000	871000	344000	917000	999000	26.02.21	122	2309000	615000	2920000
