NATURAL AND SYNTHETIC RUTILE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) gross weight unless otherwise noted2]
Last modification: October 22, 2018
Year	Production	Shipments	Imports			Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
			Natural	Synthetic	Total
1910	513	NA	NA	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1912	249	NA	NA	NA	NA	NA	NA	NA	NA	NA
1913	277	NA	NA	NA	NA	NA	NA	NA	NA	NA
1914	85.3	NA	NA	NA	NA	NA	NA	NA	NA	NA
1915	227	NA	NA	NA	NA	NA	NA	NA	NA	NA
1916	100	100	NA	NA	NA	NA	NA	NA	NA	NA
1917	187	187	NA	NA	NA	NA	NA	NA	NA	NA
1918	237	237	NA	NA	NA	NA	NA	NA	NA	NA
1919	92.5	92.5	NA	NA	NA	NA	NA	NA	NA	NA
1920	249	249	NA	NA	NA	NA	NA	NA	NA	NA
1921	NA	W	NA	NA	NA	NA	NA	NA	NA	NA
1922	281	281	NA	NA	NA	NA	NA	NA	NA	NA
1923	245	245	NA	NA	NA	NA	NA	NA	NA	NA
1924	NA	W	NA	NA	NA	NA	NA	NA	NA	NA
1925	41.7	W	NA	NA	NA	NA	NA	NA	NA	NA
1926	27.2	W	NA	NA	NA	NA	NA	NA	NA	77.1
1927	475	W	NA	NA	NA	NA	NA	NA	NA	45.4
1928	160	W	NA	NA	NA	NA	NA	NA	NA	59
1929	NA	W	5.6	NA	5.6	NA	NA	NA	NA	42.6
1930	NA	W	2.72	NA	2.72	NA	NA	NA	NA	46.3
1931	NA	W	1	NA	1	NA	NA	NA	NA	20.9
1932	NA	W	88.2	NA	88.2	NA	NA	NA	NA	65.3
1933	NA	W	72	NA	72	NA	NA	NA	NA	152
1934	NA	W	155	NA	155	NA	NA	NA	NA	352
1935	NA	W	212	NA	212	NA	NA	NA	NA	411
1936	NA	W	463	NA	463	NA	NA	NA	NA	1020
1937	NA	W	603	NA	603	NA	NA	NA	NA	2110
1938	NA	W	463	NA	463	NA	NA	NA	NA	967
1939	NA	W	714	NA	714	NA	NA	NA	NA	1370
1940	2620	2410	1960	NA	1960	NA	NA	NA	NA	6250
1941	2840	3110	5710	NA	5710	3270	5770	90.7	1000	12900
1942	2400	2400	9550	NA	9550	3390	9630	86.6	866	17300
1943	3620	3580	13000	NA	13000	2710	16000	86.5	815.113774473	20200
1944	6280	6140	9090	NA	9090	4090	13400	89.3	827.122595049	21800
1945	6510	6200	9620	NA	9620	5660	8880	61.2017954229	554.364088976	18700
1946	6760	6820	5320	NA	5320	13400	6470	99.7	834	16700
1947	7770	4700	11500	NA	11460	12600	6980	62	453.300942387	22100
1948	6700	8990	7960	NA	7960	8360	9280	72.9	493.1442588	22700
1949	10900	9580	2800	NA	2800	7810	10800	54.1	370.45947235	25300
1950	6840	6060	4140	NA	4140	7560	10600	49.6	335	24900
1951	6520	9930	10200	NA	10200	5800	15600	51.5	323	42500
1952	6460	6240	17700	NA	17700	12500	16600	102	627.009736208	45600
1953	6190	5880	14700	NA	14700	15300	18300	121	741	45000
1954	6720	6650	13700	NA	13700	15300	18700	108	654	52300
1955	7720	8330	17700	NA	17700	14200	26100	119	726	68700
1956	10900	10900	44400	NA	44400	24300	42500	161	965	111000
1957	9710	9660	77000	NA	77000	53500	48400	155	896	142000
1958	6720	1690	33200	NA	33200	62900	19700	135	764.146665334	93600
1959	8590	7850	21100	NA	21100	69300	21500	132	739.98818807	96500
1960	7990	8370	26500	NA	26500	70600	22000	132	724.395598804	104000
1961	8210	6950	24900	NA	24900	71800	26800	104	567.960950112	117000
1962	9060	7290	32600	NA	32600	68400	28800	89.7	484	136000
1963	10800	10300	65300	NA	65300	84200	31900	81.8	436	201000
1964	7310	9570	101000	NA	101000	127000	72100	79.3	417	195000
1965	W	W	138000	NA	138000	148000	106000	73.5	380.076231101	222000
1966	W	W	137000	NA	137000	157000	123000	61.8	311	250000
1967	W	W	152000	NA	152000	169000	139000	78.8	385	282000
1968	W	W	158000	NA	158000	198000	145000	86.3	404.271521107	302000
1969	W	W	186000	NA	186000	176000	168000	87.2	387.151151062	396000
1970	W	W	221000	NA	221000	216000	172000	89.8	377.171369439	417000
1971	W	W	207000	NA	207000	215000	205000	117	472.322227127	384000
1972	W	W	192000	8350	200000	143000	220000	120	469.31159876	319000
1973	8460	8170	156000	49600	206000	134000	251000	139	509	350000
1974	5850	5440	177000	47100	224000	97800	265000	173	573	361000
1975	W	W	151000	52700	204000	127000	210000	228	690	382000
1976	W	W	178000	77700	256000	138000	216000	215	615	404000
1977	W	W	88200	24100	112000	133000	168000	218	586.274953925	345000
1978	W	W	230000	32300	262000	167000	239000	201	503.109585287	302000
1979	W	W	150000	107000	257000	116000	285000	193	433	354000
1980	W	W	184000	71000	255000	142000	270000	245	485	436000
1981	W	W	146000	37500	184000	148000	259000	322	577	362000
1982	W	W	126000	21900	148000	160000	217000	267	452	339000
1983	W	W	82500	18700	101000	118000	241000	232	381	310000
1984	W	W	144000	20000	164000	92600	288000	274	430	341000
