TITANIUM MINERAL CONCENTRATES TOTAL1							
U.S. GEOLOGICAL SURVEY							
[All values in metric tons (t) gross weight unless otherwise noted2]							
Last modification: April 1, 2014							
Year	Production	Shipments	Imports	Exports	Stocks	Apparent\nconsumption	World production
1910	513	NA	NA	NA	NA	NA	NA
1911	NA	W	NA	NA	NA	NA	NA
1912	408	159	NA	NA	NA	NA	NA
1913	504	227	NA	NA	NA	NA	NA
1914	166	80.7	NA	NA	NA	NA	NA
1915	499	272	NA	NA	NA	NA	NA
1916	186.2	186.2	NA	NA	NA	NA	NA
1917	1400	1400	NA	NA	NA	NA	NA
1918	1730	1730	NA	NA	NA	NA	NA
1919	188.7	188.7	NA	NA	NA	NA	NA
1920	492	492	NA	NA	NA	NA	NA
1921	NA	W	NA	NA	NA	NA	NA
1922	825	4440	NA	NA	NA	NA	NA
1923	668	5520	NA	NA	NA	NA	NA
1924	NA	4330	NA	NA	NA	NA	NA
1925	41.7	5050	NA	NA	NA	NA	14800
1926	27.2	4370	NA	NA	NA	NA	21400
1927	475	3180	NA	NA	NA	NA	36100
1928	160	833	31300	NA	NA	NA	40100
1929	NA	NA	22700	NA	NA	NA	48200
1930	NA	NA	22700	NA	NA	NA	43500
1931	NA	NA	30300	NA	NA	NA	43700
1932	NA	NA	34100	NA	NA	NA	65700
1933	NA	NA	39300	NA	NA	NA	79000
1934	NA	NA	73100	NA	NA	NA	106000
1935	NA	NA	122000	NA	NA	NA	174000
1936	NA	NA	131000	NA	NA	NA	226000
1937	NA	NA	157000	NA	NA	NA	284000
1938	NA	NA	191000	NA	NA	NA	323000
1939	13200	15300	233000	NA	NA	NA	234000
1940	21420	21210	182000	NA	NA	NA	361000
1941	23940	22610	161000	NA	322000	255770	248000
1942	72400	87100	19000	561	160000	243630	217000
1943	188620	195580	83800	523	119000	291000	379000
1944	259280	261140	108000	264	156000	340400	483000
1945	286510	286200	201000	552	253000	354880	532000
1946	262760	262820	225000	1260	359000	373470	527000
1947	312770	309700	285000	1150	423000	441980	704000
1948	354700	354990	228000	1320	489000	522280	736000
1949	375900	362580	297000	1370	634000	473800	844000
1950	431840	416060	200000	544	627000	626600	884000
1951	492520	472930	185000	586	621000	662600	160000
1952	486460	480240	220000	789	632000	657600	942000
1953	472190	470880	402000	1240	640000	708300	860000
1954	503720	489650	361000	601	665000	726700	1270000
1955	536720	528330	490000	1040	668000	821100	1340000
1956	631900	677900	548000	1670	670000	974500	1750000
1957	696710	719660	693000	1830	884000	916400	1930000
1958	517720	514690	451000	1130	923000	789700	1650000
1959	584590	585850	501000	4220	857000	984500	1830000
1960	720990	724370	363000	1140	898000	919000	2100000
1961	718210	716950	328000	1300	831000	987800	2230000
1962	742060	741290	282000	1110	741000	1010800	2100000
1963	816800	817300	368000	1100	773000	963900	2190000
1964	915310	920570	389000	1960	855000	1082100	2540000
1965	879000	861000	395000	1090	939000	1078000	2680000
1966	876000	788000	433000	1180	1010000	1116000	2870000
1967	848000	801000	475000	2750	1060000	1084000	3020000
1968	888000	871000	502000	3850	1120000	1144000	3230000
1969	845000	810000	548000	1290	1040000	1208000	3610000
1970	787000	835000	430000	960	1050000	1171000	4020000
1971	620000	647000	371000	1600	898000	1151000	3750000
1972	615000	671000	485000	1630	757000	1173000	3610000
1973	712460	738170	484000	1360	750000	1240000	3920000
1974	680850	690440	513000	2960	669800	1280000	4400000
1975	651000	637000	508000	2850	785000	1020000	4030000
1976	592000	561000	565000	4360	870000	1150000	4390000
1977	579000	492000	553000	20600	920000	1090000	4350000
1978	535000	527000	677000		999000	1080000	4760000
1979	580000	586000	525000	8980	845000	1130000	4660000
1980	505000	539000	756000	16200	1140000	1210000	5380000
1981	492000	475000	642000	6620	1110000	1270000	5140000
1982	239000	211000	689000	19700	957000	951000	4420000
1983	W	W	462000	3980	551000	1060000	4040000
1984	W	W	726000	7850	336000	1180000	5320000
1985	W	W	888000	25200	416000	1190000	5110000
1986	W	W	908000	4820	429000	1280000	5100000
1987	W	W	915000	4020	426000	1320000	5950000
1988	W	W	1060000	9370	421000	1440000	6280000
1989	W	W	1060000	19800	488000	1440000	6570000
1990	W	W	995000	18800	599000	1450000	6250000
1991	W	W	862000	26900	547000	1450000	5330000
1992	W	W	1150000	34700	534000	1680000	6050000
1993	W	1000	1150000	15200	500000	1710000	6040000
1994	W	18000	1140000	19000	356000	1090000	6030000
1995	W	17000	1180000	32300	356000	1890000	6240000
1996	W	W	1260000	15500	438000	1800000	6210000
1997	W	W	1290000	23800	395000	2000000	6450000
1998	W	W	1390000	59700	501000	1720000	7050000
1999	W	W	1410000	9380	595000	1770000	6550000
2000	400000	W	1360000	18900	446000	1790000	7350000
2001	500000	W	1380000	7800	413000	1660000	7570000
2002	400000	W	1230000	3810	325000	1790000	7730000
2003	500000	W	1230000	10300	324000	1790000	8210000
2004	500000	W	1060000	8690	491000	1920000	8080000
2005	500000	W	1190000	20900	NA	1720000	8260000
2006	500000	W	1230000	32800	NA	1870000	9530000
2007	500000	W	1460000	9730	NA	1950000	9980000
2008	300000	W	1380000	14900	NA	1780000	9870000
2009	300000	W	943000	14800	NA	1700000	8840000
2010	300000	W	1200000	18900	NA	1851000	10500000
2011	300000	W	1272000	26600	NA	1833000	10800000
2012	300000	W	1381000	43000	NA	1939000	10500000
NA Not available. W Withheld to avoid disclosing company proprietary data.							
1Compiled by D.A. Buckingham (retired), J. Gambogi, and G.M. Bedinger.							
2Tonnages in table are expressed as gross weight of concentrate.  Titanium content will vary depending on grade of concentrate.							
Data are calculated, estimated, or reported.  See notes for more information.							
