TIN STATISTICS1											
U.S. GEOLOGICAL SURVEY											
[All values in metric tons (t) tin content unless otherwise noted]											
Last modification: April 1, 2014											
Year	Primary production	Secondary production	Imports	Exports	Government shipments	Government stocks	Industry stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	NA	NA	31700	NA	NA	NA	NA	31700	659	12900	NA
1901	NA	NA	33800	NA	NA	NA	NA	33800	368	7220	NA
1902	NA	NA	38600	NA	NA	NA	15000	38600	591	11200	NA
1903	NA	NA	37700	NA	NA	NA	18400	34300	619	11300	NA
1904	NA	NA	37600	NA	NA	NA	15000	41000	617	11200	NA
1905	NA	NA	40100	NA	NA	NA	NA	40100	692	12600	93600
1906	NA	NA	45800	NA	NA	NA	NA	45800	877	15900	98400
1907	NA	NA	37400	NA	NA	NA	NA	37400	842	14800	93800
1908	NA	NA	37400	NA	NA	NA	NA	37400	650	11800	106000
1909	NA	NA	43200	NA	NA	NA	NA	43200	655	11900	106000
1910	NA	NA	47700	NA	NA	NA	NA	47700	752	13200	105000
1911	NA	NA	48600	NA	NA	NA	NA	48600	933	16400	112000
1912	NA	NA	52600	NA	NA	NA	NA	52600	1020	17200	122000
1913	NA	NA	47500	NA	NA	NA	NA	47500	977	16100	136000
1914	NA	NA	43100	NA	NA	NA	NA	43100	756	12300	128000
1915	NA	NA	52400	346	NA	NA	NA	52100	851	13700	129000
1916	2050	NA	62600	456	NA	NA	NA	64200	959	14300	128000
1917	5500	NA	65500	267	NA	NA	NA	70700	1360	17400	135000
1918	9330	NA	64600	258	NA	NA	NA	73700	1960	21100	128000
1919	11100	NA	40700	346	NA	NA	NA	51500	1400	13200	123000
1920	16000	NA	57000	942	NA	NA	NA	72100	1070	8660	126000
1921	10500	NA	24600	1420	NA	NA	NA	33700	659	5990	110000
1922	8260	NA	61200	1120	NA	NA	NA	68300	719	6980	127000
1923	6770	NA	70000	1060	NA	NA	NA	75700	941	8960	130000
1924	441	NA	66100	974	NA	NA	NA	65600	1110	10500	142000
1925	NA	NA	77900	947	NA	NA	NA	77000	1280	11900	147000
1926	NA	NA	78400	2010	NA	NA	NA	76400	1440	13200	146000
1927	NA	NA	72300	2270	NA	NA	NA	70000	1420	13300	161000
1928	NA	NA	79200	1640	NA	NA	NA	77600	1110	10600	180000
1929	NA	NA	88500	1960	NA	NA	NA	86500	996	9490	196000
1930	NA	NA	82000	2270	NA	NA	NA	79700	699	6850	179000
1931	NA	NA	67100	1690	NA	NA	NA	65400	540	5790	149000
1932	NA	NA	35400	1130	NA	NA	NA	34300	485	5770	96500
1933	NA	NA	64700	1060	NA	NA	NA	63600	862	10800	90400
1934	NA	NA	40600	1240	NA	NA	16800	39400	1150	14000	122000
1935	NA	NA	65300	2330	NA	NA	18000	61800	1110	13200	137000
1936	NA	NA	77200	392	NA	NA	26600	68200	1020	12000	182000
1937	NA	NA	89500	318	NA	NA	32300	83500	1200	13600	213000
1938	NA	NA	50500	208	NA	NA	27600	55000	933	10800	166000
1939	NA	15300	71200	2140	NA	NA	37700	74300	1110	13000	180000
1940	1410	18600	127000	2710	NA	21800	79600	102000	1100	12800	240000
1941	1870	26900	79300	1770	NA	50800	76600	80300	1150	12700	244000
1942	16400	21600	27200	416	NA	NA	45000	96400	1150	11500	124000
1943	21800	22800	12100	1800	-14100	NA	25300	60500	1150	10800	146000
1944	31400	19400	13600	857	-16000	40500	21500	51300	1150	10600	102000
1945	41100	21800	8630	896	0	12300	16000	104000	1150	10400	88400
1946	22500	15900	15800	895	0	22600	29900	29100	1200	10000	89400
1947	33800	17200	25300	427	0	12300	33700	82400	1720	12500	115000
1948	37300	18200	50000	93	0	36800	27600	87000	2190	14800	156000
1949	36400	15000	61200	156	0	22800	34000	120000	2190	15000	164000
1950	33600	21900	84200	812	0	18900	37700	139000	2110	14200	172000
1951	32100	20800	28700	1540	0	6860	23100	107000	2800	17500	172000
1952	23200	20800	81800	386	0	13500	29900	112000	2660	16300	177000
1953	38200	19400	75900	206	0	18800	28200	130000	2110	12900	193000
1954	27800	17300	57500	835	0	1370	31600	116000	2020	12300	192000
1955	22700	19800	65900	1120	0	2320	35900	102000	2090	12700	200000
1956	17900	17900	63600	904	0	1030	37000	98700	2240	13400	203000
1957	1590	14600	57100	1560	0	0	36300	72400	2120	12300	204000
1958	W	13800	41800	1360	0	0	35200	55300	2100	11800	156000
1959	W	13700	44300	1390	0	0	41900	49900	2250	12600	164000
1960	W	12500	40200	871	0	0	40800	52900	2240	12300	183000
1961	W	12000	40500	813	0	NA	43200	49300	2500	13700	187000
1962	W	11900	42100	442	1420	NA	37900	60300	2530	13700	190000
1963	W	12900	44000	1650	9470	NA	46700	55900	2570	13700	194000
