TITANIUM DIOXIDE PIGMENT STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values are in metric tons (t) gross weight unless otherwise noted]								
Last modification: April 1, 2014								
Year	Production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)
1939	NA	NA	NA	3920	NA	NA	178.17	2090
1940	NA	NA	NA	4500	NA	NA	192.74	2240
1941	NA	NA	NA	7100	NA	NA	226.79	2510
1942	NA	NA	NA	8050	NA	NA	212.18	2120
1943	NA	NA	NA	8860	NA	NA	206.61	1950
1944	NA	NA	NA	9910	NA	NA	187.11	1730
1945	NA	NA	NA	11600	NA	NA	199.03	1800
1946	NA	NA	NA	14800	NA	NA	208.96	1750
1947	NA	NA	NA	19200	NA	NA	269.91	1970
1948	NA	NA	NA	24300	NA	NA	292.88	1980
1949	NA	NA	NA	26900	NA	NA	302.95	2070
1950	419000	420000	NA	29600	NA	389000	297	2010
1951	441000	419000	NA	35600	NA	405000	372.87	2340
1952	423000	372000	NA	32300	NA	391000	330.73	2030
1953	446000	440000	NA	36100	NA	410000	324.65	1980
1954	458000	461000	NA	57900	NA	400000	402.23	2440
1955	505000	522000	NA	49300	NA	456000	371.81	2260
1956	592000	564000	508	58800	NA	534000	427.93	2560
1957	553000	484000	36	48000	NA	505000	409.77	2380
1958	500000	527000	643	33600	NA	467000	337.9	1910
1959	612000	583000	2600	32900	NA	582000	320.78	1800
1960	548000	563000	5610	30500	NA	523000	327.56	1800
1961	583000	570000	8190	28200	NA	563000	326.61	1780
1962	609000	598000	15100	26400	NA	598000	327.18	1770
1963	600000	610000	22900	24200	NA	599000	332.36	1770
1964	640000	629000	36900	26600	NA	650000	311.14	1640
1965	655000	651000	45000	24400	NA	676000	297.09	1540
1966	669000	669000	43500	24400	NA	688000	311.8	1570
1967	658000	650000	42400	23500	NA	677000	305.5	1490
1968	691000	700000	48400	27400	NA	712000	300.41	1410
1969	730000	719000	NA	22200	NA	708000	337.8	1500
1970	714000	702000	54600	23800	NA	641000	334.55	1410
1971	733000	740000	38900	24300	NA	667000	386.32	1550
1972	744000	778000	78400	9380	NA	692000	520.69	2030
1973	835000	845000	54800	18800	NA	767000	744.17	2730
1974	831000	801000	31700	27600	NA	666000	891.72	2950
1975	632000	604000	23500	14300	97000	495000	844.49	2560
1976	741000	740000	62400	18700	103000	625000	869.26	2490
1977	709000	719000	104000	14800	NA	647000	852.09	2290
1978	717000	648000	107000	35700	NA	662000	959.41	2400
1979	754000	687000	95200	46700	49000	692000	1050	2350
1980	660000	664000	88500	41500	75500	623000	1200	2370
1981	691000	706000	113000	56600	92700	673000	1340	2410
1982	598000	641000	126000	67200	78900	628000	1450	2440
1983	690000	738000	159000	84800	70300	718000	1290	2110
1984	757000	821000	176000	98200	75800	775000	1350	2110
1985	783000	862000	178000	93600	51500	831000	1480	2240
1986	844000	984000	184000	105000	69800	845000	1550	2310
1987	879000	1040000	174000	121000	47500	904000	1630	2340
1988	927000	1100000	185000	123000	49700	921000	1780	2450
1989	1010000	1130000	166000	212000	63200	885000	2090	2740
1990	979000	1120000	148000	202000	61700	925000	2150	2690
1991	992000	1120000	166000	212000	72100	936000	2120	2540
1992	1140000	1260000	169000	270000	108000	1000000	2010	2330
1993	1160000	1290000	172000	290000	123000	1030000	1920	2170
1994	1250000	1370000	176000	352000	106000	1110000	1850	2040
1995	1250000	1330000	183000	342000	120000	1080000	1910	2040
1996	1230000	1330000	167000	332000	107000	1080000	1890	1970
1997	1340000	1360000	194000	405000	108000	1130000	1760	1790
1998	1330000	1380000	200000	398000	96900	1140000	1840	1840
1999	1350000	1430000	225000	384000	137000	1160000	1890	1850
2000	1400000	1470000	218000	464000	141000	1150000	1880	1780
2001	1330000	1370000	209000	415000	159000	1100000	1890	1740
2002	1410000	1530000	231000	540000	137000	1160000	1800	1630
2003	1420000	1350000	241000	584000	156000	1070000	1830	1620
2004	1540000	1700000	264000	635000	NA	1170000	1780	1530
2005	1310000	1420000	341000	524000	NA	1130000	2180	1820
2006	1370000	1400000	288000	581000	NA	1080000	2150	1740
2007	1440000	1480000	221000	682000	NA	979000	1870	1470
2008	1350000	1390000	183000	733000	NA	800000	2210	1670
2009	1230000	1280000	175000	649000	NA	757000	2210	1680
2010	1320000	1360000	204000	758000	NA	767000	2330	1740
2011	1290000	1320000	200000	789000	NA	706000	3330	2410
2012	1140000	1080000	203000	624000	NA	719000	3630	2580
NA Not available. 								
1Compiled by D.A. Buckingham, J. Gambogi, and G.M. Bedinger.								
Data are calculated, estimated, or reported.  See notes for more information.								
