TUNGSTEN STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) tungsten content unless otherwise noted]
Last modification: December 3, 2018
Year	 Primary production	Secondary production	Imports	Exports	Government shipments	Stocks	Reported consumption	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	NA	NA	NA	NA	0	NA	NA	NA	556	11000	NA
1901	77.3	NA	NA	NA	0	NA	NA	77.3	359	7000	NA
1902	79.4	NA	NA	NA	0	NA	NA	79.4	428	8000	NA
1903	126	NA	NA	NA	0	NA	NA	126	346	6300	NA
1904	319	NA	NA	NA	0	NA	NA	319	573	10000	NA
1905	347	NA	NA	NA	0	NA	NA	347	775	14000	1700
1906	401	NA	NA	NA	0	NA	NA	401	871	16000	1900
1907	708	NA	NA	NA	0	NA	NA	708	1260	22000	2600
1908	290	NA	NA	NA	0	NA	NA	290	794	14000	1800
1909	699	NA	NA	NA	0	NA	NA	699	879	16000	2500
1910	786	NA	880	40.4	0	NA	NA	1630	1070	18700	3300
1911	492	NA	202	NA	0	NA	NA	694	830	15000	3200
1912	574	NA	699	NA	0	NA	NA	1270	872	14800	4200
1913	664	NA	929	NA	0	NA	NA	1590	1010	16600	3900
1914	427	NA	352	NA	0	NA	NA	779	1020	16600	3500
1915	1010	NA	838	NA	0	NA	NA	1840	4080	65800	5200
1916	2560	NA	1950	279	0	NA	NA	4230	4730	70700	10000
1917	2650	NA	2290	1130	0	NA	NA	3820	2560	32600	12300
1918	2180	NA	5550	598	0	NA	NA	7140	3230	35100	15200
1919	141	NA	4710	18.6	0	NA	NA	4830	2510	23600	7000
1920	93.2	NA	1910	2.27	0	NA	NA	2000	1090	8910	5500
1921	0	NA	1020	0	0	NA	NA	1020	1200	10900	2300
1922	0	NA	1320	0	0	NA	NA	1320	1300	12600	3000
1923	104	NA	35.8	1.81	0	NA	NA	138	1390	13300	3300
1924	244	NA	64.3	1.36	0	NA	NA	307	1180	11200	2900
1925	514	NA	768	4.54	0	NA	NA	1280	1470	13700	4900
1926	596	NA	1310	10.9	0	NA	NA	1890	1540	14200	5800
1927	503	NA	997	7.26	0	NA	NA	1490	1440	13500	4400
1928	522	NA	1350	5.9	0	NA	NA	1860	1450	13700	5500
1929	358	NA	2920	37.2	0	NA	NA	3240	1830	17300	7500
1930	303	NA	1810	10.9	0	NA	NA	2110	1680	16400	7900
1931	606	NA	85.9	384	0	NA	NA	308	1530	16400	6400
1932	171	NA	48.2	51.3	0	NA	NA	168	1280	15300	3200
1933	386	NA	172	310	0	NA	NA	249	1330	16800	5900
1934	885	NA	433	255	0	NA	NA	1060	2030	24600	7800
1935	1030	NA	404	362	0	NA	NA	1080	1860	22100	10700
1936	1130	NA	1710	47.2	0	NA	NA	2790	2060	24200	11800
1937	1510	NA	2580	NA	0	NA	NA	4090	2710	30700	18500
1938	1310	NA	84.3	NA	0	NA	NA	1400	2410	27800	17800
1939	1850	NA	692	80	-65.3	1340	NA	2400	2380	27900	20100
1940	2300	NA	2560	90	-2390	1310	NA	2400	2870	33400	20700
1941	2830	NA	5240	80	-1220	1210	NA	6880	3260	36100	23900
1942	4030	NA	6500	220	-642	1710	NA	9170	3350	33500	24100
1943	5160	NA	8820	480	-5230	1320	NA	8660	3490	32900	28600
1944	4440	NA	8340	960	-3100	883	NA	9160	3250	30100	23400
1945	2390	NA	2170	410	NA	1970	NA	3060	3220	29200	10900
1946	2240	NA	3120	140	NA	1810	NA	5390	2810	23400	9040
1947	1340	NA	2730	200	NA	1680	NA	3990	3260	23800	13700
1948	1740	NA	3420	710	NA	2650	NA	3490	3650	24800	17800
1949	1190	NA	2870	310	NA	2290	NA	4120	3670	25100	15800
1950	2080	NA	4510	180	NA	2420	NA	6280	3930	26600	18300
1951	2710	NA	3650	200	NA	1940	NA	6640	8490	53200	24800
1952	3290	NA	8120	150	NA	1370	NA	11800	8820	54100	32700
1953	4140	NA	13100	120	NA	2130	NA	16400	8690	52800	34400
1954	5910	NA	11400	180	NA	1940	NA	17300	8710	52800	33800
1955	7080	NA	9910	240	NA	1830	NA	16900	8590	52300	35700
1956	6360	173	10200	330	NA	2380	4410	15900	8050	48300	35800
1957	2380	325	6730	220	NA	4180	3690	7500	3440	19900	29100
1958	1640	215	3190	100	NA	2420	2500	6720	2440	13800	24200
1959	1580	437	3000	210	NA	1850	4420	5410	2860	16000	26400
1960	3160	254	1910	620	NA	4720	4130	2020	3110	17100	31200
1961	3560	290	1410	220	NA	4680	4100	5100	2970	16200	33000
1962	3640	341	2400	120	723	5460	5340	6150	3200	17200	31300
1963	2440	304	2060	150	190	6090	4770	4120	2950	15700	27100
1964	3990	290	1750	290	344	4330	5010	7860	2820	14800	28100
1965	3430	322	2060	150	420	3790	6160	6700	3800	19700	27000
1966	3250	411	2390	160	3750	3740	7360	9640	4630	23200	28600
1967	3560	453	934	710	2900	4460	6200	6570	4100	20000	28500
1968	4100	567	853	540	1560	3770	5950	7130	4950	23200	31000
1969	3590	567	747	3740	7370	3060	7280	9390	5240	23300	32500
1970	4220	680	799	9540	13000	4320	6960	8190	5640	23700	32400
1971	3100	598	543	1590	4140	4440	5060	6720	6520	26200	35400
1972	3200	668	3740	640	618	4990	6030	7120	5670	22100	38500
1973	3200	963	6400	1120	576	3710	8160	9930	5990	22000	37900
1974	3550	1050	7170	2410	2900	4330	9320	10700	10500	34800	37600
1975	2490	945	4590	1620	1350	4950	5870	6330	11700	35400	38300
1976	2660	958	4560	2030	1820	3970	7620	7770	14000	40100	38000
1977	2730	1390	3940	1790	2210	3920	7670	8400	20200	54300	41100
1978	3130	1350	5380	2260	2450	3750	8300	10100	18100	45300	46100
1979	3010	1500	6600	2600	2350	3820	9270	10100	18500	41600	48600
1980	2740	1920	6380	2710	1700	3760	9160	9940	18500	36600	52000
1981	3550	1640	7450	2360	958	3890	9610	10300	17600	31500	50300
1982	1580	1920	6140	2020	344	4980	6350	6050	14000	23700	47000
1983	1020	2080	4690	1330	259	4980	6520	6480	10400	17000	40900
1984	1170	1880	9280	2420	1370	5630	10200	10200	11400	17900	46200
1985	983	1620	7750	3210	902	5370	8100	8210	9310	14100	46600
1986	817	1510	5220	2140	301	3340	7210	7770	7070	10500	43500
1987	34	1610	7980	2240	708	3080	7230	7950	6350	9110	42500
1988	W	2260	12500	2390	524	4360	8300	11000	7500	10300	50900
1989	W	1940	11700	3400	466	4510	7990	10300	10600	13900	51000
1990	W	1960	10000	3350	0	4240	8500	8440	8480	10600	51900
1991	W	2150	15500	3140	0	4850	7980	11800	9870	11800	48200
1992	W	2640	6640	2220	0	3190	6910	7080	9320	10800	42900
1993	W	2050	7510	2450	0	3250	7580	7120	6820	7690	34300
1994	W	2070	10400	3160	0	2980	8110	7930	9460	10400	34000
1995	0	2390	12800	3460	0	3220	8800	10100	12400	13200	38500
1996	0	2670	11800	2550	0	2940	8170	10900	10400	10800	34700
1997	0	2930	12800	2590	0	2480	8800	12200	9660	9810	33200
1998	0	3350	13200	3650	0	2980	9520	12300	8300	8300	37000
1999	0	4980	11100	2880	0	1980	8730	12900	7070	6920	37700
2000	0	5210	10200	2870	1830	1680	9280	14400	8290	7840	44000
2001	0	5390	10800	5080	3190	1430	9090	14500	12500	11500	50800
2002	0	4380	10600	3310	1320	1130	9490	11900	9080	8230	47000
2003	0	4130	12300	5090	891	1220	9600	10100	8710	7720	47200
2004	0	4000	10600	3770	1060	1190	11200	12600	11600	10000	66300
2005	0	4670	11200	5940	2710	1310	11100	11700	29900	24900	59500
2006	0	4490	12000	6440	3130	1330	12400	13200	37000	29900	56600
2007	NA	4330	12900	6050	1780	1380	11400	13300	35900	28200	53600
2008	NA	5510	13100	5980	1520	1280	12100	13800	35100	26600	61900
2009	NA	3690	10000	2770	700	1290	7550	11600	25700	19600	61200
2010	NA	5680	12400	4620	2060	1310	11000	15500	27000	20200	68400
2011	NA	11000	13300	7260	1220	1240	12300	18000	46700	33900	73900
2012	NA	9180	11700	6770	1780	1360	11400	14900	56700	40200	77700
2013	NA	8600	12100	7710	2100	1420	10700	14600	46600	32600	79400
2014	NA	W	12900	6730	282	1350	11600	W	45200	31100	82600
2015	NA	W	10200	3760	0	1030	11100	W	37800	26000	83700
2016	0	W	9880	3380	0	1070	10400	W	25000	17000	79600
2017	0	W	13700	3550	1460	1170	11300	W	35000	23300	82100
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by C.A. DiFrancesco and K.B. Shedd.
Data are calculated, estimated, or reported.  See notes for more information.
