VANADIUM STATISTICS1								
U.S. GEOLOGICAL SURVEY								
[All values in metric tons (t) vanadium content unless otherwise noted]								
Last modification: April 1, 2014								
Year	Production	Imports	Exports	Stocks	 Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1901	6.8	NA	NA	NA	6.8	NA	NA	NA
1902	69.1	NA	68	NA	1.1	NA	NA	NA
1903	NA	NA	7.84	NA	4.7	NA	NA	NA
1904	NA	NA	NA	NA	8.3	NA	NA	NA
1905	NA	NA	NA	NA	12	NA	NA	NA
1906	NA	NA	NA	NA	15	NA	NA	NA
1907	18.9	NA	NA	NA	19	NA	NA	NA
1908	NA	272	NA	NA	270	NA	NA	NA
1909	NA	NA	NA	NA	200	NA	NA	NA
1910	NA	NA	NA	NA	130	2640	46000	NA
1911	61.2	NA	NA	NA	61	984	17000	NA
1912	272	NA	43	NA	230	1100	19000	1040
1913	392	NA	129	NA	260	1750	28800	392
1914	410	NA	165	NA	250	1800	29400	414
1915	569	NA	180	NA	390	1850	29800	1360
1916	417	NA	435	NA	310	1690	25300	1190
1917	439	NA	200	NA	240	2400	30600	1260
1918	250	16.1	324	NA	270	2440	26300	484
1919	258	54.7	14.2	NA	300	2480	23400	578
1920	478	188	92.6	NA	570	2680	21800	1640
1921	182	93.5	12.4	NA	260	2880	26200	94.4
1922	23.5	277	11.1	NA	290	3080	29900	70.8
1923	57.4	27.9	21.1	NA	64	3280	31200	NA
1924	NA	128	10.3	NA	120	3060	29100	NA
1925	118	233	23.3	NA	330	2830	26400	1170
1926	300	880	NA	NA	1200	4050	37200	1700
1927	NA	740	NA	NA	740	3650	34100	2200
1928	NA	59	NA	NA	59	3820	36400	2810
1929	NA	1040	NA	NA	1000	4000	38100	2810
1930	NA	105	NA	NA	110	4050	39700	2190
1931	NA	NA	NA	NA	180	4490	48100	661
1932	245	NA	NA	NA	250	4920	58600	480
1933	1.1	NA	NA	NA	1.1	4920	61700	300
1934	5.9	104	NA	NA	110	4780	58200	118
1935	23.1	42.6	NA	NA	66	4770	56800	416
1936	63.5	156	NA	NA	220	4750	55700	975
1937	493	571	NA	NA	1100	4740	53700	1950
1938	732	991	NA	NA	1700	4720	54600	2590
1939	900	968	NA	NA	1900	4710	55200	2910
1940	981	1170	NA	NA	2200	4690	54600	3020
1941	1140	970	11.6	NA	2100	4330	48000	2770
1942	2010	1170	10	NA	3200	4330	43300	3870
1943	2530	960	17.3	NA	3500	4920	46400	4380
1944	1600	601	2.9	NA	2200	4720	43700	3500
1945	1340	1580	51.7	NA	2900	4720	42900	2670
1946	577	368	2.8	NA	940	4530	37800	1390
1947	1280	479	60.4	NA	1700	4530	33100	1740
1948	811	477	8.81	NA	1300	4720	31900	NA
1949	3190	250	52.3	NA	3400	4530	31000	NA
1950	2090	689	18.1	NA	2800	4050	27400	NA
1951	2800	473	27.4	NA	3300	4600	28800	NA
1952	3270	479	101	NA	3600	4920	30200	NA
1953	4210	326	30.2	NA	4500	4900	29900	NA
1954	2860	462	98	NA	3200	4950	30000	NA
1955	2980	83.9	784	256	1540	4920	30000	NA
1956	3510	NA	842	256	1800	4920	29500	NA
1957	3350	NA	454	256	1620	5230	30400	NA
1958	2750	NA	572	250	1140	4920	27800	NA
