VERMICULITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: September 26, 2018
Year	 Primary production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1924	2	NA	NA	2	37.5	357	NA
1925	93	NA	NA	93	30.5	285	NA
1926	136	NA	NA	136	27.6	253	NA
1927	46	NA	NA	46	28.7	268	NA
1928	913	NA	NA	913	41.8	398	NA
1929	891	NA	NA	891	27.5	262	NA
1930	754	NA	NA	754	18.2	178	NA
1931	1140	NA	NA	1140	21.7	233	NA
1932	1490	NA	NA	1490	11.4	136	NA
1933	2040	NA	NA	2040	10.8	135	NA
1934	4310	NA	NA	4310	13.2	161	NA
1935	6410	NA	NA	6410	13.8	164	NA
1936	15400	NA	NA	15400	12.1	142	NA
1937	24100	NA	NA	24100	10.8	122	NA
1938	18800	NA	NA	18800	10.2	118	NA
1939	19200	NA	NA	19200	9.1	107	NA
1940	20200	NA	NA	20200	6.8	79.2	NA
1941	21300	NA	NA	21300	5.9	65.4	NA
1942	52500	NA	NA	52500	6.1	61	NA
1943	42300	NA	NA	42300	11.1	105	NA
1944	49100	NA	NA	49100	11	102	NA
1945	58800	NA	NA	58800	11	100	NA
1946	78400	NA	NA	78400	11.1	92.5	NA
1947	119000	NA	NA	119000	11.2	81.8	NA
1948	126000	NA	NA	126000	11	74.3	126000
1949	153000	NA	NA	153000	11	75.3	159000
1950	189000	15000	NA	204000	11.2	75.7	232000
1951	190000	9000	NA	199000	14.1	88.1	232000
1952	190000	7300	NA	197000	14	85.9	226000
1953	172000	6300	NA	178000	14.2	86.6	203000
1954	177000	6900	NA	184000	14.3	86.7	220000
1955	185000	9700	NA	195000	14.6	89	239000
1956	175000	7300	NA	182000	14.6	87.4	230000
1957	167000	5900	NA	173000	15.6	90.7	225000
1958	173000	7400	NA	181000	15.7	88.7	223000
1959	188000	11000	NA	199000	16.4	91.6	236000
1960	181000	11000	NA	192000	17.2	94.5	244000
1961	187000	12000	NA	199000	17.9	97.8	256000
1962	186000	14000	NA	200000	17.7	95.7	268000
1963	205000	13000	NA	218000	17.4	92.6	298000
1964	205000	17000	NA	222000	17.6	92.6	311000
1965	226000	15000	NA	241000	19.7	102	344000
1966	238000	7700	NA	245000	20.8	105	346000
1967	231000	14000	NA	246000	21.5	105	336000
1968	263000	9600	NA	273000	21.6	101	382000
1969	281000	5900	NA	287000	24.2	107	423000
1970	259000	11000	NA	269000	25.1	105	391000
1971	273000	16000	NA	289000	26.4	106	416000
1972	297000	24000	NA	320000	26.5	103	465000
1973	331000	27000	NA	358000	28.6	105	498000
1974	309000	38000	40000	308000	32.7	108	505000
1975	299000	30000	41000	288000	46	139	533000
1976	276000	36000	37000	275000	50.8	146	523000
1977	326000	36000	41000	321000	57.1	154	520000
1978	306000	25000	32000	299000	64.4	161	542000
1979	314000	24000	30000	308000	70	157	540000
1980	306000	24000	27000	302000	76.9	152	538000
1981	290000	24000	28000	287000	90.3	162	523000
1982	287000	19000	20000	286000	99.4	168	508000
1983	256000	22000	17000	260000	106	173	444000
1984	286000	29000	20000	295000	110	173	494000
1985	285000	34000	21000	298000	113	171	505000
1986	288000	32000	23000	297000	120	178	621000
1987	275000	29000	18000	284000	120	172	659000
1988	276000	32000	18000	290000	123	169	644000
1989	249000	50000	18000	281000	122	160	615000
1990	209000	45000	18000	236000	91	113	572000
1991	180000	38000	10000	208000	79	94.5	513000
1992	190000	40000	8000	222000	111	129	456000
1993	190000	30000	7000	213000	111	125	490000
1994	177000	30000	7000	200000	111	122	485000
1995	171000	30000	6000	195000	111	119	486000
1996	170000	48000	8000	210000	111	115	280000
1997	W	67000	9000	230000	111	113	301000
1998	150000	68000	11000	210000	118	118	328000
1999	150000	71000	13000	210000	NA	NA	541000
2000	150000	59000	5000	200000	NA	NA	521000
2001	110000	65000	7000	170000	NA	NA	431000
2002	100000	56000	10000	150000	NA	NA	498000
2003	110000	37000	15000	130000	NA	NA	491000
2004	100000	69000	10000	160000	NA	NA	513000
2005	100000	91000	5000	190000	NA	NA	521000
2006	100000	65000	5000	160000	NA	NA	512000
2007	100000	51000	5000	150000	NA	NA	510000
2008	100000	73000	5000	170000	NA	NA	413000
2009	100000	39000	3000	140000	NA	NA	409000
2010	100000	29000	2000	130000	NA	NA	427000
2011	100000	53000	2000	150000	NA	NA	394000
2012	100000	57000	2000	160000	NA	NA	370000
2013	100000	39000	2000	140000	NA	NA	359000
2014	100000	52000	3000	150000	NA	NA	384000
2015	100000	33000	2000	130000	NA	NA	368000
2016	100000	46000	2000	140000	NA	NA	394000
2017	100000	53000	2000	150000	NA	NA	404000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by C.A. DiFrancesco, M.J. Potter, D.J. Cordier, and A.O. Tanner.
