WOLLASTONITE STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: October 3, 2019
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1950	2270	NA	NA	2270	28	189	2270
1951	NA	NA	NA	NA	NA	NA	NA
1952	NA	NA	NA	NA	NA	NA	NA
1953	NA	NA	NA	NA	NA	NA	NA
1954	NA	NA	NA	NA	NA	NA	NA
1955	NA	NA	NA	NA	NA	NA	NA
1956	NA	NA	NA	NA	NA	NA	NA
1957	NA	NA	NA	NA	NA	NA	NA
1958	NA	NA	NA	NA	NA	NA	NA
1959	34400	NA	NA	34400	30	168	34400
1960	34400	NA	NA	34400	30	165	36800
1961	34400	NA	NA	34400	35	191	37000
1962	34400	NA	NA	34400	35	189	36800
1963	34400	NA	NA	34400	40	213	36400
1964	34400	NA	NA	34400	40	211	37400
1965	34400	NA	NA	34400	40	207	36800
1966	34400	NA	NA	34400	45	226	38200
1967	34400	NA	NA	34400	45	220	37800
1968	30000	NA	NA	30000	45	211	36000
1969	60000	NA	NA	60000	50	222	40900
1970	60000	NA	NA	60000	50	210	73300
1971	60000	NA	NA	60000	55	221	76700
1972	60000	NA	NA	60000	60	234	70500
1973	60000	NA	NA	60000	65	239	68700
1974	60000	NA	NA	60000	70	231	71100
1975	58000	NA	NA	58000	70	212	69600
1976	63000	NA	NA	63000	75	215	73900
1977	65000	NA	NA	65000	75	202	75600
1978	70000	NA	NA	70000	80	200	85600
1979	74000	NA	NA	74000	80	180	103000
1980	76000	NA	NA	76000	85	168	113000
1981	80000	NA	NA	80000	100	179	114000
1982	70000	NA	NA	70000	100	169	105000
1983	60000	NA	NA	60000	110	180	103000
1984	65000	NA	NA	65000	115	180	118000
1985	65000	NA	NA	65000	120	182	119000
1986	65000	NA	NA	65000	130	193	128000
1987	71000	NA	NA	71000	130	187	145000
1988	81000	NA	NA	81000	130	179	185000
1989	90000	NA	NA	90000	130	171	221000
1990	110000	NA	NA	110000	135	168	271000
1991	110000	NA	NA	110000	135	162	286000
1992	110000	NA	NA	110000	140	163	302000
1993	120000	NA	NA	120000	145	164	351000
1994	125000	NA	NA	125000	145	159	413000
1995	125000	NA	NA	125000	145	155	514000
1996	150000	1380	30000	147000	145	151	533000
1997	150000	3000	30000	123000	150	152	575000
1998	150000	7500	27500	130000	150	150	600000
1999	150000	3750	20500	133000	150	147	600000
2000	130000	11000	25000	135000	150	142	530000
2001	130000	5000	25000	132000	150	138	610000
2002	121000	2750	27000	119000	150	136	580000
2003	150000	3500	27000	126500	160	141.71833481	580000
2004	121000	4500	29000	96500	160	138.050043141	580000
2005	121000	6000	29000	98000	160	134	600000
2006	121000	2500	30000	93500	170	137	600000
2007	110000	2000	30000	82000	170	133.65	600000
2008	100000	5000	30000	75000	175	132	600000
2009	65000	4000	25000	44000	180	137	530000
2010	W	4000	10000	W	183	137	510000
2011	W	4000	10000	W	200	145	530000
2012	W	4500	10000	W	210	149	530000
2013	W	4000	10000	W	215	150	530000
2014	W	4000	10000	W	225	155	1100000
2015	W	4000	10000	W	245	169	1100000
2016	W	2000	10000	W	265	180	1400000
2017	W	1000	10000	W	285	190	1100000
2018	W	1000	10000	W	300	195	1100000
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by C.A. DiFrancesco, R.L. Virta, and D.M. Flanagan, and K.C. Curry
Data are calculated, estimated, or reported.  See notes for more information.
