LOGS AND WOOD CHIPS STATISTICS1		
U.S. GEOLOGICAL SURVEY		
[All values in metric tons]		
Last modification: April 1, 2014		
Year	Imports	Exports
1965	153000	2690000
1966	215000	3130000
1967	173000	4430000
1968	178000	5780000
1969	184000	5390000
1970	325000	6160000
1971	189000	5150000
1972	88400	7060000
1973	0	7570000
1974	172000	5940000
1975	199000	6000000
1976	199000	7310000
1977	347000	6900000
1978	218000	7670000
1979	299000	8760000
1980	287000	7330000
1981	227000	5700000
1982	263000	7210000
1983	371000	7880000
1984	330000	7860000
1985	223000	8640000
1986	177000	8220000
1987	186000	9240000
1988	153000	10800000
1989	88500	10600000
1990	52000	9470000
1991	30600	8460000
1992	0	7370000
1993	211000	6470000
1994	248000	6030000
1995	181000	6340000
1996	259000	5930000
1997	287000	5390000
1998	417000	4450000
1999	662000	4580000
2000	1010000	5930000
2001	1030000	5670000
2002	1210000	5460000
2003	1120000	5000000
2004	1020000	5140000
2005	1580000	4850000
2006	1320000	4760000
2007	939000	4920000
2008	494000	4410000
2009	399000	4530000
2010	447000	5720000
2011	422000	6820000
1Compiled by T.D. Kelly (retired) and G. Matos.		
Data are estimated, calculated, or reported.  See notes for more information.		
