LUMBER STATISTICS1				
U.S. GEOLOGICAL SURVEY				
[All values in metric tons]				
Last modification: April 1, 2014				
Year	Production 	Imports	Exports 	Apparent consumption
1900	36700000	NA	NA	36700000
1901	38900000	NA	NA	39000000
1902	41200000	NA	NA	41200000
1903	43500000	NA	NA	43500000
1904	44800000	NA	NA	44800000
1905	45300000	NA	NA	45300000
1906	47900000	NA	NA	47900000
1907	47900000	NA	NA	47900000
1908	43700000	NA	NA	43700000
1909	46300000	NA	NA	46300000
1910	46200000	NA	NA	46200000
1911	44500000	NA	NA	44500000
1912	46500000	NA	NA	46500000
1913	45400000	NA	NA	45400000
1914	41700000	NA	NA	41700000
1915	37600000	NA	NA	37600000
1916	40700000	NA	NA	40700000
1917	36000000	NA	NA	36000000
1918	32300000	NA	NA	32300000
1919	35200000	NA	NA	35200000
1920	35800000	NA	NA	35800000
1921	29300000	NA	NA	29300000
1922	35300000	NA	NA	35300000
1923	41300000	NA	NA	41300000
1924	40100000	NA	NA	40100000
1925	41300000	NA	NA	41300000
1926	40200000	NA	NA	40200000
1927	37700000	NA	NA	37700000
1928	37000000	NA	NA	37000000
1929	39400000	NA	NA	39400000
1930	30000000	NA	NA	30000000
1931	20400000	NA	NA	20400000
1932	13700000	NA	NA	13700000
1933	17400000	NA	NA	17400000
1934	19400000	NA	NA	19400000
1935	23400000	NA	NA	23400000
1936	28100000	NA	NA	28100000
1937	29500000	NA	NA	29500000
1938	25100000	NA	NA	25100000
1939	29000000	NA	NA	29000000
1940	31200000	NA	NA	31200000
1941	36700000	NA	NA	36700000
1942	36600000	NA	NA	36600000
1943	35100000	NA	NA	35100000
1944	34200000	NA	NA	34200000
1945	29400000	NA	NA	29400000
1946	35500000	NA	NA	35500000
1947	36200000	NA	NA	36200000
1948	37500000	NA	NA	37500000
1949	32200000	NA	NA	32200000
1950	38400000	NA	NA	38400000
1951	37900000	NA	NA	37900000
1952	37800000	NA	NA	37800000
1953	37200000	NA	NA	37200000
1954	36800000	NA	NA	36800000
1955	38000000	NA	NA	38000000
1956	38900000	NA	NA	38900000
1957	35400000	NA	NA	35400000
1958	36000000	NA	NA	36000000
1959	40100000	NA	NA	40100000
1960	35900000	NA	NA	35900000
1961	34700000	NA	NA	34700000
1962	36200000	NA	NA	36200000
1963	38400000	NA	NA	38400000
1964	40200000	NA	NA	40200000
1965	42100000	4840000	859000	46100000
1966	42300000	4860000	1100000	46000000
1967	40900000	4760000	1190000	44500000
1968	41000000	5660000	1040000	45600000
1969	40100000	5850000	1040000	44900000
1970	38700000	5620000	1120000	43200000
1971	41200000	6930000	1100000	47100000
1972	42200000	8620000	1360000	49400000
1973	43200000	8800000	1890000	50100000
1974	39100000	6710000	1720000	44100000
1975	36400000	5440000	1540000	40300000
1976	40200000	7470000	1720000	45900000
1977	42900000	9680000	1540000	51000000
1978	43900000	11000000	1850000	53100000
1979	43900000	10400000	2200000	52100000
1980	38900000	8900000	2530000	45200000
1981	34700000	8600000	2440000	40900000
1982	34700000	8400000	2000000	41200000
1983	41500000	11000000	2380000	50100000
1984	44900000	12300000	2210000	55000000
1985	44300000	13500000	1960000	55800000
1986	49300000	13100000	2470000	60000000
1987	53300000	13700000	3310000	63800000
1988	54000000	12400000	4700000	61700000
1989	53900000	13700000	4300000	63300000
1990	52700000	11700000	3920000	60600000
1991	48500000	10500000	4130000	54800000
1992	50100000	12000000	3820000	58400000
1993	50000000	13800000	3670000	60100000
1994	51300000	14900000	3590000	62600000
1995	50000000	15700000	3260000	62400000
1996	50700000	16500000	3240000	63900000
1997	52300000	16600000	3320000	65500000
1998	52400000	17300000	2610000	67100000
1999	54500000	18000000	3010000	69400000
2000	53300000	18400000	3220000	68500000
2001	50800000	18700000	2720000	66900000
2002	51900000	19700000	2710000	68800000
2003	50600000	19900000	2610000	67900000
2004	53800000	23200000	2670000	74300000
2005	54600000	23400000	2760000	75200000
2006	53400000	21300000	3000000	71600000
2007	49400000	17000000	2710000	63800000
2008	37800000	11800000	2500000	47000000
2009	32600000	8400000	2090000	38900000
2010	32000000	8820000	1480000	39300000
2011	35700000	8730000	1760000	42700000
NA Not available.				
1Compiled by T.D. Kelly (retired) and G. Matos.				
Data are estimated, calculated, or reported.  See notes for more information.				
