OTHER INDUSTRIAL WOOD PRODUCTS  STATISTICS1		
U.S. GEOLOGICAL SURVEY		
[All values in metric tons]		
Last modification: April 1, 2014		
Year	Production	Apparent consumption
1900	21900000	21900000
1901	22300000	22300000
1902	22800000	22800000
1903	23600000	23600000
1904	24000000	24000000
1905	24500000	24500000
1906	26900000	26900000
1907	31600000	31600000
1908	28900000	28900000
1909	30700000	30700000
1910	31100000	31100000
1911	30200000	30200000
1912	30200000	30200000
1913	29900000	29900000
1914	28800000	28800000
1915	28200000	28200000
1916	28900000	28900000
1917	28900000	28900000
1918	28700000	28700000
1919	28700000	28700000
1920	28300000	28300000
1921	25700000	25700000
1922	25400000	25400000
1923	25500000	25500000
1924	24800000	24800000
1925	22400000	22400000
1926	22300000	22300000
1927	21500000	21500000
1928	20700000	20700000
1929	20700000	20700000
1930	17900000	17900000
1931	14500000	14500000
1932	12400000	12400000
1933	12500000	12500000
1934	12800000	12800000
1935	13400000	13400000
1936	14600000	14600000
1937	15300000	15300000
1938	13800000	13800000
1939	14400000	14400000
1940	14400000	14400000
1941	15400000	15400000
1942	15000000	15000000
1943	13800000	13800000
1944	13500000	13500000
1945	12600000	12600000
1946	13300000	13300000
1947	14100000	14100000
1948	12700000	12700000
1949	11200000	11200000
1950	11500000	11500000
1951	10900000	10900000
1952	10500000	10500000
1953	11200000	11200000
1954	11100000	11100000
1955	11700000	11700000
1956	10900000	10900000
1957	10200000	10200000
1958	10000000	10000000
1959	10900000	10900000
1960	7630000	7630000
1961	7330000	7330000
1962	6960000	6960000
1963	7710000	7710000
1964	8080000	8080000
1965	7730000	7730000
1966	7800000	7800000
1967	7110000	7110000
1968	7110000	7110000
1969	8280000	8280000
1970	9000000	9000000
1971	8310000	8310000
1972	7140000	7140000
1973	6830000	6830000
1974	5910000	5910000
1975	5310000	5310000
1976	5180000	5180000
1977	5310000	5310000
1978	5450000	5450000
1979	5590000	5590000
1980	5730000	5730000
1981	5870000	5870000
1982	6000000	6000000
1983	6140000	6140000
1984	6280000	6280000
1985	6420000	6420000
1986	6560000	6560000
1987	6830000	6830000
1988	7040000	7040000
1989	7660000	7660000
1990	7760000	7760000
1991	7600000	7600000
1992	7540000	7540000
1993	7140000	7140000
1994	5530000	5530000
1995	5340000	5340000
1996	4720000	4720000
1997	4550000	4550000
1998	4210000	4210000
1999	4110000	4110000
2000	4140000	4140000
2001	4410000	4410000
2002	4380000	4380000
2003	4390000	4390000
2004	4390000	4390000
2005	4390000	4390000
2006	4420000	4420000
2007	4490000	4490000
2008	4000000	4000000
2009	4050000	4050000
2010	4050000	4050000
2011	5960000	5960000
1Compiled by T.D. Kelly (retired) and G. Matos.		
Data are estimated, calculated, or reported.  See notes for more information.		
