PAPER AND BOARD STATISTICS1						
U.S. GEOLOGICAL SURVEY						
[All values in metric tons]						
Last modification: April 1, 2014						
Year	Production 	Primary production	Secondary production	Imports	Exports	Apparent consumption
1900	1970000	NA	NA	NA	NA	2000000
1901	2180000	NA	NA	NA	NA	2200000
1902	2390000	NA	NA	NA	NA	2400000
1903	2610000	NA	NA	NA	NA	2600000
1904	2820000	NA	NA	NA	NA	2800000
1905	3000000	NA	NA	NA	NA	3000000
1906	3190000	NA	NA	NA	NA	3200000
1907	3370000	NA	NA	NA	NA	3400000
1908	3560000	NA	NA	NA	NA	3600000
1909	3740000	NA	NA	NA	NA	3700000
1910	3930000	NA	NA	NA	NA	3900000
1911	4110000	NA	NA	NA	NA	4100000
1912	4300000	NA	NA	NA	NA	4300000
1913	4490000	NA	NA	NA	NA	4500000
1914	4680000	NA	NA	NA	NA	4700000
1915	4870000	NA	NA	NA	NA	4900000
1916	5070000	NA	NA	NA	NA	5100000
1917	5270000	NA	NA	NA	NA	5300000
1918	5390000	NA	NA	NA	NA	5400000
1919	5410000	NA	NA	NA	NA	5400000
1920	6520000	NA	NA	NA	NA	6500000
1921	4840000	NA	NA	NA	NA	4800000
1922	6240000	NA	NA	NA	NA	6200000
1923	7140000	NA	NA	NA	NA	7100000
1924	7190000	NA	NA	NA	NA	7200000
1925	8170000	NA	NA	NA	NA	8200000
1926	8890000	NA	NA	NA	NA	8900000
1927	9070000	NA	NA	NA	NA	9100000
1928	9440000	NA	NA	NA	NA	9400000
1929	10100000	NA	NA	NA	NA	10100000
1930	9230000	NA	NA	NA	NA	9200000
1931	8510000	NA	NA	NA	NA	8500000
1932	7260000	NA	NA	NA	NA	7300000
1933	8340000	NA	NA	NA	NA	8300000
1934	8330000	NA	NA	NA	NA	8300000
1935	9510000	NA	NA	NA	NA	9500000
1936	10900000	NA	NA	NA	NA	10900000
1937	11600000	NA	NA	NA	NA	11600000
1938	10300000	NA	NA	NA	NA	10300000
1939	12300000	NA	NA	NA	NA	12300000
1940	13100000	NA	NA	NA	NA	13100000
1941	16100000	NA	NA	NA	NA	16100000
1942	15500000	NA	NA	NA	NA	15500000
1943	15500000	NA	NA	NA	NA	15500000
1944	15600000	NA	NA	NA	NA	15600000
1945	15800000	NA	NA	NA	NA	15800000
1946	17500000	NA	NA	NA	NA	17500000
1947	19200000	NA	NA	NA	NA	19200000
1948	19900000	NA	NA	NA	NA	19900000
1949	18200000	NA	NA	NA	NA	18200000
1950	22100000	NA	NA	NA	NA	22100000
1951	23600000	NA	NA	NA	NA	23600000
1952	22200000	NA	NA	NA	NA	22200000
1953	24100000	NA	NA	NA	NA	24100000
1954	24000000	NA	NA	NA	NA	24000000
1955	27400000	NA	NA	NA	NA	27400000
1956	28500000	NA	NA	NA	NA	28500000
1957	27800000	NA	NA	NA	NA	27800000
1958	28000000	NA	NA	NA	NA	28000000
1959	30600000	NA	NA	NA	NA	30600000
1960	30600000	NA	NA	NA	NA	30600000
1961	31700000	NA	NA	NA	NA	31700000
1962	33300000	NA	NA	NA	NA	33300000
1963	34700000	NA	NA	NA	NA	34700000
1964	37200000	NA	NA	NA	NA	37200000
1965	36700000	27200000	9560000	5930000	1390000	41300000
1966	39800000	29900000	9880000	6510000	1540000	44800000
1967	39700000	30400000	9280000	6180000	1660000	44200000
1968	42700000	33100000	9600000	6020000	1930000	46800000
1969	45200000	34000000	11200000	6400000	2160000	49400000
1970	44200000	32800000	11400000	6210000	2210000	48200000
1971	45100000	33400000	11700000	6290000	2420000	49000000
1972	48800000	36400000	12400000	6570000	2530000	52900000
1973	51100000	37300000	13800000	7130000	2370000	55900000
1974	50600000	36300000	14200000	7370000	2770000	55200000
1975	43500000	31700000	11900000	5410000	2180000	46800000
1976	49900000	35900000	14000000	6240000	2390000	53700000
1977	51400000	36600000	14800000	6520000	2310000	55600000
1978	53100000	37900000	15200000	7540000	2340000	58300000
1979	55400000	39100000	16300000	7680000	2600000	60500000
1980	55400000	39100000	16300000	7270000	3850000	58800000
1981	56300000	40300000	16100000	7060000	3290000	60100000
1982	53800000	38300000	15500000	6640000	3170000	57200000
1983	58900000	41900000	17000000	7580000	3430000	63100000
1984	62100000	43500000	18600000	9200000	3210000	68100000
1985	60800000	42300000	18500000	9470000	2980000	67200000
1986	64300000	43900000	20400000	9910000	3600000	70600000
1987	67400000	45600000	21800000	10800000	3730000	74500000
1988	69500000	45700000	23700000	11100000	3840000	76700000
1989	69600000	45100000	24600000	10900000	4270000	76300000
1990	71400000	45000000	26400000	11100000	4680000	77700000
1991	72000000	43700000	28300000	10100000	5840000	76300000
1992	75200000	44400000	30800000	10600000	6370000	79400000
1993	77000000	44800000	32200000	11800000	6200000	82500000
1994	80800000	44800000	36000000	12400000	6840000	86300000
1995	81200000	42900000	38300000	12900000	6910000	87200000
1996	82000000	42900000	39100000	11800000	8270000	85500000
1997	86200000	46300000	39900000	13200000	9400000	90000000
1998	85700000	44800000	40900000	14100000	8260000	91600000
1999	88000000	45500000	42500000	15100000	8000000	95100000
2000	85700000	42800000	42900000	15700000	7890000	93600000
2001	80600000	38000000	42600000	14900000	7310000	88300000
2002	81300000	38100000	43200000	15000000	8140000	88200000
2003	80200000	35500000	44700000	16400000	5660000	90900000
2004	83400000	37700000	45600000	17300000	6110000	94500000
2005	82600000	36100000	46500000	16300000	6460000	92400000
2006	83300000	34900000	48400000	16100000	6430000	92900000
2007	83100000	33800000	49300000	14800000	7320000	90500000
2008	79500000	32500000	47000000	13300000	7850000	84900000
2009	71000000	25600000	45400000	10200000	7030000	74200000
2010	75300000	28500000	46800000	10100000	7960000	77400000
2011	74400000	26500000	47900000	9680000	8460000	75600000
NA Not available.						
1Compiled by T.D. Kelly (retired) and G. Matos.						
Data are estimated, calculated, or reported.  See notes for more information.						
