PLYWOOD AND VENEER STATISTICS1				
U.S. GEOLOGICAL SURVEY				
[All values in metric tons]				
Last modification: April 1, 2014				
Year	Production 	Imports	Exports	Apparent consumption
1900	14000	NA	NA	10000
1901	14000	NA	NA	10000
1902	28000	NA	NA	30000
1903	41000	NA	NA	40000
1904	55000	NA	NA	60000
1905	96000	NA	NA	100000
1906	165000	NA	NA	170000
1907	179000	NA	NA	180000
1908	193000	NA	NA	190000
1909	220000	NA	NA	220000
1910	248000	NA	NA	250000
1911	220000	NA	NA	220000
1912	220000	NA	NA	220000
1913	220000	NA	NA	220000
1914	234000	NA	NA	230000
1915	234000	NA	NA	230000
1916	248000	NA	NA	250000
1917	248000	NA	NA	250000
1918	261000	NA	NA	260000
1919	289000	NA	NA	290000
1920	258000	NA	NA	260000
1921	252000	NA	NA	250000
1922	301000	NA	NA	300000
1923	377000	NA	NA	380000
1924	384000	NA	NA	380000
1925	447000	NA	NA	450000
1926	486000	NA	NA	490000
1927	580000	NA	NA	580000
1928	591000	NA	NA	590000
1929	728000	NA	NA	730000
1930	578000	NA	NA	580000
1931	460000	NA	NA	460000
1932	485000	NA	NA	490000
1933	537000	NA	NA	540000
1934	573000	NA	NA	570000
1935	637000	NA	NA	640000
1936	801000	NA	NA	800000
1937	868000	NA	NA	870000
1938	886000	NA	NA	890000
1939	1130000	NA	NA	1130000
1940	1240000	NA	NA	1240000
1941	1520000	NA	NA	1520000
1942	1700000	NA	NA	1700000
1943	1470000	NA	NA	1470000
1944	1430000	NA	NA	1430000
1945	1300000	NA	NA	1300000
1946	1290000	NA	NA	1290000
1947	1540000	NA	NA	1540000
1948	1590000	NA	NA	1590000
1949	1630000	NA	NA	1630000
1950	2040000	NA	NA	2040000
1951	2200000	NA	NA	2200000
1952	2310000	NA	NA	2310000
1953	2640000	NA	NA	2640000
1954	2640000	NA	NA	2640000
1955	3430000	NA	NA	3430000
1956	3500000	NA	NA	3500000
1957	3510000	NA	NA	3510000
1958	3900000	NA	NA	3900000
1959	4640000	NA	NA	4640000
1960	4510000	NA	NA	4510000
1961	4990000	NA	NA	4990000
1962	5520000	NA	NA	5520000
1963	6150000	NA	NA	6150000
1964	6820000	NA	NA	6820000
1965	6200000	626000	18200	6810000
1966	6460000	749000	28400	7180000
1967	6340000	743000	46700	7040000
1968	7100000	1130000	39700	8190000
1969	6620000	1260000	108000	7770000
1970	6850000	1220000	90600	7980000
1971	7860000	1520000	57600	9320000
1972	8610000	1880000	125000	10400000
1973	8490000	1510000	226000	9770000
1974	7280000	982000	308000	7950000
1975	7170000	1150000	431000	7880000
1976	8170000	1410000	400000	9180000
1977	8610000	1350000	183000	9780000
1978	8850000	1520000	165000	10200000
1979	8710000	1250000	216000	9740000
1980	7280000	732000	208000	7800000
1981	7420000	898000	367000	7950000
1982	7260000	1120000	248000	8130000
1983	8810000	1640000	308000	10100000
1984	9000000	1500000	205000	10300000
1985	9020000	1850000	184000	10700000
1986	9850000	1920000	340000	11400000
1987	10200000	2330000	428000	12100000
1988	10100000	1990000	557000	11600000
1989	9620000	1180000	783000	10000000
1990	9430000	1000000	887000	9540000
1991	8470000	866000	790000	8550000
1992	8710000	1050000	901000	8870000
1993	8750000	1060000	855000	8960000
1994	9040000	1000000	743000	9300000
1995	8950000	1160000	774000	9330000
1996	8840000	1050000	765000	9130000
1997	8380000	1250000	915000	8710000
1998	8350000	1430000	499000	9280000
1999	8400000	1650000	506000	9540000
2000	8390000	1690000	470000	9600000
2001	7330000	1850000	350000	8830000
2002	7360000	2360000	324000	9390000
2003	7130000	2540000	339000	9330000
2004	7100000	3740000	416000	10400000
2005	6950000	3900000	367000	10500000
2006	6480000	3600000	335000	9750000
2007	5970000	2850000	380000	8440000
2008	5000000	1990000	428000	6550000
2009	4320000	1580000	320000	5580000
2010	4540000	1770000	517000	5790000
2011	4540000	1790000	489000	5830000
NA Not available.				
1Compiled by T.D. Kelly (retired) and G. Matos.				
Data are estimated, calculated, or reported.  See notes for more information.				
