TOTAL FORESTRY STATISTICS1				
U.S. GEOLOGICAL SURVEY				
[All values in metric tons]				
Last modification: April 1, 2014				
Year	Production	Imports	Exports	Apparent consumption
1900	60600000	NA	NA	60600000
1901	63400000	NA	NA	63500000
1902	66400000	NA	NA	66400000
1903	69700000	NA	NA	69700000
1904	71700000	NA	NA	71700000
1905	72900000	NA	NA	72900000
1906	78200000	NA	NA	78200000
1907	83000000	NA	NA	83100000
1908	76300000	NA	NA	76400000
1909	80900000	NA	NA	80900000
1910	81400000	NA	NA	81500000
1911	79100000	NA	NA	79000000
1912	81200000	NA	NA	81200000
1913	80000000	NA	NA	80000000
1914	75400000	NA	NA	75400000
1915	70900000	NA	NA	70900000
1916	74900000	NA	NA	75000000
1917	70500000	NA	NA	70500000
1918	66600000	NA	NA	66700000
1919	69600000	NA	NA	69600000
1920	70900000	NA	NA	70900000
1921	60100000	NA	NA	60100000
1922	67300000	NA	NA	67200000
1923	74400000	NA	NA	74300000
1924	72500000	NA	NA	72500000
1925	72400000	NA	NA	72400000
1926	71900000	NA	NA	71900000
1927	68900000	NA	NA	68900000
1928	67800000	NA	NA	67700000
1929	71100000	NA	NA	70900000
1930	57800000	NA	NA	57700000
1931	43900000	NA	NA	43900000
1932	33900000	NA	NA	33900000
1933	38800000	NA	NA	38700000
1934	41100000	NA	NA	41100000
1935	47000000	NA	NA	46900000
1936	54500000	NA	NA	54400000
1937	57300000	NA	NA	57300000
1938	50200000	NA	NA	50100000
1939	56900000	NA	NA	56800000
1940	60100000	NA	NA	59900000
1941	70200000	NA	NA	69700000
1942	69500000	NA	NA	68800000
1943	66600000	NA	NA	65900000
1944	65500000	NA	NA	64700000
1945	59800000	NA	NA	59100000
1946	68400000	NA	NA	67600000
1947	71900000	NA	NA	71000000
1948	72800000	NA	NA	71700000
1949	63900000	NA	NA	63200000
1950	75100000	NA	NA	74000000
1951	75700000	NA	NA	74600000
1952	74000000	NA	NA	72800000
1953	76300000	NA	NA	75100000
1954	75800000	NA	NA	74500000
1955	82000000	NA	NA	80500000
1956	83300000	NA	NA	81800000
1957	78500000	NA	NA	76900000
1958	79700000	NA	NA	77900000
1959	88200000	NA	NA	86200000
1960	80400000	NA	NA	78600000
1961	80700000	NA	NA	78700000
1962	84100000	NA	NA	82000000
1963	89300000	NA	NA	87000000
1964	94900000	NA	NA	92300000
1965	95400000	11800000	4980000	102000000
1966	99200000	12500000	5830000	106000000
1967	97100000	12000000	7350000	103000000
1968	102000000	13200000	8820000	108000000
1969	104000000	14000000	8740000	110000000
1970	103000000	13600000	9630000	108000000
1971	108000000	15200000	8780000	114000000
1972	113000000	17600000	11100000	120000000
1973	117000000	17900000	12100000	123000000
1974	109000000	15500000	10900000	113000000
1975	97800000	12300000	10300000	100000000
1976	110000000	15500000	11900000	114000000
1977	116000000	18200000	11000000	122000000
1978	119000000	20700000	12100000	127000000
1979	121000000	20000000	13800000	128000000
1980	114000000	17500000	14000000	118000000
1981	110000000	17100000	11900000	115000000
1982	107000000	16800000	12700000	113000000
1983	122000000	21200000	14100000	129000000
1984	129000000	24100000	13600000	140000000
1985	127000000	25800000	13900000	140000000
1986	137000000	25900000	14800000	149000000
1987	145000000	27800000	16900000	157000000
1988	148000000	26400000	20100000	157000000
1989	148000000	26300000	20200000	157000000
1990	149000000	24300000	19300000	156000000
1991	144000000	21800000	19600000	147000000
1992	149000000	24100000	18900000	154000000
1993	151000000	27300000	17700000	159000000
1994	155000000	29200000	17700000	164000000
1995	154000000	30700000	17900000	164000000
1996	155000000	30300000	18800000	163000000
1997	160000000	32100000	19600000	169000000
1998	159000000	34100000	16200000	172000000
1999	164000000	36500000	16500000	178000000
2000	160000000	38000000	17900000	176000000
2001	151000000	37900000	16400000	168000000
2002	153000000	39700000	17000000	171000000
2003	151000000	41500000	13900000	173000000
2004	157000000	47300000	14700000	184000000
2005	149000000	43600000	9590000	183000000
2006	148000000	41000000	9770000	179000000
2007	143000000	34700000	10400000	167000000
2008	126000000	27100000	10800000	143000000
2009	112000000	20200000	9440000	123000000
2010	116000000	20700000	9960000	127000000
2011	121000000	20200000	10700000	130000000
NA Not available.				
1Compiled by T.D. Kelly (retired) and G. Matos.				
Data are estimated, calculated, or reported.  See notes for more information.				
