ZINC STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) zinc content unless otherwise noted]
Last modification: November 19, 2017
Year	 Primary production	Secondary production	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	112000	NA	0	20300	NA	90200	97	1900	479000
1901	128000	NA	0	3080	NA	129000	90	1800	510000
1902	142000	NA	406	2940	NA	139000	106	2000	547000
1903	144000	NA	183	1380	NA	140000	119	2200	574000
1904	169000	NA	309	9210	NA	164000	112	2000	629000
1905	185000	NA	388	5000	NA	182000	130	2400	660000
1906	204000	NA	926	4240	NA	200000	135	2500	704000
1907	227000	6400	1550	511	NA	206000	128	2200	738000
1908	191000	6500	704	1120	NA	194000	101	1800	723000
1909	232000	8410	8550	303	NA	246000	119	2200	775000
1910	244000	11600	897	3390	NA	223000	119	2100	810000
1911	260000	12700	293	13000	NA	254000	126	2200	895000
1912	307000	23600	9720	6810	NA	309000	152	2600	971000
1913	314000	23600	4690	12200	NA	268000	123	2030	939000
1914	320000	18700	177	67600	NA	272000	112	1830	795000
1915	444000	27000	57	119000	13000	331000	313	5050	760000
1916	606000	26100	19	137000	16000	417000	300	4480	882000
1917	607000	15300	16	200000	49000	375000	196	2500	901000
1918	470000	9000	10	96800	37000	334000	176	1900	849000
1919	423000	17900	29	133000	33000	294000	154	1450	719000
1920	420000	19400	0	104000	64000	293000	172	1400	682000
1921	182000	15900	5990	4500	64000	185000	104	945	464000
1922	321000	29900	36	31600	15000	338000	126	1220	730000
1923	463000	35800	1	29900	25000	405000	148	1410	889000
1924	469000	32200	10	69200	19000	407000	139	1320	986000
1925	520000	35500	0	69300	12000	454000	169	1580	1190000
1926	561000	37000	0	38900	24000	505000	163	1500	1410000
1927	538000	38800	35	41500	49000	468000	138	1290	1420000
1928	547000	44100	0	22900	43900	568000	133	1270	1360000
1929	567000	43000	205	13100	81200	575000	143	1360	1320000
1930	452000	31600	255	4200	154000	409000	101	990	1260000
1931	265000	19600	249	583	133000	336000	80	857	904000
1932	188000	13400	281	5870	119000	235000	64	762	709000
1933	279000	27300	1720	1030	103000	318000	89	1120	892000
1934	330000	17900	1570	4630	116000	326000	92	1120	1060000
1935	382000	26000	4030	1470	83200	429000	96	1140	1210000
1936	446000	38300	10600	34	50900	528000	108	1270	1330000
1937	505000	46800	33800	226	73600	553000	144	1630	1470000
1938	405000	28700	6560	0	145000	382000	102	1180	1420000
1939	460000	45700	28100	4100	78300	568000	113	1320	1500000
1940	613000	44400	71800	71800	18100	655000	140	1630	1470000
1941	746000	54000	36500	81000	83400	751000	165	1830	1590000
1942	809000	48300	33000	122000	145000	661000	182	1820	1630000
1943	855000	43700	50900	88400	237000	741000	182	1720	1830000
1944	789000	44500	57700	19600	271000	806000	182	1690	1870000
1945	694000	44700	87800	7060	298000	773000	182	1650	1470000
1946	661000	40400	94400	42800	244000	735000	192	1600	1440000
1947	728000	54000	65400	96800	136000	713000	232	1690	1600000
1948	715000	56500	83900	59500	106000	742000	299	2020	1690000
1949	739000	49900	114000	53300	160000	646000	268	1840	1730000
1950	765000	60800	141000	11700	66300	877000	306	2070	2150000
1951	800000	44100	79900	33100	65800	847000	397	2480	2360000
1952	821000	50000	103000	52400	161000	774000	357	2190	2590000
1953	831000	48000	207000	16300	241000	894000	239	1460	2670000
1954	728000	61700	145000	22700	206000	802000	236	1430	2660000
1955	874000	59900	177000	16400	148000	1020000	271	1650	2900000
1956	892000	65400	222000	8000	155000	915000	297	1780	3110000
1957	894000	65800	244000	9780	222000	849000	251	1460	3150000
1958	709000	42300	168000	1880	252000	788000	227	1280	2950000
1959	725000	52500	149000	10600	235000	867000	253	1410	3020000
1960	725000	62400	110000	68200	231000	796000	286	1570	3090000
1961	768000	50100	114000	45400	220000	845000	255	1390	3490000
1962	798000	53400	123000	32300	204000	936000	256	1380	3570000
1963	810000	54700	120000	30700	132000	1000000	265	1410	3660000
1964	866000	65000	122000	24100	127000	1100000	299	1570	4030000
1965	902000	75900	140000	5390	163000	1230000	320	1660	4310000
1966	930000	75500	254000	1280	176000	1290000	320	1610	4500000
1967	852000	66700	201000	15300	167000	1130000	305	1490	4840000
1968	926000	72500	276000	29900	1200000	1230000	298	1400	4970000
1969	944000	64000	295000	8440	1190000	1260000	323	1430	5340000
1970	796000	70000	236000	261	1230000	1080000	338	1420	5460000
1971	695000	73400	294000	12100	1160000	1140000	356	1430	5520000
1972	574000	66900	469000	3920	1000000	1290000	391	1520	5440000
1973	529000	75500	536000	13200	741000	1360000	456	1670	5710000
1974	504000	71200	493000	17300	583000	1170000	793	2620	5780000
1975	397000	52500	340000	6260	515000	839000	859	2600	5850000
1976	453000	62200	631000	3190	547000	1030000	816	2340	5690000
1977	408000	45900	504000	215	518000	1000000	758	2040	5920000
1978	407000	34800	622000	723	483000	1050000	683	1710	5850000
1979	472000	53200	524000	279	561000	1000000	822	1850	5990000
1980	340000	29400	410000	302	468000	811000	825	1630	5950000
1981	347000	50200	612000	323	536000	841000	983	1760	5950000
1982	228000	74300	456000	341	500000	795000	848	1430	6130000
1983	236000	69400	618000	427	489000	933000	913	1490	6280000
1984	253000	78100	639000	760	478000	980000	1070	1680	6520000
1985	261000	72600	611000	1010	460000	961000	890	1350	6760000
1986	253000	62900	665000	1940	441000	999000	838	1250	6840000
1987	261000	83000	706000	1080	437000	1050000	924	1330	7190000
1988	241000	88000	749000	482	426000	1090000	1330	1830	6770000
1989	260000	98000	712000	5530	431000	1060000	1810	2380	6820000
1990	263000	96000	632000	1240	428000	991000	1640	2050	7150000
1991	253000	122000	549000	1250	426000	931000	1160	1390	7270000
1992	272000	128000	644000	565	423000	1050000	1290	1500	7250000
1993	240000	141000	724000	1410	403000	1110000	1020	1150	6910000
1994	217000	139000	793000	6310	366000	1180000	1090	1200	7050000
1995	232000	131000	856000	3080	350000	1230000	1230	1320	7280000
1996	226000	140000	827000	1970	333000	1210000	1130	1170	7480000
1997	226000	140000	876000	3630	313000	1260000	1420	1440	7540000
1998	234000	134000	879000	2330	267000	1290000	1130	1130	7570000
1999	241000	131000	1060000	1880	261000	1430000	1180	1150	7960000
2000	228000	143000	915000	2770	215000	1330000	1230	1160	8770000
2001	203000	108000	813000	1180	195000	1150000	969	892	8910000
2002	182000	113000	874000	1160	181000	1170000	852	772	8880000
2003	187000	150000	758000	1680	168000	1120000	895.74	793	9520000
2004	194000	156000	868000	3300	135000	1190000	1160	999	9600000
2005	195000	156000	700000	784	116000	1080000	1480	1240	10000000
2006	113000	156000	895000	2530	75300	1190000	3500	2830	10300000
2007	121000	157000	758000	8070	62700	1140000	3400	2670	11100000
2008	125000	161000	725000	3250	65600	1010000	1960	1480	11900000
2009	94000	109000	686000	2960	92300	886000	1720	1310	11600000
2010	120000	129000	671000	4200	57900	916000	2250	1680	12300000
2011	110000	138000	716000	18400	79200	946000	2340	1700	12500000
2012	114000	147000	655000	14200	81500	902000	2110	1500	13300000
2013	106000	127000	713000	11500	80900	935000	2110	1480	13200000
2014	110000	70000	805000	19800	95300	965000	2360	1630	13500000
2015	124000	48000	771000	12700	94000	931000	2110	1450	13700000
2016	111000	15000	713000	46900	86800	792000	2240	1520	13800000
2017	117000	15000	729000	32200	127000	829000	3070	2040	13800000
NA Not available.
1Compiled by C.A. DiFrancesco, J. Plachy, P.N. Gabby, D.I. Bleiwas, A.C. Tolcin, and C.L. Thomas.
Data are calculated, estimated, or reported.  See notes for more information.
