ZIRCONIUM MINERAL CONCENTRATES STATISTICS1										
U.S. GEOLOGICAL SURVEY										
[All values in metric tons (t) gross weight unless otherwise noted]										
Last modification: April 1, 2014										
Year	Production	Imports	Exports	Government stocks	Government shipments	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1902	0.907	NA	0	NA	NA	NA	0.91	NA	NA	NA
1903	1.36	NA	0	NA	NA	NA	1.4	NA	NA	NA
1904	0.454	NA	0	NA	NA	NA	0.45	NA	NA	NA
1905	3.63	NA	0	NA	NA	NA	3.6	NA	NA	NA
1906	0.454	NA	0	NA	NA	NA	0.45	NA	NA	NA
1907	0.0925	0	0	NA	NA	NA	0.093	NA	NA	NA
1908	NA	0	0	NA	NA	NA	0.5	NA	NA	NA
1909	0.907	NA	0	NA	NA	NA	0.91	NA	NA	NA
1910	0	NA	0	NA	NA	NA	1.2	NA	NA	NA
1911	1.46	NA	0	NA	NA	NA	1.5	NA	NA	NA
1912	0	NA	0	NA	NA	NA	NA	NA	NA	NA
1913	0	NA	0	NA	NA	NA	NA	NA	NA	NA
1914	0	NA	0	NA	NA	NA	NA	NA	NA	NA
1915	0	NA	0	NA	NA	NA	NA	NA	NA	NA
1916	0	NA	0	NA	NA	NA	NA	NA	NA	NA
1917	0	NA	0	NA	NA	NA	NA	NA	NA	NA
1918	0	1460	0	NA	NA	NA	1500	43.5	470	NA
1919	0	5	0	NA	NA	NA	5	59.9	565	NA
1920	0	NA	0	NA	NA	NA	32	59	480	NA
1921	0	59	0	NA	NA	NA	59	58	530	NA
1922	9.07	30	0	NA	NA	NA	39	57	550	NA
1923	139	NA	0	NA	NA	NA	140	56	530	NA
1924	255	280	0	NA	NA	NA	540	55	520	NA
1925	566	NA	0	NA	NA	NA	570	54	500	NA
1926	1170	NA	0	NA	NA	NA	1200	53	490	NA
1927	3310	2	0	NA	NA	NA	3300	52	490	NA
1928	NA	392	0	NA	NA	NA	390	51	490	NA
1929	0	1220	0	NA	NA	NA	1200	50	480	NA
1930	0	1380	0	NA	NA	NA	1400	49	480	NA
1931	0	510	0	NA	NA	NA	510	48	510	NA
1932	0	12	0	NA	NA	NA	12	46.8	557	NA
1933	0	258	0	NA	NA	NA	260	46.8	586	NA
1934	0	774	0	NA	NA	NA	770	60.6	737	NA
1935	0	2610	0	NA	NA	NA	2600	46.8	557	NA
1936	0	5250	0	NA	NA	NA	5300	46.8	549	NA
1937	0	8100	0	NA	NA	NA	8100	50.7	574	NA
1938	0	1900	0	NA	NA	NA	1900	60.6	701	NA
1939	0	3110	0	NA	NA	NA	3100	60.6	710	NA
1940	NA	15300	0	NA	NA	NA	15000	77.2	899	NA
1941	NA	25100	0	NA	NA	NA	25000	71.6	794	NA
1942	NA	30800	27	4500	NA	6080	31000	71.6	716	NA
1943	1940	25800	85	5040	NA	7440	25800	77.2	728	NA
1944	NA	21800	73	4840	NA	4420	25000	77.2	715	17300
1945	NA	24000	98	2580	NA	5730	25000	74.4	676	19700
1946	NA	15300	235	2250	NA	4590	17000	56.8	473	24700
1947	NA	27800	299	NA	NA	8700	23000	47.4	346	25900
1948	NA	16500	283	NA	NA	5900	22700	50.7	343	26600
1949	NA	18900	277	NA	NA	7890	18100	51.3	351	24100
1950	NA	15300		NA	NA	7350	26000	51.5	348	25200
1951	NA	24800	336	NA	NA	6820	25000	57.9	362	46200
1952	NA	21700	549	NA	NA	8160	22700	47.7	293	33900
1953	14800	22400	1010	NA	NA	9980	36300	41.8	255	53300
1954	14800	16800	628	NA	NA	8710	40800	50.4	305	63200
1955	25500	26400	707	NA	NA	7980	38100	54.3	331	78200
1956	39900	28300	951	NA	NA	14000	61000	54.3	325	118000
1957	51500	37800	2870	NA	NA	17000	77100	60.6	352	146000
1958	27600	17400	1810	NA	NA	10200	49000	45.2	255	105000
1959	W	49800	1370	NA	NA	45600	73900	52.1	291	103000
1960	W	31100	1250	NA	NA	18200	80700	52.1	286	129000
1961	W	30700	1160	NA	NA	16100	83600	52.1	285	159000
1962	W	28000	1510	NA	6360	21500	80700	52.1	282	149000
1963	W	47700	1290	NA	4470	19700	34000	52.1	277	195000
1964	W	40300	2270	NA	210	35800	26800	52.1	274	191000
1965	W	53400	1600	NA	181	38900	32200	52.1	270	235000
1966	W	52600	2100	NA	NA	34500	120000	52.1	262	244000
1967	W	53800	2480	NA	NA	43500	122000	52.1	254	293000
1968	W	54300	1840	NA	NA	41700	130000	62.3	292	309000
1969	W	86600	4890	NA	NA	48100	145000	62.3	277	386000
1970	W	86000	3930	NA	NA	47200	132000	62.3	262	399000
1971	W	87400	8550	NA	NA	38600	151000	60.1	242	432000
1972	W	61300	15700	NA	NA	40400	152000	60.1	234	369000
1973	W	88900	26200	NA	NA	46700	159000	66.1	243	379000
1974	W	56700	19500	NA	NA	38000	152000	276	912	397000
1975	W	36500	17000	NA	NA	33600	111000	173	524	418000
1976	W	58600	8550	NA	NA	35000	141000	165	473	448000
1977	W	59200	13000	NA	NA	23600	147000	165	444	505000
1978	W	82600	6960	NA	NA	34800	149000	165	413	525000
1979	W	101000	8030	NA	NA	34000	152000	165	370	629000
1980	W	103000	7010	NA	NA	63000	127000	182	360	680000
1981	W	82700	10600	NA	NA	30300	136000	182	326	645000
1982	W	62100	9990	NA	NA	44100	84400	182	307	710000
1983	W	40400	12000	NA	NA	33100	90700	182	298	666000
1984	W	60300	8640	NA	NA	29800	118000	182	286	736000
1985	W	39700	15300	NA	NA	26600	118000	193	292	815000
1986	W	68800	15900	NA	NA	28100	143000	209	311	741000
1987	W	67900	20100	NA	NA	39200	133000	223	320	753000
1988	118000	76300	21800	NA	NA	34400	177000	267	368	929000
1989	118000	73100	48100	NA	NA	32100	146000	353	464	979000
1990	102000	26800	30200	NA	NA	28100	103000	406	506	852000
1991	103000	35700	31300	NA	NA	24400	111000	365	437	795000
1992	108000	37400	27900	NA	NA	21600	121000	292	339	856000
1993	W	70000	35900	NA	NA	26000	150000	292	329	796000
1994	W	82000	32000	NA	NA	30100	150000	306	337	897000
1995	W	93600	40300	NA	NA	33400	160000	352	376	918000
1996	W	92500	35000	NA	1480	34300	160000	462	480	894000
1997	W	62400	44300	NA	NA	29300	160000	462	469	830000
1998	W	89500	41000	NA	NA	32000	160000	353	353	732000
1999	W	57600	69500	NA	NA	24700	160000	331	324	673000
2000	W	65200	72900	NA	NA	25100	170000	375	355	731000
2001	W	60600	66900	NA	NA	37700	170000	375	345	750000
2002	W	36000	47100	NA	NA	21600	170000	386	350	973000
2003	W	37400	70600	NA	NA	NA	170000	408	361	1040000
2004	W	35200	68800	NA	NA	NA	NA	502	433	1070000
2005	W	38200	101000	NA	NA	NA	NA	570	476	1060000
2006	W	36200	76300	NA	NA	NA	NA	785	635	1240000
2007	W	20000	66200	NA	NA	NA	NA	763	600	1420000
2008	W	34400	42100	NA	NA	NA	NA	788	597	1350000
2009	W	14400	39600	NA	NA	NA	NA	830	631	1210000
2010	W	22900	47400	NA	NA	NA	NA	860	643	1250000
2011	W	26500	24300	NA	NA	NA	NA	2650	1920	1620000
2012	W	25800	20000	NA	NA	NA	NA	2650	1880	1460000
NA Not available. W Withheld to avoid disclosing company proprietary data.										
1Compiled by C.A. DiFrancesco, J.B. Hedrick, J. Gambogi, P.J. Loferski, and G.M. Bedinger.										
Data are calculated, estimated, or reported.  See notes for more information.										
