NATURAL ABRASIVES STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 28, 2016
CORUNDUM NATURAL ABRASIVES
Year	Production	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	NA	NA	NA	NA	NA	NA	NA
1901	NA	NA	NA	NA	NA	NA	NA
1902	NA	NA	NA	NA	NA	NA	NA
1903	NA	NA	NA	NA	NA	NA	NA
1904	NA	NA	NA	NA	NA	NA	NA
1905	NA	NA	NA	NA	NA	NA	NA
1906	NA	NA	NA	NA	NA	NA	NA
1907	NA	NA	NA	NA	NA	NA	NA
1908	NA	NA	NA	NA	NA	NA	NA
1909	NA	NA	NA	NA	NA	NA	NA
1910	NA	NA	NA	NA	NA	NA	NA
1911	NA	NA	NA	NA	NA	NA	NA
1912	NA	NA	NA	NA	NA	NA	NA
1913	NA	NA	NA	NA	NA	NA	2580
1914	NA	NA	NA	NA	NA	NA	1180
1915	NA	NA	NA	NA	NA	NA	690
1916	NA	NA	NA	NA	NA	NA	3560
1917	744	NA	NA	744	91	1160	6140
1918	NA	NA	NA	NA	NA	NA	5860
1919	NA	NA	NA	NA	NA	NA	1690
1920	NA	NA	NA	NA	NA	NA	1210
1921	NA	NA	NA	NA	NA	NA	835
1922	NA	NA	NA	NA	NA	NA	2020
1923	NA	NA	NA	NA	NA	NA	2980
1924	NA	3020	NA	3020	NA	NA	1880
1925	NA	1500	NA	1500	NA	NA	1910
1926	NA	4910	NA	4910	NA	NA	5600
1927	NA	1150	NA	1150	NA	NA	NA
1928	NA	1420	NA	1420	NA	NA	NA
1929	NA	3430	NA	3430	NA	NA	NA
1930	NA	2740	NA	2740	NA	NA	NA
1931	NA	650	NA	650	NA	NA	NA
1932	NA	171	NA	171	NA	NA	NA
1933	NA	940	NA	940	NA	NA	NA
1934	NA	1980	NA	1980	NA	NA	NA
1935	NA	4590	NA	4590	NA	NA	NA
1936	NA	4350	NA	4350	NA	NA	NA
1937	NA	1890	NA	1890	NA	NA	2300
1938	NA	1900	NA	1900	NA	NA	1540
1939	NA	1780	NA	1780	NA	NA	2460
1940	NA	2650	NA	2650	NA	NA	3910
1941	NA	5320	NA	5320	NA	NA	6210
1942	NA	4300	NA	4300	NA	NA	7030
1943	W	5160	NA	5160	NA	NA	5630
1944	W	5810	NA	5810	NA	NA	5700
1945	NA	5660	NA	5660	NA	NA	10000
1946	NA	3820	NA	3820	NA	NA	8000
1947	NA	2180	NA	2180	NA	NA	8000
1948	NA	3280	NA	3280	NA	NA	8000
1949	NA	1830	NA	1830	NA	NA	9000
1950	NA	3210	NA	3210	NA	NA	9070
1951	NA	4310	NA	4310	NA	NA	9980
1952	NA	4150	142	4010	NA	NA	9980
1953	NA	2430	216	2210	NA	NA	9070
1954	NA	1010	137	868	NA	NA	9070
1955	NA	1270	141	1130	NA	NA	7260
1956	NA	1690	225	1460	NA	NA	9980
1957	NA	3720	189	3530	NA	NA	9070
1958	NA	4250	151	4100	NA	NA	9980
1959	NA	3030	83	2940	NA	NA	7260
1960	NA	2410	49	2360	NA	NA	8170
1961	NA	2170	87	2090	NA	NA	7260
1962	NA	2200	99	2110	NA	NA	3660
1963	NA	1850	68	1780	NA	NA	6120
1964	NA	1790	140	1650	NA	NA	8190
1965	NA	1810	NA	1810	NA	NA	9960
1966	NA	2720	NA	2720	NA	NA	9910
1967	NA	1810	NA	1810	NA	NA	9790
1968	NA	5440	NA	5440	NA	NA	6570
1969	NA	0	NA	0	NA	NA	6790
1970	NA	0	NA	0	NA	NA	7250
1971	NA	0	NA	0	NA	NA	7060
1972	NA	0	NA	0	NA	NA	7670
1973	NA	907	NA	907	NA	NA	7820
1974	NA	1810	NA	1810	NA	NA	7900
1975	NA	907	NA	907	NA	NA	8500
1976	NA	1810	NA	1810	NA	NA	12600
1977	NA	1810	NA	1810	NA	NA	14700
1978	NA	441	NA	441	NA	NA	17200
1979	NA	4540	NA	4540	NA	NA	26400
1980	NA	0	NA	0	NA	NA	29100
1981	NA	0	NA	0	NA	NA	22400
1982	NA	NA	NA	NA	NA	NA	18800
1983	NA	NA	NA	NA	NA	NA	14600
1984	NA	NA	NA	NA	NA	NA	9220
1985	NA	NA	NA	NA	NA	NA	9260
1986	NA	NA	NA	NA	NA	NA	9220
1987	NA	NA	NA	NA	NA	NA	NA
1988	NA	NA	NA	NA	NA	NA	NA
1989	NA	NA	NA	NA	NA	NA	NA
1990	NA	NA	NA	NA	NA	NA	NA
1991	NA	NA	NA	NA	NA	NA	NA
1992	NA	NA	NA	NA	NA	NA	NA
1993	NA	NA	NA	NA	NA	NA	NA
1994	NA	NA	NA	NA	NA	NA	NA
1995	NA	NA	NA	NA	NA	NA	NA
1996	NA	NA	NA	NA	NA	NA	NA
1997	NA	NA	NA	NA	NA	NA	NA
1998	NA	NA	NA	NA	NA	NA	NA
1999	NA	NA	NA	NA	NA	NA	NA
2000	NA	NA	NA	NA	NA	NA	NA
2001	NA	NA	NA	NA	NA	NA	NA
2002	NA	NA	NA	NA	NA	NA	NA
2003	NA	NA	NA	NA	NA	NA	NA
2004	NA	NA	NA	NA	NA	NA	NA
2005	NA	NA	NA	NA	NA	NA	NA
2006	NA	NA	NA	NA	NA	NA	NA
2007	NA	NA	NA	NA	NA	NA	NA
2008	NA	NA	NA	NA	NA	NA	NA
2009	NA	NA	NA	NA	NA	NA	NA
2010	NA	NA	NA	NA	NA	NA	NA
2011	NA	NA	NA	NA	NA	NA	NA
2012	NA	NA	NA	NA	NA	NA	NA
2013	NA	NA	NA	NA	NA	NA	NA
2014	NA	NA	NA	NA	NA	NA	NA
NA Not available. W Withheld to avoid disclosing company proprietary data.
1Compiled by T.D. Kelly (retired), T.P. Dolley, and D.W. Olson.
Data are estimated, calculated, or reported.  See notes for more information.
