NATURAL ABRASIVES STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values in metric tons (t) gross weight unless otherwise noted]
Last modification: January 28, 2016
TOTAL NATURAL ABRASIVES
Year	Production	Shipments	Imports	Exports	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	4410	3910	11900	NA	16300	NA	NA	NA
1901	3910	3910	13100	NA	17000	NA	NA	NA
1902	3860	3860	8030	NA	11900	NA	NA	NA
1903	4120	4120	12700	NA	16800	NA	NA	NA
1904	17700	1740	8200	NA	25900	NA	NA	NA
1905	26800	1930	12700	NA	39400	NA	NA	NA
1906	1050	1050	16200	NA	17200	NA	NA	NA
1907	970	970	13400	NA	14400	NA	NA	NA
1908	607	607	9000	NA	9610	NA	NA	NA
1909	1430	1430	11200	NA	12600	NA	NA	NA
1910	933	933	30500	NA	31400	NA	NA	NA
1911	598	598	11600	NA	12200	NA	NA	NA
1912	900	900	17600	NA	18500	NA	NA	NA
1913	19700	19700	18500	NA	38300	NA	NA	116000
1914	59900	59900	13900	NA	73700	16.9	275.693	111000
1915	69300	69300	9180	NA	78600	13.4	216.129	96400
1916	105000	105000	8510	NA	114000	13	194.32	131000
1917	105000	104000	2070	NA	107000	20.2	257.325	135000
1918	99100	99100	8660	NA	108000	25.6	276.458	123000
1919	76800	76800	11800	NA	88600	24.7	233.019	129000
1920	98100	98100	33300	NA	131000	28.3	230.081	152000
1921	37000	37000	16100	NA	53100	46.5	422.727	104000
1922	56600	56600	20100	NA	76700	31.8	308.738	122000
1923	74100	74100	26200	NA	100000	34.1	324.762	148000
1924	65700	65700	28700	NA	94400	40.3	383.81	158000
1925	65600	65600	26200	NA	91900	41.2	385.047	165000
1926	70800	70800	26900	NA	97700	41	376.147	149000
1927	57100	57100	23000	NA	80100	43.7	408.411	57100
1928	68800	68800	25100	NA	93900	38	361.905	78800
1929	65400	65400	27600	NA	93100	35.4	337.143	65400
1930	50600	50600	19100	NA	69600	31.4	307.843	50600
1931	34800	34800	13000	NA	47700	25.7	275.456	34800
