ANTIMONY STATISTICS1
U.S. GEOLOGICAL SURVEY
[All values are in metric tons (t) antimony content unless otherwise noted]
Last modification: May 6, 2020
Year	Mine production	Smelter production	Primary production	Secondary production	Shipments	Imports	Exports	Stocks	Apparent consumption	Unit value ($/t)	Unit value (98$/t)	World production
1900	137	2250	2380	NA	NA	4890	NA	NA	5490	209	4100	7710
1901	45	2030	2070	NA	NA	3880	NA	NA	4060	182	3600	7890
1902	596	2640	3230	NA	NA	6800	NA	NA	5650	135	2500	8550
1903	517	2320	2840	NA	NA	6770	NA	NA	4970	132	2400	8140
1904	441	2330	2770	NA	NA	4080	NA	NA	4320	140	2500	8000
1905	447	2490	2940	NA	NA	4710	NA	NA	6530	227	4100	8000
1906	367	1240	1600	NA	NA	7600	NA	NA	7520	478	8700	14500
1907	318	1420	1730	NA	NA	7160	NA	NA	7700	326	5700	15000
1908	0	2040	2040	NA	NA	5830	NA	NA	7480	176	3200	16000
1909	0	2140	2140	1410	NA	6340	NA	NA	8700	165	3000	15000
1910	0	2020	2020	2520	NA	5370	NA	NA	6790	163	2900	15000
1911	0	2050	2050	2150	NA	5710	NA	NA	7020	166	2900	15500
1912	0	1770	1770	2270	NA	7890	NA	NA	8830	171	2900	24200
1913	0	2280	2280	2450	NA	8380	NA	NA	10200	166	2730	24500
1914	0	2450	2450	2400	NA	8370	NA	NA	10500	193	3130	23600
1915	1910	2960	4870	2810	NA	8460	1430	NA	13000	668	10700	43200
1916	1610	3170	4780	4060	NA	10800	1490	1050	13200	560	8360	81600
1917	354	4720	5070	4500	NA	16300	449	1410	18100	456	5800	57200
1918	45	4700	4750	4740	NA	14800	640	4130	15900	278	3010	30800
1919	0	1760	1760	3990	NA	7230	198	NA	9980	180	1700	11800
1920	0	1840	1840	5080	NA	11000	406	NA	14300	187	1520	29000
1921	0	1440	1440	4280	NA	9740	136	NA	14800	109	991	18300
1922	4	1310	1310	6430	NA	9450	19	NA	15300	121	1170	18900
1923	9	1970	1980	7280	NA	9910	7	NA	12000	174	1660	17600
1924	30	2510	2540	8530	NA	8570	127	NA	10000	238	2270	17500
1925	30	2380	2410	9830	NA	12000	85	NA	14000	386	3570	25500
1926	39	2440	2480	14700	NA	15800	167	873	17500	351	3220	29000
1927	0	2480	2480	11200	NA	13500	329	1610	14700	271	2530	28000
1928	38	3110	3150	10800	NA	13900	543	1330	15700	227	2160	28500
1929	0	4480	4480	10100	NA	15100	462	1330	16800	197	1880	31600
1930	0	2690	2690	7330	NA	9040	447	640	9860	169	1660	23600
1931	0	4730	4730	7170	NA	8490	632	637	9430	148	1580	15600
1932	380	3970	4350	5850	NA	3330	112	640	3880	124	1480	17300
1933	533	2710	3250	6710	NA	4920	89	474	5460	144	1810	20200
1934	367	4150	4520	6850	NA	4850	365	517	6590	197	2400	22600
1935	507	4420	4930	8710	NA	7060	288	753	7580	306	3630	29800
1936	685	6380	7070	8980	NA	12800	356	402	13600	271	3190	35300
1937	1150	7530	8680	11200	NA	15200	396	595	16400	340	3860	38600
1938	590	2550	3140	7710	NA	8750	645	313	10500	273	3160	33900
1939	357	1840	2200	8900	NA	9880	53	621	10500	273	3200	38800
1940	448	14800	15300	10400	NA	14600	250	3100	16300	309	3590	46300
1941	1100	21800	22900	19600	NA	24900	64	377	27200	309	3420	49000
1942	2670	18200	20800	16500	NA	19600	209	22200	21600	344	3440	51400
1943	5040	21800	26800	14000	5040	26900	264	32100	17700	351	3310	53200
1944	4300	22400	26700	14400	4300	15700	676	20300	21600	348	3220	36000
1945	1750	22800	24600	15600	1750	21100	302	19900	26100	348	3160	27000
1946	2270	14200	16500	17300	2270	7710	419	12600	15900	381	3180	26000
1947	4820	17000	21800	20900	4820	13700	733	12100	15100	739	5390	38000
1948	5890	18200	24100	19600	5420	15500	297	12400	14000	809	5470	45000
1949	1480	10400	11900	16400	1480	8550	440	5510	10200	853	5840	37000
1950	2270	12700	14900	19800	2270	13900	140	8060	13800	648	4380	50000
1951	3150	16500	19700	21700	3150	14200	152	8120	15800	974	6130	65000
1952	1960	14700	16600	20900	1960	11600	146	6990	13600	926	5680	44500
1953	337	10600	10900	20300	337	11700	22	7440	15500	791	4820	33600
1954	695	10400	11100	20300	695	8680	40	7170	13500	672	4070	39900
1955	574	10600	11200	21500	574	13100	192	8090	14400	710	4330	46300
1956	535	13800	14300	21900	1570	12300	59	7640	14500	772	4620	53500
1957	643	13100	13800	20500	230	13800	62	6700	11200	774	4470	50800
1958	640	10300	10900	18000	347	8960	78	6580	10800	701	3960	46300
1959	615	9680	10300	18200	132	12000	158	6480	12100	690	3850	53300
1960	576	10500	11000	18200	985	13200	822	6470	12000	690	3790	53300
1961	625	12000	12600	17700	1490	12600	40	5850	11500	747	4060	51900
1962	572	12700	13300	17500	664	15300	41	5840	14000	767	4120	53700
1963	585	12700	13300	18900	456	16100	130	6410	15000	767	4080	58000
1964	573	13900	14500	20300	716	15200	732	6620	14400	930	4890	63000
1965	767	13000	13800	22100	769	13500	13	7820	15300	1010	5210	63000
1966	841	15100	16000	22000	844	17900	26	7770	17900	1010	5080	61400
1967	809	12900	13700	21500	751	15800	74	7580	15700	1010	4930	58400
1968	777	13200	13900	21500	854	15700	99	6010	16800	1010	4740	61500
1969	851	13900	14700	21600	855	15500	188	5750	16200	1270	5650	66200
1970	1030	13200	14200	19400	934	16900	493	8030	32100	3170	13300	70000
1971	930	11400	12300	19000	973	12300	928	7840	31400	1570	6320	64100
1972	444	13100	13500	20300	64	21500	110	7820	42300	1300	5070	68100
1973	494	16700	17200	21800	3710	19300	467	9140	43500	1510	5540	69300
1974	600	16100	16700	21400	1720	20100	790	10600	41500	4010	13300	70500
1975	78	11600	11700	16300	NA	17000	308	13600	32600	3900	11800	67900
1976	257	13900	14200	18000	NA	19800	309	13700	35600	3640	10400	69200
1977	553	12500	13000	27800	NA	12100	673	7790	41900	3920	10500	72200
1978	724	13500	14200	24000	NA	15900	504	7450	36800	2540	6350	68800
1979	655	13900	14600	21900	NA	20100	440	6480	20700	3110	6990	71900
1980	311	14600	14900	18000	NA	16300	1240	7630	29900	3330	6590	67200
1981	914	16200	17100	18000	NA	16300	704	8310	31900	3000	5380	59200
